,NEU_prg,pert_drug,targets,dose
CPC012_NEU_24H:A17,-0.16095134252601445,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:A18,-0.4616312439218003,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:B17,0.17098004401176115,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:B18,-1.5489158990139902,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:DMSO:-666,0.07137075065937795,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:E06,-1.208422607711996,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:F05,1.0116818650491268,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:F06,-0.34752401190702625,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:I15,1.6631737934352224,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:I16,0.9238069111624234,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:J15,-0.3233899261505242,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:J16,0.28240251996260685,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:M09,1.1416292591891362,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:M10,-0.21464663105486545,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:N09,-0.23867677353900052,DMSO,DMSO_No_target,0 uM
CPC012_NEU_24H:N10,-0.760886707644436,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:A17,-1.120899033563178,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:A18,-0.750537402105286,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:B17,-0.692449439322653,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:B18,-0.5099299690934095,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:DMSO:-666,-0.12568946654688562,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:E05,0.8559693774709891,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:F05,0.48694146095556723,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:I15,0.4620771539078422,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:I16,-0.5521717316453303,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:J15,1.801541568995293,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:J16,0.9017120879619773,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:N09,-0.9257309300478461,DMSO,DMSO_No_target,0 uM
CPC013_NEU_24H:N10,0.1691663230329195,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:A17,-0.7195376727766414,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:A18,-1.3164645010617717,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:B17,-0.6324139651351885,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:B18,-0.49911165014093173,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:DMSO:-666,-0.018395199573095815,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:E05,-0.857942450843932,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:F05,-0.3211158607452054,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:I15,0.41508810453521977,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:I16,0.02162565706134864,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:J15,1.8057711357959292,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:J16,-0.7030684700699932,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:M09,0.641370323129384,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:M10,1.3289776944338865,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:N09,0.36793817579253757,DMSO,DMSO_No_target,0 uM
CPC014_NEU_24H:N10,0.4872786795984625,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:A17,-0.9410357672236134,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:A18,0.8483944535438697,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:B17,-0.17793872295336777,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:B18,-0.3142527855904042,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:DMSO:-666,-0.09657065247826951,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:E05,-0.1065287350132508,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:E06,-0.19249380148961634,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:F05,-0.7119880693306089,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:F06,0.12342443540234749,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:I15,0.20339542287363976,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:I16,0.6938302589642663,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:J15,0.20710835709720168,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:J16,-0.4181159092635407,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:M09,-0.030906199283622912,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:M10,-0.1859489299920253,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:N09,0.021149524614670456,DMSO,DMSO_No_target,0 uM
CPC016_NEU_24H:N10,1.0784771201223093,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:A05,-0.16871456710407845,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:A06,0.7242731178049637,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:A18,0.6194201726906003,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:B05,0.4020987901417672,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:B06,1.3912065972817833,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:B17,0.6753399461064781,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:B18,-1.871018100123357,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:DMSO:0.1,0.0293627251137121,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:E23,1.0840522698644615,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:E24,-0.201494072285048,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:F24,-0.7880785658912737,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:G10,0.6506398003848177,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:G15,0.9476594653233417,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:H15,1.2137665557536654,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:M17,-0.21350778810793447,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:M23,-0.4057981351970928,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:M24,-0.021326590082352548,DMSO,DMSO_No_target,0 uM
DOSBIO001_NEU_24H:N23,-0.13926271096771725,DMSO,DMSO_No_target,0 uM
