level_3_sample_id,cell,time,pert_type,pert_drug,dose
CPC012_NEU_24H_X1_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:E06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:F06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:M09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:M10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X1_B7_DUO52HI53LO:N10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:B18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:E06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:F06,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:I16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:M09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:N09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X2_B7_DUO52HI53LO:N10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:I16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:M09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC012_NEU_24H_X3_B7_DUO52HI53LO:M10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:E05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:I16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:J15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:J16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X1_B7_DUO52HI53LO:N09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:B18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:I16,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:N09,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC013_NEU_24H_X4_B7_DUO52HI53LO:N10,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:A17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:A18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:B17,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:B18,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:E05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:F05,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:I15,NEU,24 h,ctl_vehicle,DMSO,0 uM
CPC014_NEU_24H_X1_B7_DUO52HI53LO:I16,NEU,24 h,ctl_vehicle,DMSO,0 uM
