level_5_sig_id,cell,plate,time,level_3_samples,samples_number,pert_type,pert_drug,targets,targets_number,dose,dose_float
CPC012_NEU_24H:A17,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:A17|CPC012_NEU_24H_X2_B7_DUO52HI53LO:A17,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:A18,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:A18|CPC012_NEU_24H_X2_B7_DUO52HI53LO:A18|CPC012_NEU_24H_X3_B7_DUO52HI53LO:A18,3,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:B17,NEU,CPC012,24 h,CPC012_NEU_24H_X2_B7_DUO52HI53LO:B17|CPC012_NEU_24H_X3_B7_DUO52HI53LO:B17,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:B18,NEU,CPC012,24 h,CPC012_NEU_24H_X2_B7_DUO52HI53LO:B18,1,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:DMSO:-666,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:A17|CPC012_NEU_24H_X1_B7_DUO52HI53LO:A18|CPC012_NEU_24H_X1_B7_DUO52HI53LO:E06|CPC012_NEU_24H_X1_B7_DUO52HI53LO:F05|CPC012_NEU_24H_X1_B7_DUO52HI53LO:F06|CPC012_NEU_24H_X1_B7_DUO52HI53LO:J15|CPC012_NEU_24H_X1_B7_DUO52HI53LO:J16|CPC012_NEU_24H_X1_B7_DUO52HI53LO:M09|CPC012_NEU_24H_X1_B7_DUO52HI53LO:M10|CPC012_NEU_24H_X1_B7_DUO52HI53LO:N10|CPC012_NEU_24H_X2_B7_DUO52HI53LO:A17|CPC012_NEU_24H_X2_B7_DUO52HI53LO:A18|CPC012_NEU_24H_X2_B7_DUO52HI53LO:B17|CPC012_NEU_24H_X2_B7_DUO52HI53LO:B18|CPC012_NEU_24H_X2_B7_DUO52HI53LO:E06|CPC012_NEU_24H_X2_B7_DUO52HI53LO:F05|CPC012_NEU_24H_X2_B7_DUO52HI53LO:F06|CPC012_NEU_24H_X2_B7_DUO52HI53LO:I15|CPC012_NEU_24H_X2_B7_DUO52HI53LO:I16|CPC012_NEU_24H_X2_B7_DUO52HI53LO:J15|CPC012_NEU_24H_X2_B7_DUO52HI53LO:J16|CPC012_NEU_24H_X2_B7_DUO52HI53LO:M09|CPC012_NEU_24H_X2_B7_DUO52HI53LO:N09|CPC012_NEU_24H_X2_B7_DUO52HI53LO:N10|CPC012_NEU_24H_X3_B7_DUO52HI53LO:A18|CPC012_NEU_24H_X3_B7_DUO52HI53LO:B17|CPC012_NEU_24H_X3_B7_DUO52HI53LO:I15|CPC012_NEU_24H_X3_B7_DUO52HI53LO:I16|CPC012_NEU_24H_X3_B7_DUO52HI53LO:J15|CPC012_NEU_24H_X3_B7_DUO52HI53LO:J16|CPC012_NEU_24H_X3_B7_DUO52HI53LO:M09|CPC012_NEU_24H_X3_B7_DUO52HI53LO:M10,32,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:E06,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:E06|CPC012_NEU_24H_X2_B7_DUO52HI53LO:E06,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:F05,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:F05|CPC012_NEU_24H_X2_B7_DUO52HI53LO:F05,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:F06,NEU,CPC012,24 h,CPC012_NEU_24H_X1_B7_DUO52HI53LO:F06|CPC012_NEU_24H_X2_B7_DUO52HI53LO:F06,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:I15,NEU,CPC012,24 h,CPC012_NEU_24H_X2_B7_DUO52HI53LO:I15|CPC012_NEU_24H_X3_B7_DUO52HI53LO:I15,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
CPC012_NEU_24H:I16,NEU,CPC012,24 h,CPC012_NEU_24H_X2_B7_DUO52HI53LO:I16|CPC012_NEU_24H_X3_B7_DUO52HI53LO:I16,2,ctl_vehicle,DMSO,DMSO_No_target,0.0,0 uM,0.0
