level_3_sample_id,cell,time,pert_type,pert_drug,dose
ASG002_U251MG_24H_X1_B35:A03,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:A04,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:A05,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:J13,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:J14,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:J15,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:J16,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:J17,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:J18,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:O04,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:O05,U251MG,24 h,ctl_vehicle,DMSO,0 uM
ASG002_U251MG_24H_X1_B35:O06,U251MG,24 h,ctl_vehicle,DMSO,0 uM
XPR008_U251MG.311_96H_X1_B35:A22,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X1_B35:B20,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X1_B35:B24,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X1_B35:C11,U251MG,96 h,ctl_vector,BRDN0001148129,
XPR008_U251MG.311_96H_X1_B35:C12,U251MG,96 h,ctl_vector,BRDN0001146004,
XPR008_U251MG.311_96H_X1_B35:D07,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X1_B35:D11,U251MG,96 h,ctl_vector,BRDN0001146753,
XPR008_U251MG.311_96H_X1_B35:D12,U251MG,96 h,ctl_vector,BRDN0001477669,
XPR008_U251MG.311_96H_X1_B35:E18,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X1_B35:G19,U251MG,96 h,ctl_vector,BRDN0001148519,
XPR008_U251MG.311_96H_X1_B35:G20,U251MG,96 h,ctl_vector,BRDN0001147223,
XPR008_U251MG.311_96H_X1_B35:H19,U251MG,96 h,ctl_vector,BRDN0001487138,
XPR008_U251MG.311_96H_X1_B35:H20,U251MG,96 h,ctl_vector,BRDN0001149216,
XPR008_U251MG.311_96H_X1_B35:I17,U251MG,96 h,ctl_vector,BRDN0001148145,
XPR008_U251MG.311_96H_X1_B35:I18,U251MG,96 h,ctl_vector,BRDN0001147812,
XPR008_U251MG.311_96H_X1_B35:I23,U251MG,96 h,ctl_untrt,UnTrt,
XPR008_U251MG.311_96H_X1_B35:J17,U251MG,96 h,ctl_vector,BRDN0001146109,
XPR008_U251MG.311_96H_X1_B35:J18,U251MG,96 h,ctl_vector,BRDN0001146085,
XPR008_U251MG.311_96H_X1_B35:K03,U251MG,96 h,ctl_vector,BRDN0001477804,
