,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,0.9999999999999976,0.9999999999999976,0.9999999999999976,0.9999999999999976,0.00031841723603898505,0.001130162328904395,0.0022898326742280825,0.001026463217314907,0.0027572405642565033,0.025501143465644777,0.0,0.0
CDK2,1.0000000000000002,0.0,0.0,0.0,0.9993701675480392,0.11702484403813881,0.001244885607595999,0.0,0.0,0.0,0.0006298324519610453,0.0,0.0
CDK4_6,1.0000000000000009,0.0,0.0,1.0000000000000009,0.8940796583928224,0.0,1.0000000000000009,0.1843316338122114,0.0,0.1820572898857614,0.0,0.0,0.0
PI3K,0.0,0.999999999999997,0.999999999999997,0.0,0.999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.9999999999999966,0.0,0.17792451664668027,0.7796032504925193,0.0,0.0,0.9999999999999966,0.9999999999999966,0.0,0.0,0.9999999999999966,0.0,0.0
Hypoxia,0.0,0.0,0.0,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,1.0000000000000022,1.0000000000000022,0.2628511752368847,0.7994644057813486,0.12274151571902465,0.0,0.0004124315426109333,0.0,1.0000000000000022,1.0000000000000022,0.0,0.0
Aurora,0.0,0.0,1.0000000000000036,0.0,1.0000000000000036,0.0,0.0,0.0,0.0,1.0000000000000036,0.005848467661970245,0.0,0.0
Estrogen,0.4908677361057813,0.00016226466791683647,0.04606712331137313,0.004349897999564203,0.02202718362061914,0.0005031205831699835,0.7912965861955964,0.25321321380150963,0.0,0.0005470305371693779,0.26946956440174685,0.0,0.0
EGFR,0.9493079181417915,0.0,0.0,0.0,0.0,0.003579561944724529,1.0000000000000018,1.0000000000000018,0.09911152015444026,0.0,0.0,0.0,0.0
p53,0.0002840885186308346,0.0,0.0,0.36644647056328394,0.6822761669662802,0.0006816243234170844,0.9302093999924601,0.00016317109790316814,0.9999999999999979,0.00035978212322447886,0.0,0.0,0.0
GBM_onc,1.0000000000000013,1.0000000000000013,0.0,0.0,0.0,1.0000000000000013,0.0,1.0000000000000013,0.0,0.0001601497483404748,0.11030129756880262,0.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
