,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,2.442490654175342e-15,2.442490654175342e-15,2.442490654175342e-15,2.442490654175342e-15,0.017841408198423645,0.033598884832903596,0.04779737796733331,0.03202201727840402,0.05243699255990299,0.1576414766093915,0.0,0.0
CDK2,2.220446049250313e-16,0.0,0.0,0.0,0.025088558409033845,0.3214498870990425,0.035260968044283705,0.0,0.0,0.0,0.025088558409033845,0.0,0.0
CDK4_6,8.881784197001256e-16,0.0,0.0,8.881784197001256e-16,0.30773563791182235,0.0,8.881784197001256e-16,0.3877544101468506,0.0,0.38589173751871647,0.0,0.0,0.0
PI3K,0.0,2.9976021664879234e-15,2.9976021664879234e-15,0.0,2.9976021664879234e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,3.441691376337988e-15,0.0,0.38244919011906064,0.4145142003767989,0.0,0.0,3.441691376337988e-15,3.441691376337988e-15,0.0,0.0,3.441691376337988e-15,0.0,0.0
Hypoxia,0.0,0.0,0.0,3.330669073875471e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,2.220446049250313e-15,2.220446049250313e-15,0.4401822746470748,0.40040113594996835,0.32814026884553654,0.0,0.020304222290784567,0.0,2.220446049250313e-15,2.220446049250313e-15,0.0,0.0
Aurora,0.0,0.0,3.552713678800507e-15,0.0,3.552713678800507e-15,0.0,0.0,0.0,0.0,3.552713678800507e-15,0.07625131531965294,0.0,0.0
Estrogen,0.499916594799739,0.012737281424793202,0.20963049267982922,0.0658101541326076,0.14677188696192028,0.022424706304626944,0.4063819617930767,0.4348520232881766,0.0,0.023382285918207027,0.4436842551442176,0.0,0.0
EGFR,0.21936817156344965,0.0,0.0,0.0,0.0,0.0597222628590747,1.776356839400252e-15,1.776356839400252e-15,0.2988116910817186,0.0,0.0,0.0,0.0
p53,0.016852531333435256,0.0,0.0,0.4818334305286374,0.46559145069049507,0.026099036604802308,0.25479378359396027,0.012772802084741517,2.1094237467877974e-15,0.0189645110679998,0.0,0.0,0.0
GBM_onc,1.332267629550188e-15,1.332267629550188e-15,0.0,0.0,0.0,1.332267629550188e-15,0.0,1.332267629550188e-15,0.0,0.012654015188807911,0.3132649379094977,0.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
