,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,0.32818059294175084,0.23880055250445562,0.1187579239509114,0.09838788512236649,5.405112304078589e-06,1.0762084525079098e-05,-5.132591517549562e-05,-5.2460680968512653e-05,-4.339235277485859e-05,-0.0009244937230798318,0.0,0.0
CDK2,0.4270412698954496,0.0,0.0,0.0,-0.09987806110010689,0.009965724947457101,-8.822246968938604e-05,0.0,0.0,0.0,-3.570514423448858e-05,0.0,0.0
CDK4_6,0.36231946677458565,0.0,0.0,0.14445942064333664,0.12705720704409298,0.0,0.20428147896858934,0.02043165471119423,0.0,0.016458620757119416,0.0,0.0,0.0
PI3K,0.0,0.5364708445479708,0.2925973090785395,0.0,0.18437981914278756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.4535122751468041,0.0,0.04340347768198883,0.12940692705674878,0.0,0.0,0.2574161592447106,0.28873899088433386,0.0,0.0,0.17791863970246236,0.0,0.0
Hypoxia,0.0,0.0,0.0,0.17658074665979046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,-0.4143019036772337,0.4001129131424599,0.05105078930149601,0.14303804177660961,0.01998805667677513,0.0,3.321643088770438e-05,0.0,0.24890946564672956,-0.2293897211896061,0.0,0.0
Aurora,0.0,0.0,0.28857132174250766,0.0,0.23533666973445572,0.0,0.0,0.0,0.0,0.26350683827722254,-0.0005561202968865827,0.0,0.0
Estrogen,-0.07899428548081895,-1.2517832293137605e-05,-0.006370111065702993,-0.0003555023566602948,-0.0022380046563883946,-2.502672966445054e-05,0.08427523950955815,0.03113003970624308,0.0,3.374484856541337e-06,0.024520557160690418,0.0,0.0
EGFR,0.23187895746919984,0.0,0.0,0.0,0.0,0.00043856742319537355,0.17792023367150894,0.17646333712403295,-0.0219615501010947,0.0,0.0,0.0,0.0
p53,-4.852505390798521e-05,0.0,0.0,0.09000048687751928,0.16480561383895148,8.727954490160061e-05,-0.2056058724525778,-5.1625109050390255e-06,0.3855102613216585,1.3680542129376463e-05,0.0,0.0,0.0
GBM_onc,-0.4604986229112259,-1.2591860378810231,0.0,0.0,0.0,-0.2943790292014198,0.0,-0.23853258069131175,0.0,-2.2675307413135704e-05,0.013802550686876948,0.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,1.5071200120836024,3.4302553601907197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
