,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,1.6231489593970236,0.6159041789360001,0.5898903169667173,0.3146859785565722,0.2836707839239081,1.9564174407274438e-15,0.2066166264638716,0.09541903766071091,0.0011852858638191808,0.07657240301228119,0.003074589661389081,-2.5249067014023626e-16,4.529984166194514e-16
CDK2,0.5762748586240742,1.2241968064994342,0.17530058234062038,0.09047403304407102,-0.025400443618861835,1.0488057392664335e-15,0.03249345247648046,-0.006194935869024926,-0.004615666702246999,0.006455519928761019,-0.01197287638057416,-7.3769735682581e-17,2.1674519253528237e-16
CDK4_6,0.9378801680544109,0.3268217587607271,1.5680306990952357,0.3933151681555346,0.42824338233527137,1.6487524676066295e-15,0.4633684509525348,0.1510258743893765,-0.011603658294579993,0.15513314418254634,-0.03009947972538853,-7.263287382814751e-16,3.939734157268487e-16
PI3K,0.7993360803177237,0.8240361326563879,0.6942653755277144,1.244679417235425,0.38219553621484886,2.689912915098126e-15,0.25591162714130733,0.12752508772464508,0.0035837855432474712,0.09730255903187437,0.009296213104576729,-4.2942662571735483e-16,6.542370543539541e-16
ERK,1.1701942642755496,0.38867090309653385,0.76700455407413,0.4396347543532054,1.4671848232124793,2.939142522391992e-15,0.5580842625118293,0.47000114306189855,0.051280858141489284,0.26276097076259064,0.13302073456016658,-2.999593426313947e-16,7.332336610586074e-16
Hypoxia,0.14114736189461408,0.14550891557911108,0.1225938983907235,0.2197864208475041,0.06748837315485752,1.0000000000000007,0.04518906619953411,0.022518475208273603,0.0006328275270955636,0.017181758525757186,0.0016415322511146688,6.063137100096759e-17,1.5274214205491368e-16
PDGFR,0.41916898703890954,-0.31699171643959967,0.7663706197673131,0.21359685134273834,0.4103934629746667,9.47201252128598e-16,1.373740553277413,0.1875572220363914,-0.09333408357218545,0.3913596376283927,-0.24210531582792547,3.8051067002351624e-17,4.118060989184078e-16
Aurora,0.6972874449457076,0.21872149994400808,0.7393452227138039,0.25821019830774383,0.5300829559936892,1.2552602351717614e-15,0.35876482590812575,1.225813239658502,0.0046317805267610465,0.4123101322104049,0.012014675072155498,-9.354430052994632e-16,3.6890231594969487e-16
Estrogen,0.035325566777682504,-0.02671455282549348,0.06458606753397884,0.018000925805396365,0.03458600738534664,-1.3073885062320767e-16,0.11577231415144701,0.01580642980886391,0.9921342477525481,0.032981927195506626,-0.0204034834779352,-2.963148615842689e-16,-8.559204365510589e-17
EGFR,0.5739984021138219,0.12501230443263084,0.4036033167541879,0.1565368916131143,0.2323347938376785,1.7846651978808427e-15,0.35563512660586216,0.27180698670793557,-0.015513839659695569,1.1601439490177392,-0.040242352062196826,-7.463816876188257e-16,5.422210542295313e-16
p53,0.12028934722935501,0.11893177094412125,-0.006265051775059747,0.035477050193940166,0.17075425014618317,1.1978494378255188e-15,-0.1458422904406314,0.044989501501929506,0.4101193421038698,-0.024446485285830998,1.0638350862512518,1.312729773979682e-16,2.8013378963434565e-16
GBM_onc,-1.680971713638842,-1.9201215297505698,-0.7048267211375563,-0.38512815713855786,-0.24495533864161628,-0.2943790292014223,-0.23494178686158207,-0.3351651210626552,0.003975038843613945,-0.1467975359778273,0.010311110344993416,0.9999999999999999,-4.631235231417144e-16
GBM_survival,2.2477946884309103,1.08490643379218,1.5764962898858381,1.4165058845024605,2.442725962253873,3.4302553601907277,0.9961099970134627,0.7855922486972587,0.07945716755875439,0.45495013671129625,0.2061090858810002,-6.287035698014634e-16,1.0000000000000018
