From	To	Strength
CDK2	CDK1	0.32818059294175084
CDK4_6	CDK1	0.23880055250445562
PI3K	CDK1	0.1187579239509114
ERK	CDK1	0.09838788512236649
Hypoxia	CDK1	5.405112304078589e-06
PDGFR	CDK1	1.0762084525079098e-05
Aurora	CDK1	-5.132591517549562e-05
Estrogen	CDK1	-5.2460680968512653e-05
EGFR	CDK1	-4.339235277485859e-05
p53	CDK1	-0.0009244937230798318
CDK1	CDK2	0.4270412698954496
ERK	CDK2	-0.09987806110010689
Hypoxia	CDK2	0.009965724947457101
PDGFR	CDK2	-8.822246968938604e-05
p53	CDK2	-3.570514423448858e-05
CDK1	CDK4_6	0.36231946677458565
PI3K	CDK4_6	0.14445942064333664
ERK	CDK4_6	0.12705720704409298
PDGFR	CDK4_6	0.20428147896858934
Aurora	CDK4_6	0.02043165471119423
EGFR	CDK4_6	0.016458620757119416
CDK2	PI3K	0.5364708445479708
CDK4_6	PI3K	0.2925973090785395
ERK	PI3K	0.18437981914278756
CDK1	ERK	0.4535122751468041
CDK4_6	ERK	0.04340347768198883
PI3K	ERK	0.12940692705674878
PDGFR	ERK	0.2574161592447106
Aurora	ERK	0.28873899088433386
p53	ERK	0.17791863970246236
PI3K	Hypoxia	0.17658074665979046
CDK2	PDGFR	-0.4143019036772337
CDK4_6	PDGFR	0.4001129131424599
PI3K	PDGFR	0.05105078930149601
ERK	PDGFR	0.14303804177660961
Hypoxia	PDGFR	0.01998805667677513
Aurora	PDGFR	3.321643088770438e-05
EGFR	PDGFR	0.24890946564672956
p53	PDGFR	-0.2293897211896061
CDK4_6	Aurora	0.28857132174250766
ERK	Aurora	0.23533666973445572
EGFR	Aurora	0.26350683827722254
p53	Aurora	-0.0005561202968865827
CDK1	Estrogen	-0.07899428548081895
CDK2	Estrogen	-1.2517832293137605e-05
CDK4_6	Estrogen	-0.006370111065702993
PI3K	Estrogen	-0.0003555023566602948
ERK	Estrogen	-0.0022380046563883946
Hypoxia	Estrogen	-2.502672966445054e-05
PDGFR	Estrogen	0.08427523950955815
Aurora	Estrogen	0.03113003970624308
EGFR	Estrogen	3.374484856541337e-06
p53	Estrogen	0.024520557160690418
CDK1	EGFR	0.23187895746919984
Hypoxia	EGFR	0.00043856742319537355
PDGFR	EGFR	0.17792023367150894
Aurora	EGFR	0.17646333712403295
Estrogen	EGFR	-0.0219615501010947
CDK1	p53	-4.852505390798521e-05
PI3K	p53	0.09000048687751928
ERK	p53	0.16480561383895148
Hypoxia	p53	8.727954490160061e-05
PDGFR	p53	-0.2056058724525778
Aurora	p53	-5.1625109050390255e-06
Estrogen	p53	0.3855102613216585
EGFR	p53	1.3680542129376463e-05
CDK1	GBM_onc	-0.4604986229112259
CDK2	GBM_onc	-1.2591860378810231
Hypoxia	GBM_onc	-0.2943790292014198
Aurora	GBM_onc	-0.23853258069131175
EGFR	GBM_onc	-2.2675307413135704e-05
p53	GBM_onc	0.013802550686876948
ERK	GBM_survival	1.5071200120836024
Hypoxia	GBM_survival	3.4302553601907197
