From	To	Strength
CDK2	CDK1	0.32818059294175084
CDK4_6	CDK1	0.23880055250445562
PI3K	CDK1	0.1187579239509114
ERK	CDK1	0.09838788512236649
CDK1	CDK2	0.4270412698954496
ERK	CDK2	-0.09987806110010689
CDK1	CDK4_6	0.36231946677458565
PI3K	CDK4_6	0.14445942064333664
ERK	CDK4_6	0.12705720704409298
PDGFR	CDK4_6	0.20428147896858934
CDK2	PI3K	0.5364708445479708
CDK4_6	PI3K	0.2925973090785395
ERK	PI3K	0.18437981914278756
CDK1	ERK	0.4535122751468041
PI3K	ERK	0.12940692705674878
PDGFR	ERK	0.2574161592447106
Aurora	ERK	0.28873899088433386
p53	ERK	0.17791863970246236
PI3K	Hypoxia	0.17658074665979046
CDK2	PDGFR	-0.4143019036772337
CDK4_6	PDGFR	0.4001129131424599
ERK	PDGFR	0.14303804177660961
EGFR	PDGFR	0.24890946564672956
p53	PDGFR	-0.2293897211896061
CDK4_6	Aurora	0.28857132174250766
ERK	Aurora	0.23533666973445572
EGFR	Aurora	0.26350683827722254
PDGFR	Estrogen	0.08427523950955815
CDK1	EGFR	0.23187895746919984
PDGFR	EGFR	0.17792023367150894
Aurora	EGFR	0.17646333712403295
ERK	p53	0.16480561383895148
PDGFR	p53	-0.2056058724525778
Estrogen	p53	0.3855102613216585
CDK1	GBM_onc	-0.4604986229112259
CDK2	GBM_onc	-1.2591860378810231
Hypoxia	GBM_onc	-0.2943790292014198
Aurora	GBM_onc	-0.23853258069131175
ERK	GBM_survival	1.5071200120836024
Hypoxia	GBM_survival	3.4302553601907197
