,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,0.07417093747040843,0.03801528377134425,0.031085937152982572,0.026469178535581662,0.00034809046830931,0.0005015312980948204,0.0013630870744634938,0.0018053627151080516,0.0013445054485604255,0.006579358643764336,0.0,0.0
CDK2,0.017817576958725004,0.0,0.0,0.0,0.009539100749409573,0.028260876227087423,0.0026477888418211903,0.0,0.0,0.0,0.0014263245605282394,0.0,0.0
CDK4_6,0.04769778269814084,0.0,0.0,0.03152348023122852,0.05119381073036359,0.0,0.028209158744130717,0.04488594965636221,0.0,0.03689042909070317,0.0,0.0,0.0
PI3K,0.0,0.02508479405351754,0.019139124346877708,0.0,0.013140792891627938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.05739191361452972,0.0,0.09511940354083138,0.07694345006792189,0.0,0.0,0.03339807138465028,0.03361714458056883,0.0,0.0,0.027542883729816687,0.0,0.0
Hypoxia,0.0,0.0,0.0,0.001365322786679471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,0.09078326732083447,0.06020424807171991,0.08880474659889008,0.08050442705675645,0.055785120368855926,0.0,0.0016702797820940319,0.0,0.03567685586391988,0.032148252947472374,0.0,0.0
Aurora,0.0,0.0,0.03433404123214186,0.0,0.023964987008141526,0.0,0.0,0.0,0.0,0.022282104578811898,0.007301720687508752,0.0,0.0
Estrogen,0.08623677257607398,0.0009826116479514544,0.030442541697595814,0.005785533526869024,0.015717685885829454,0.0013141956781322981,0.05307113472917255,0.056208966924943225,0.0,0.00037248391444418195,0.043053174973987446,0.0,0.0
EGFR,0.07530302865133194,0.0,0.0,0.0,0.0,0.00749440622468933,0.03943287620344905,0.043922951180530447,0.06817320282012869,0.0,0.0,0.0,0.0
p53,0.003211652717596137,0.0,0.0,0.1250107752528939,0.12039061114512066,0.0034015530383275728,0.07975287915902037,0.0004091145211982796,0.07972496185198055,0.0010383906818763106,0.0,0.0,0.0
GBM_onc,0.058351638968893414,0.09147183250608604,0.0,0.0,0.0,0.04829770564457551,0.0,0.0326811246393315,0.0,0.0017916586656551794,0.04056443836199292,0.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,0.05040161503735586,0.09697385507007922,0.0,0.0,0.0,0.0,0.0,0.0,0.0
