,ASG002_GI1_24H:A10,ASG002_GI1_24H:A11,ASG002_GI1_24H:A12,ASG002_GI1_24H:A19,ASG002_GI1_24H:A20,ASG002_GI1_24H:A21,ASG002_GI1_24H:B10,ASG002_GI1_24H:B11,ASG002_GI1_24H:B12,ASG002_GI1_24H:B13,ASG002_GI1_24H:B15,ASG002_GI1_24H:C13,ASG002_GI1_24H:C14,ASG002_GI1_24H:C15,ASG002_GI1_24H:C16,ASG002_GI1_24H:C17,ASG002_GI1_24H:D22,ASG002_GI1_24H:D23,ASG002_GI1_24H:D24,ASG002_GI1_24H:E19,ASG002_GI1_24H:E20,ASG002_GI1_24H:E21,ASG002_GI1_24H:E22,ASG002_GI1_24H:E23,ASG002_GI1_24H:E24,ASG002_GI1_24H:F01,ASG002_GI1_24H:F02,ASG002_GI1_24H:F03,ASG002_GI1_24H:F04,ASG002_GI1_24H:F05,ASG002_GI1_24H:F06,ASG002_GI1_24H:F16,ASG002_GI1_24H:F17,ASG002_GI1_24H:G07,ASG002_GI1_24H:G09,ASG002_GI1_24H:G16,ASG002_GI1_24H:G17,ASG002_GI1_24H:G18,ASG002_GI1_24H:H16,ASG002_GI1_24H:H17,ASG002_GI1_24H:H18,ASG002_GI1_24H:I13,ASG002_GI1_24H:I14,ASG002_GI1_24H:I15,ASG002_GI1_24H:I20,ASG002_GI1_24H:I21,ASG002_GI1_24H:J04,ASG002_GI1_24H:J05,ASG002_GI1_24H:J06,ASG002_GI1_24H:J10,ASG002_GI1_24H:J11,ASG002_GI1_24H:J12,ASG002_GI1_24H:J19,ASG002_GI1_24H:J20,ASG002_GI1_24H:J21,ASG002_GI1_24H:K22,ASG002_GI1_24H:K23,ASG002_GI1_24H:K24,ASG002_GI1_24H:L01,ASG002_GI1_24H:L02,ASG002_GI1_24H:L03,ASG002_GI1_24H:L10,ASG002_GI1_24H:L11,ASG002_GI1_24H:L12,ASG002_GI1_24H:L16,ASG002_GI1_24H:L17,ASG002_GI1_24H:L18,ASG002_GI1_24H:M07,ASG002_GI1_24H:M08,ASG002_GI1_24H:M09,ASG002_GI1_24H:M22,ASG002_GI1_24H:M23,ASG002_GI1_24H:M24,ASG002_GI1_24H:N13,ASG002_GI1_24H:N14,ASG002_GI1_24H:N15,ASG002_GI1_24H:N19,ASG002_GI1_24H:N20,ASG002_GI1_24H:N21,ASG002_GI1_24H:N23,ASG002_GI1_24H:N24,ASG002_GI1_24H:O10,ASG002_GI1_24H:O11,ASG002_GI1_24H:O12,ASG002_GI1_24H:O13,ASG002_GI1_24H:O14,ASG002_GI1_24H:O15,ASG002_GI1_24H:O22,ASG002_GI1_24H:O23,ASG002_GI1_24H:O24,ASG002_GI1_24H:P16,ASG002_GI1_24H:P17,ASG002_GI1_24H:P18,MOAR008_GI1_24H:L07,MOAR008_GI1_24H:L08,MOAR008_GI1_24H:L09,MOAR008_GI1_24H:N22,MOAR008_GI1_24H:N23,MOAR008_GI1_24H:N24,MOAR009_GI1_24H:C10,MOAR009_GI1_24H:C11,MOAR009_GI1_24H:C12,MOAR010_GI1_24H:A13,MOAR010_GI1_24H:A14,MOAR010_GI1_24H:A15,MOAR010_GI1_24H:D01,MOAR010_GI1_24H:D02,MOAR010_GI1_24H:D03,MOAR010_GI1_24H:J04,MOAR010_GI1_24H:J05,MOAR010_GI1_24H:J06,MOAR010_GI1_24H:J22,MOAR010_GI1_24H:J23,MOAR010_GI1_24H:J24,MOAR010_GI1_24H:K08,MOAR010_GI1_24H:K09,MOAR011_GI1_24H:F07,MOAR011_GI1_24H:F08,MOAR011_GI1_24H:F09
AARS,0.5231845562274646,0.9382846538837146,0.5054843609149646,0.08188416407658572,0.098284501295824,-0.1515657718365002,0.7102849666888904,0.2961843197162342,0.2281844799335193,0.3753850643451404,0.3617847149188709,0.4335849468524646,0.1987846081073474,0.4215848629291248,-0.2096655185406018,0.1113841717059803,0.2874343578632068,-0.07316515995905881,-0.2194158847515393,0.5795848552997303,0.2245843593890857,0.2414844219501209,-0.2329151447002697,-0.01801512791560178,-0.2205154712383557,-0.01961539341853147,0.06108452723576541,0.171984452467699,0.679984826308031,0.09513451502873416,0.3766839687640857,1.202484864455004,0.06178452418400759,0.4898841564471912,0.148084420424242,0.1517846767718982,-0.08881495549128537,0.2287843410785388,1.282884377699633,0.7853849117572498,0.1620843593890857,0.4868848507220935,-0.05591509892390256,0.1812341396625232,1.133984345656176,0.5277850811298084,-0.1353151614849377,-0.2087156589214612,-0.2517149264995862,0.769884843092699,0.4024846737201404,0.5047843639667224,1.223384637099047,-0.08881495549128537,-0.06911490513728147,-0.3691150958721447,0.7637841884906482,0.2130849544818592,0.4723346416766834,-0.4543154056255627,-0.4439155872051526,0.8925845806415271,0.1264846508319568,0.2383840267474842,-0.3233654315655041,-0.1190149600689221,-0.1515657718365002,0.6631848995502185,0.1210344021136951,0.08488442347599978,-0.3473150546734143,-0.3086654956524182,-0.4170152957622815,-0.8425152118389416,-0.267015677232008,-0.1734154040996838,0.6825845424945545,-0.2771150882427502,-0.3971149738018322,-0.5118152911846447,-0.4936153705303479,0.1677348797137928,0.02663494990422244,0.04738499568058963,-0.281415205735426,0.003684777479906032,-0.281415205735426,-0.2467157657329846,0.02308442042424197,-0.7266151721660901,0.6888845150287342,-0.1685154254619885,-0.3635151202862072,-0.3204998970031738,0.1346993446350098,0.5229496955871582,0.212099552154541,0.2864995002746582,0.1553997993469238,0.4161996841430664,0.4061002731323242,0.4019498825073242,0.07930769239153257,0.4838077000209271,-0.2764423915318073,-0.4896429606846393,-0.7249926158360065,0.2636577061244427,0.3726073673793255,-0.03249250139508852,0.1689073017665326,0.2700072697230755,0.06125749860491148,-0.2177923747471393,0.2208072117396771,0.08565725599016538,0.7552003860473633,0.6447505950927734,0.3862504959106445
ABCB6,0.1184418384845438,0.2271421139056864,0.3047421161945048,-0.3821575458233175,0.2385423366840067,0.1559422199542704,0.2986424152667704,-0.07935784413264368,-0.1912581737224874,-0.3394577319805441,0.0065925304706278,-0.8297579105083761,-0.5385572726909933,-0.04355834080622767,-1.024058085221511,-1.027457457322341,-0.6357075984661398,0.08214213297917272,0.02979256556584264,-1.022157889146071,-0.08270762516902064,-0.8340575511638937,-0.1465575511638937,-0.3395578677837667,0.02644230769230749,-0.7412578876201925,-0.03960726811335658,-0.02095769001887415,-0.2582070644085226,-0.6577575023357687,-0.1811578090374288,-0.7988579089824972,0.07424237177922155,0.8260419552142801,-0.4551575000469503,-0.7323577220623312,0.3707425777728739,-0.6005079562847433,0.3488424007709208,-0.5688578899090109,-0.5296075160686788,0.4434421245868387,-0.170157652634841,-0.04585764958308314,-1.090257864732009,-0.8450577075664816,0.2786424343402567,0.2422421161945048,-0.552857619065505,0.03284241602970983,-0.4796573932354269,-0.8166572864239035,0.4585426037128153,-0.6176574046795187,-0.5225574786846456,0.2465422336871805,-0.5138575847332296,0.07644249842717077,-0.419157725114089,0.3917424862201395,0.1612422649676981,0.1088421528155985,0.1079423610980692,0.1367924396808329,0.03609253810002233,0.05374123499943639,0.2366421406085673,-0.2477576549236593,-0.2323567683880148,0.05224253581120397,-0.7079574878399191,0.3098423664386454,-0.9432575519268331,-1.820257883805495,0.4257419292743387,0.2751424495990458,-1.295857649583083,-0.9683077151958761,-0.3938576991741476,0.03469159052922155,-0.03835747792170618,-0.8530075366680441,-0.01645777775691126,-0.08205769612238978,0.7037427608783426,-0.4618074710552511,0.07554222987248327,-0.1557576472942648,0.04444195674015905,0.02124239848210241,0.1304419224078837,0.239742535811204,-0.01595805241511439,0.119199275970459,-0.05175018310546875,-0.3575000762939453,-0.2424502372741699,-0.08135032653808594,-0.620150089263916,0.193150520324707,0.1508002281188965,-0.01419973373413086,0.3024463653564453,-0.3341536521911621,0.106346607208252,-0.3864531517028809,-0.4153542518615723,-0.5359034538269043,-0.2333536148071289,-0.03275346755981445,0.717646598815918,-0.06415367126464844,-0.2825536727905273,0.7017464637756348,-0.324953556060791,-0.1656537055969238,0.1561248302459717,-0.2607243061065674,-0.08352494239807129
ABCC5,0.5645539943988505,0.4401037876422587,0.2253539745624247,0.3102038090045633,0.2947538082416239,0.1674540226276102,0.1636040394122782,0.06470372126652624,-0.2057959850017843,-0.08759615971491908,-0.2387959773723898,0.1345036213214579,0.09550406382634069,-0.249996405381423,-0.4125959689800558,-0.1959464366619406,-0.1749961192791281,0.1859533970172587,0.1090038006122294,-0.1577961261455831,-0.1679961497967062,-0.03214667393611048,-0.09709618641779993,-0.0390460307781515,-0.09189627720759486,-0.04969618870661829,-0.2887461002056417,-0.1209456737224874,0.4918039028461161,-0.2154962833111105,-0.06519578053401087,-0.1250960643474874,-0.09679625584529017,0.06730391429020788,-0.08179638935969447,0.03825356410099889,-0.2927462871258077,0.01530386851384069,-0.1795961673443136,0.1010039036090555,-0.2316462810222921,0.09920384333683874,0.2501037304217997,-0.1052963550274191,-0.07069609715388392,-0.2133962924663839,-0.5886461551372824,-0.3827960307781515,0.08525397227360632,0.106453675490159,0.03670384333683874,-0.02909634663508509,-0.3012463863079367,-0.2242462451641378,-0.1559960658733663,-0.1390960033123312,-0.5418960864727316,0.1881039326007548,-0.6029960925762472,0.1189038936908426,0.01230408595158483,-0.0478961284344015,-0.2780463512127218,-0.05374596669123743,-0.1130959804241476,-0.05419610096858118,-0.1235959346477804,-0.3465959842388449,-0.156945925492507,-0.0657961185161886,-0.2479460056011495,-0.241996031541091,-0.3514458949749288,0.6376040165240946,0.09610392497136022,-0.2209961230938253,-0.7182462032024679,-0.5126960094158468,-0.6002962405865011,-0.2915460879986105,-0.2520963962261495,-0.007995825547438606,-0.1999962146465597,0.01430346415593053,-0.1324965770427999,-0.1113960559551535,-0.3890464122478781,-0.2044961269085226,-0.04489586903498743,-0.3711964900677023,0.01590372965886022,-0.02309630467341517,-0.228296023148757,0.02490019798278809,0.00175023078918457,-0.1162998676300049,-0.3139002323150635,-0.1211497783660889,-0.2534501552581787,-0.1272497177124023,0.2248001098632812,0.16510009765625,0.1847323008946011,0.2947319575718472,0.2483824321201871,0.2099321910313199,0.4979322978428433,-0.1040679386683871,-0.01956762586321137,-0.1415678433009555,3.141582352774484,0.04633222307477691,0.2056320735386441,-0.1918178967067172,-0.1050177982875278,-0.3414679936000278,-0.2908000946044922,-0.1695499420166016,0.5076498985290527
ABCF1,0.5234460097092857,-0.05895431225116354,-0.1558542985182534,-0.2584543961745034,-0.5068541306715737,-0.5012541550856362,0.3980464201707115,0.2617463331956138,-0.2162543076735268,0.2715462904710044,-0.06585414593036276,0.2452458601731529,-0.6512537736159096,0.3112458449143638,0.3954457503098716,-0.5788536805372964,0.1657456618088951,-0.2691536683302651,0.584345744206356,0.4154462080735435,0.3738459807175865,-0.4134541291456948,0.4360455733079185,-0.4451542634230385,0.1830462675828208,0.06714622790996927,0.09964554126446146,-0.3806544083815346,1.292845652653622,-0.6661539811354409,0.4871463042039146,-0.6946535844069253,0.1054457884568443,-0.1650534409743081,-0.6020537156325112,-0.3846045274000893,0.4199456434983482,0.2174462538499107,-0.08655364696796042,-0.5885544556837807,0.01754562671368021,0.299896166874813,-0.1812544602614174,-0.2243538636427651,0.0323456984299888,0.126795695378231,-0.5092535752516518,0.06714622790996927,0.1983460646409263,0.2199458342332115,0.09964554126446146,-0.0991535920363198,-0.2370539445143471,-0.5270539063673745,0.4383458357590904,0.5917462569016685,0.4735459547776451,0.2371463042039146,0.4383458357590904,-0.4994536179762612,0.4615458708543052,-0.3415537614088784,0.3420457106370201,0.4759463530320396,0.3908461790818443,-0.4279537934523354,-0.6164541978102456,0.4031457167405357,0.2305955153245201,0.6118458967942466,0.431945727421688,0.2849463682908286,-0.59600360576923,1.112746165348934,0.3891457777756919,-0.1137543458204995,0.4871463042039146,-0.01905353252704245,0.1302956801194419,-0.08655364696796042,-0.4681540269118081,0.5126456480759849,0.3436459761399497,0.08064644153301614,0.3239459257859458,0.2438458662766685,-0.03775413219745261,0.7321461897629966,-0.171854092524601,-0.6203537720900307,0.3436459761399497,0.3899964552659263,-0.2276535767775307,0.1974506378173828,0.04625034332275391,-0.09044933319091797,0.2983503341674805,-0.06995010375976562,1.268950462341309,-0.07125091552734375,0.4142494201660156,0.2239990234375,0.0797899791172565,1.083438737051827,-0.7685605457850873,0.7426394053867877,-0.266660826546806,0.733339173453194,0.1786392756870807,-0.846861021859306,0.1556395121983112,-0.4737607410975873,0.4708393641880573,0.4420393535069049,-0.860960142953056,0.1482389995029987,0.1876497268676758,0.1603002548217773,0.4076995849609375
ABCF3,-0.1661583093496475,0.3690427633432236,-0.04025708712064358,0.07854212247408299,0.1865428777841416,0.1828922125009385,0.0873931738046494,0.1295427175668564,0.06494272672212986,0.2284425588754502,-0.09855710543119045,-0.08615743196927639,-0.02165757692777248,-0.1225582269521865,-0.543157210716835,-0.5034576562734756,-0.05075799501859279,-0.06965791262113186,-0.07775746859037014,-0.1027570871206436,-0.163457503685585,-0.1926571039053115,-0.04025708712064358,-0.2469078210683975,0.02709234677828221,-0.04265748537503811,-0.06675778902494045,0.1221422048715439,-1.74315749681913,-0.233957877525917,0.1268428655771103,-0.1885582116933975,-0.09745751894437404,0.3031925054696885,-0.135757079491249,-0.2272573617788467,-0.004357924828163107,0.04844225369966892,-0.1827579645010147,-0.1989580301138076,0.04029310666597752,0.1237424703744736,-0.1093574670644912,-0.03065740145169826,-0.3032575754018936,-0.0890575555654678,-0.4251571801992569,-0.2465578225942764,0.09439218961275486,0.06064260922945408,-0.04605733431302639,-0.03815709627591701,-0.289957633385292,-0.362457862267128,-0.09240781343900295,0.1021427007821885,-0.46945725954496,-0.0972076562734756,-4.633707633385292,-0.2464080957266006,0.04719198667086033,-0.1506572870107803,-0.2280574945303115,-0.09960710085355373,-0.1450077203603897,0.01544226132906346,0.05184210263765721,-0.2905574945303115,-0.09605752504788967,-0.2176576761099014,-0.4831577447744522,-0.6220575479360733,-0.5418573526235733,-1.455357661614052,-0.2445579675527725,-0.5147577432485733,-0.2879577783437881,-0.344757666954628,-0.5542579797598037,-0.3958574441763076,-0.3045574334951553,-0.0890575555654678,0.08529222928560642,-0.1680580285879287,-0.1384578851553115,0.1772426458505478,-0.4501577524038467,-0.4306579736562881,-0.4111572412344131,-0.13870774782621,-0.3384576944204483,0.03524244748629002,-0.3157573846670303,-0.230949878692627,-0.08655023574829102,-0.01964998245239258,-0.3930506706237793,-0.6673502922058105,-0.4569506645202637,-0.5389499664306641,-0.08287525177001953,-0.1876001358032227,0.4846032687595905,0.2911037036350788,0.3336032458714069,0.03750358309064517,-0.2217961720057904,-0.3742462566920697,-0.3482963017054974,0.04800353731427798,-0.2686964443751751,-0.4894963673182904,-0.4678965977260052,-0.008396761757987647,-0.1443964413234173,0.1699040957859577,-0.2111248970031738,-0.05957555770874023,-0.08072423934936523
ABHD4,0.4198652414175177,0.8157654908987189,0.3536153940054083,0.05316554583035948,-0.01873482190645692,-0.1091345640329218,0.002965560326209093,-0.4806846471933222,-0.1972345205453729,0.2777653840871954,-0.2793344350961542,-0.1025346609262323,-0.3346847387460565,-0.2788347097543573,1.264665713677039,-0.3160346838144159,-0.09823454343355653,-0.3101347776559686,-0.1905344816354608,-0.1821345182565546,-0.1580346914438104,-0.2920345159677362,-0.2814344259408808,-0.2671350332406854,-0.444734463324914,-0.1283348890451288,-0.002034554114708875,-0.02848471128023622,-0.4598344656137323,-0.8524345251230097,-0.02273453198946473,0.7634655145498419,0.1118651536794806,1.143265834221473,0.381514659294715,0.7742649225088263,-0.1306346746591425,-0.1198347898629999,0.4339152482839728,0.2696152833791876,-0.2437347265390253,1.170465579399695,0.02121507204495909,-0.172834763160119,3.922865500816932,-0.4771345945504999,0.3867651132436896,-0.2000850530771112,-0.092934975257287,0.5574651864858771,-0.1405347677377558,-0.102634796729455,1.120415797600379,0.3665653375478888,-0.05258501493013856,-0.7355846258310175,-0.4804347845224237,-0.5195344778207636,-0.7756346555856561,-0.3253344389108515,-0.2454346510080194,0.2156654504629278,-0.5678347440866327,-0.1652344556955194,-0.2215346189645624,-0.1945346685556268,0.04576550997220519,0.20521461046659,0.00946532762967589,-0.04208458386934755,-0.09488428556002138,-0.5445345731881952,-0.3933347555307245,-0.3804348798898554,-0.2151349874643183,-0.398784527411828,1.102565398583045,-0.3759344907907343,-0.6756347509530878,-0.1922348829416132,-0.3938344808725214,1.410465350517859,0.2598653940054083,-0.1441348882821893,1.181364646324744,0.03486548937283995,-0.3988345953134393,0.7977653650137091,0.2645651010366583,-0.2856849523691034,0.6021152643057013,-0.1953843923715448,-0.4407347532419061,0.1393501758575439,0.2103502750396729,0.1124503612518311,-0.3281500339508057,-0.5012996196746826,-0.6335999965667725,0.3256254196166992,0.3100500106811523,-0.001299858093261719,0.4257070677621027,0.08755704334804015,0.2129571097237726,0.2077572005135675,0.07075711659022765,0.3755571501595636,0.235757078443255,0.1243569510323663,0.1100570814950128,0.01325723103114562,-0.164142881120954,-0.2810929162161688,0.0918070929391046,-0.06834295817783875,1.05935001373291,0.4070501327514648,0.3969502449035645
ABHD6,-0.4910996510432319,-0.3076999737666206,-0.2993000103877144,-0.1483500554011421,0.08770007353562548,-0.1797998501704292,-0.02109986085158155,0.08585042219895556,-0.04425030488234327,0.2713000224186821,0.04170006972092821,0.01750010710496142,0.1198498652531548,-0.1734002186701851,-0.5191000058100776,-0.5030997349665718,0.2631999896122856,0.09644955855149462,0.0312001154972954,0.2507993624760552,0.09624976378220751,-0.0368998600886421,0.3365499423100395,0.05960005980271532,-0.05950003403883741,0.0768997119023247,-0.1195996357844429,-0.02795010346632765,-0.4205000950739937,0.3455001757695122,-0.009599979107196788,-0.08070021409254835,-0.2321999623225288,-0.4532502247737007,-0.4798000409052925,-0.04389982957106398,3.916100208575909,-0.07530003327589796,-0.2514994694636421,-0.09690027970534132,-0.0079997136042671,0.3135001109196587,0.1211997912480278,-0.3967001988337593,-0.2439001156733589,0.0312001154972954,-0.1917999340937691,-0.4559000088618355,-0.2821000172541694,-0.2296999051020698,-0.07750015992384718,-0.08000021714430616,-0.3879001690791206,-0.2738001896784859,-0.2759998394892769,0.1654002116276665,0.3603999064518852,0.2307006762577934,0.1945998118473931,0.1717001841618462,0.09559983473557665,0.1389009402348442,-0.1561000897334175,-0.05909996766310499,-0.0817001416133003,-0.006999786083515147,-0.006900127117450694,0.1974999354435845,0.06529969435471727,-0.03710013169508741,-0.05740004319411085,0.01444977980393602,0.09050006132859423,-0.138300235454853,0.3099004672123833,0.05610007506150438,0.1610996172978325,0.101150219257061,0.1541001246525688,0.1074997828556938,0.03020018797654345,0.03685015898484423,0.01839989882249071,-0.04930001038771437,-0.3061998440669136,0.02739972334641649,-0.2257998539851265,-0.2902997090266304,-0.03380041856032179,-0.006999786083515147,0.1478998110844536,-0.05359965104323194,3.93409985762376,0.1002998352050781,0.108299732208252,-0.1539998054504395,-0.01910018920898438,-0.1439499855041504,0.3385004997253418,-0.09632444381713867,-0.0265498161315918,-0.220400333404541,0.03965714999607606,0.1816568715231757,-0.2847427981240411,-0.5816430704934259,-0.2482428210122247,-0.2051429407937189,-0.1296429293496271,-0.4818429606301446,-0.04664274624415832,-0.0704431193215509,-0.1226429598672052,0.09775689670017762,-0.1743425982339044,-0.2512430804116388,-0.06445026397705078,0.2488498687744141,-0.07445049285888672
ABL1,1.028450452364408,-0.3900494942298298,-0.597750223599947,-0.2410502800574665,-0.4215503105750447,-0.4654498467078572,-0.4995503792395954,-0.3032498726477986,-0.1020503410926228,-0.1705499062171345,-0.1119494804969197,0.06045004037710378,0.4576506247887249,0.7638496985802288,0.3390497794518108,0.4705500235924358,0.5316500296959514,-0.2237496742835408,-0.1874499687781697,-0.1070504555335408,0.3333496680626507,0.4569496741661663,-0.7067494759192829,-0.4370503792395954,0.3418497672447796,-0.4574494728675251,0.06024976877065846,-0.3223996529212361,-2.524049795590914,-0.4546494850745564,0.2086500754723186,-0.1857495674720173,0.2613997092613811,-0.07185033651498607,0.248650037325346,-0.213900125943697,0.1984495749840374,-0.2645497688880329,-0.7149501213660603,-0.1355500588050251,0.5577501883873577,0.1784500708946819,0.5316500296959514,0.3754496207604046,0.3368496528038616,-0.3582501778235798,-1.423949755155123,-0.2759499916663533,-0.03854993673471263,0.1800503363976116,0.3289503684410686,-0.3137002358069783,0.09954973367544362,-0.1881499657264118,-0.7234502205481892,-0.06790021749643138,-0.4514499077430134,-0.176149881803072,-0.5085502037635212,0.09259935525747487,-0.8614497551551228,-0.7077498802771931,-0.5507493385901814,0.3731503119835491,0.2080502143272991,-0.4285502800574665,-0.3359494576087361,-0.2311501869788533,0.6194500556358928,-0.4414496788611775,0.3535503974327678,0.3666500678429241,-0.5268502602210408,-1.42354968877939,-0.6788497337928181,-0.6653504738440876,0.6151499381432171,-0.714449442349947,-0.04204992147592357,-0.7060990700354939,-0.3583999046912556,0.469749890840971,0.275200330294096,-0.5371499428382283,0.254849874056303,-0.8695497879615193,-0.8466496834388142,0.3125500312218303,-0.2187495598426228,0.5284504523644085,-0.808650053464449,-0.9797983536353474,-0.7189498314490681,-0.54425048828125,-0.3733501434326172,0.3609495162963867,0.2029495239257812,-0.9921493530273438,-0.3540496826171875,0.3717498779296875,0.0167999267578125,0.04454994201660156,-0.3667469024658203,-0.3608465194702148,0.09485340118408203,0.8983535766601562,-0.3418464660644531,0.4779539108276367,0.2939538955688477,-0.8114466667175293,0.02715396881103516,-0.7233462333679199,0.1369533538818359,0.2976531982421875,0.03855323791503906,-0.6674466133117676,-0.1759252548217773,0.705174446105957,0.1766252517700195
ACAA1,0.1723115260784445,0.3368112857525167,0.3942115123455343,0.5124614055340109,-0.6393382732684794,0.3859112079326925,0.5002615268413839,-0.4565885250384989,0.3005115802471456,0.5551616962139425,-0.5945885364825907,0.4559113795940695,-0.3628885929401102,0.4117610271160421,-0.484688538771409,-0.8362386410052958,-0.5048883144672098,0.295411330003005,0.4489118869488058,0.05681155278132533,-0.515438336592454,0.2277114207927999,-0.7090885822589579,-0.3816883747394266,-0.7115886394794169,0.60971186711238,-0.5803883259113016,-0.4065387432391825,1.045711260575515,-0.4513881389911356,-0.5203883831317606,0.4423615749065695,-0.3608882610614481,0.571961622971755,-0.1360886280353251,-0.2319882099445048,-0.4036882107074442,0.5997106845562277,0.06401131703303431,0.3687116916363058,-0.4746883098895731,-0.7811382000262919,0.2870113666240988,-0.3477885906512919,0.3060109431927023,-0.5201881115253153,-0.4845383350665751,0.2703115756695089,0.5390107448284445,-0.2645385448749247,-0.3074386303241434,-0.3148882572467508,0.5341121967022238,0.3650114352886495,0.1576115901653585,0.3142115886394796,-1.362838525038499,0.1388618762676535,1.310011606950026,0.1992113406841574,-0.6214387600238505,-0.3394887630756083,-0.4981882755572977,0.4268610294048605,-0.350988644819993,0.3651120479290304,-0.580288190108079,-0.3968384449298563,0.4725615794842062,0.9211613948528585,0.3805615718548117,-0.5157883350665751,0.2639119441692648,0.63211176945613,-0.321588296156663,0.2015116031353292,-1.049688595991868,-0.7210881893451395,-0.1032383625323954,-0.5710885708148661,-0.6026885692889872,-0.5658385937030497,-0.3542883579547587,-0.4981882755572977,-0.6086881344134989,-0.6137883846576395,-0.935388344984788,0.08971140934870814,-0.972838181715745,-0.3640883152301493,0.3979117686931906,0.3086116130535421,0.4191615398113546,1.230025053024292,0.9546749591827393,0.9594752788543701,0.4218251705169678,-0.5786750316619873,-0.6120750904083252,-0.6184000968933105,0.09769964218139648,-0.8886508941650391,0.4687421321868896,0.5800430774688721,-0.2783572673797607,-0.7053573131561279,0.1172430515289307,-0.3848569393157959,0.6496431827545166,-0.3553569316864014,0.4226434230804443,-0.5602071285247803,0.5500428676605225,0.9501426219940186,0.1821424961090088,0.6691429615020752,0.7749497890472412,-0.1374504566192627,0.724449872970581
ACAT2,-0.5305347075829143,-0.5794844260582561,-0.1458844771751995,-3.254434548891508,0.2443151840796833,0.3268652329078083,-0.535484754122221,-0.4022345176109905,-0.1119346251854534,0.0777149567237263,-0.2834348311791057,-0.4973344436058635,-0.1751842131981487,-0.1823844542870159,-0.4376844993004436,-1.42268415597769,1.333715475522554,-0.03198429254385182,-0.07303424981924245,1.170465506040133,0.2641153702369099,-0.1282844176659221,-0.129084550417387,-0.2456345191368694,0.5273151764502888,-0.3390845885643596,-0.5271844497093792,-0.4185847869286174,0.7169151672950154,-0.9226851096520061,-0.3937844863304729,1.435315168820894,-0.2805842986473674,0.6853151688208943,0.2750149139991169,2.802915609799898,0.08091548772958568,-0.1156348815331096,-0.2198342910179729,-0.3141846290001507,-0.1585845580467815,0.4277153381934529,-0.03548427728506276,-0.2430848708519573,0.6968155274024372,-0.1926846137413616,0.3334150681128865,0.1008158096900349,-0.2982344260582561,1.199015654050386,-0.07183452752920338,-0.1450848212608928,-0.2725844016441936,0.4577150711646443,0.05451492162851146,0.2761154541602497,-0.217984639681303,-0.03493496087881276,1.027814901792086,0.4788151154151326,-0.1276845565209026,0.3665151962867146,-0.4783844581017132,-0.09248443750234792,0.04636577459482005,-0.1993846526512737,-0.06618496087881276,-3.290384732759916,-0.2509846320519085,-0.4045848479637737,0.05016521307138255,0.1077156433692341,0.05111507269052318,0.9867153534522419,0.4851150879493122,0.4268656143775349,3.116815603696383,0.2918157944312458,0.3650150665870076,0.0898151764502888,-0.192784272707426,2.621015585385836,0.2870159515967732,0.1246652969947224,1.055914915524996,0.1737156281104451,0.00596622320321849,-0.1903848281273479,-0.4518842330345745,0.007815397702730209,0.7613153824439411,-0.02698417810293385,0.04101566167978099,-0.2633500099182129,-0.2577500343322754,-0.01695013046264648,0.3134503364562988,-0.1250004768371582,0.07115030288696289,0.4090003967285156,0.1198997497558594,0.4423494338989258,-0.05628517695835633,-0.03383568355015321,-0.3774359566824774,-1.256435666765485,-1.095535550798688,-1.029585633959089,-0.5975354058401923,-0.01723602839878602,-0.1008360726492743,-0.3038857323782782,-0.02553585597446961,-0.1846354348318915,-0.07033566066196961,0.0277650015694757,1.444699764251709,0.5816998481750488,-0.0448002815246582
