,ASG002_GI1_24H:A10,ASG002_GI1_24H:A11,ASG002_GI1_24H:A12,ASG002_GI1_24H:A19,ASG002_GI1_24H:A20,ASG002_GI1_24H:A21,ASG002_GI1_24H:B10,ASG002_GI1_24H:B11,ASG002_GI1_24H:B12,ASG002_GI1_24H:B13,ASG002_GI1_24H:B15,ASG002_GI1_24H:C13,ASG002_GI1_24H:C14,ASG002_GI1_24H:C15,ASG002_GI1_24H:C16,ASG002_GI1_24H:C17,ASG002_GI1_24H:D22,ASG002_GI1_24H:D23,ASG002_GI1_24H:D24,ASG002_GI1_24H:E19,ASG002_GI1_24H:E20,ASG002_GI1_24H:E21,ASG002_GI1_24H:E22,ASG002_GI1_24H:E23,ASG002_GI1_24H:E24,ASG002_GI1_24H:F01,ASG002_GI1_24H:F02,ASG002_GI1_24H:F03,ASG002_GI1_24H:F04,ASG002_GI1_24H:F05,ASG002_GI1_24H:F06,ASG002_GI1_24H:F16,ASG002_GI1_24H:F17,ASG002_GI1_24H:G07,ASG002_GI1_24H:G09,ASG002_GI1_24H:G16,ASG002_GI1_24H:G17,ASG002_GI1_24H:G18,ASG002_GI1_24H:H16,ASG002_GI1_24H:H17,ASG002_GI1_24H:H18,ASG002_GI1_24H:I13,ASG002_GI1_24H:I14,ASG002_GI1_24H:I15,ASG002_GI1_24H:I20,ASG002_GI1_24H:I21,ASG002_GI1_24H:J04,ASG002_GI1_24H:J05,ASG002_GI1_24H:J06,ASG002_GI1_24H:J10,ASG002_GI1_24H:J11,ASG002_GI1_24H:J12,ASG002_GI1_24H:J19,ASG002_GI1_24H:J20,ASG002_GI1_24H:J21,ASG002_GI1_24H:K22,ASG002_GI1_24H:K23,ASG002_GI1_24H:K24,ASG002_GI1_24H:L01,ASG002_GI1_24H:L02,ASG002_GI1_24H:L03,ASG002_GI1_24H:L10,ASG002_GI1_24H:L11,ASG002_GI1_24H:L12,ASG002_GI1_24H:L16,ASG002_GI1_24H:L17,ASG002_GI1_24H:L18,ASG002_GI1_24H:M07,ASG002_GI1_24H:M08,ASG002_GI1_24H:M09,ASG002_GI1_24H:M22,ASG002_GI1_24H:M23,ASG002_GI1_24H:M24,ASG002_GI1_24H:N13,ASG002_GI1_24H:N14,ASG002_GI1_24H:N15,ASG002_GI1_24H:N19,ASG002_GI1_24H:N20,ASG002_GI1_24H:N21,ASG002_GI1_24H:N23,ASG002_GI1_24H:N24,ASG002_GI1_24H:O10,ASG002_GI1_24H:O11,ASG002_GI1_24H:O12,ASG002_GI1_24H:O13,ASG002_GI1_24H:O14,ASG002_GI1_24H:O15,ASG002_GI1_24H:O22,ASG002_GI1_24H:O23,ASG002_GI1_24H:O24,ASG002_GI1_24H:P16,ASG002_GI1_24H:P17,ASG002_GI1_24H:P18,MOAR008_GI1_24H:L07,MOAR008_GI1_24H:L08,MOAR008_GI1_24H:L09,MOAR008_GI1_24H:N22,MOAR008_GI1_24H:N23,MOAR008_GI1_24H:N24,MOAR009_GI1_24H:C10,MOAR009_GI1_24H:C11,MOAR009_GI1_24H:C12,MOAR010_GI1_24H:A13,MOAR010_GI1_24H:A14,MOAR010_GI1_24H:A15,MOAR010_GI1_24H:D01,MOAR010_GI1_24H:D02,MOAR010_GI1_24H:D03,MOAR010_GI1_24H:J04,MOAR010_GI1_24H:J05,MOAR010_GI1_24H:J06,MOAR010_GI1_24H:J22,MOAR010_GI1_24H:J23,MOAR010_GI1_24H:J24,MOAR010_GI1_24H:K08,MOAR010_GI1_24H:K09,MOAR011_GI1_24H:F07,MOAR011_GI1_24H:F08,MOAR011_GI1_24H:F09
CDK1,-0.5324564042139875,-0.09083762986801189,-9.134806201011783e-05,0.002085180298773287,-0.16589984916231107,-0.12183552687255875,-0.06889037808307602,-0.32462170027212944,-0.24614886331065933,-0.44734652528484153,-0.2435002396634686,-0.053595914205997346,-0.07540509456952015,-0.18511032724805093,-0.3111402594996301,-0.2866880957041664,-0.20354366922934422,-0.12706331996826983,-0.0791133995255697,-0.08558978280399326,-0.2529876117819844,-0.2031515283687448,-0.43758325774703605,-0.004760685254760306,-0.3657815446236711,-0.5737414543407917,-0.7167332877837438,-0.2136017861838925,-1.9806632203063619,-0.3060334455473414,-0.2434884027046116,-0.04717605119036765,-0.1701823309026997,-0.18551158916323182,-0.00855251051852989,-0.1896993927596519,-0.3859696723882455,0.13027054213943018,-0.32473888065022066,-0.08428012507718727,-0.13708606721921957,-0.22879598110218277,0.06988760285162664,0.0372514096347979,-0.17539852480070145,0.014009983398180506,-0.5945896476487863,-0.17518169231030345,0.09252012081064648,-0.19298968402303376,-0.012695954445661099,-0.0661321728099879,-0.6243271230469498,-0.16032857360076883,-0.04658149499658895,-0.4090234695809922,-0.9966940058201644,-0.3530630272928817,-1.9364303577359079,-0.9644614808622423,-0.5131292111502239,-0.18381096045268133,-0.20710959031578124,-0.1198901829462463,-0.023394659994141292,-0.30247017186443054,-0.048031778803166086,-0.12340851202245076,-0.4921746996885411,-0.030580825459163213,-0.19041512057271046,-0.04870969465278258,-0.4333296814401364,-1.7648239241633954,-1.5369689352085183,-1.2369668194701802,-0.5516804932501209,-0.3755909503742,-0.6825021568342713,-0.39102444052165886,-0.1562163462909309,-0.035425020161813106,-0.05672022528916627,-0.1447543423963433,-0.06329573717694287,-0.382306250924586,-0.21948722948434501,-1.4568225602507188,-0.15535247188913498,0.011041908877843523,-0.4332767919010956,-0.25254545480170093,-0.1269445415764031,0.06133969486289955,0.042206975329060134,-0.0033066354959580594,-0.27628185492374047,-0.14905487855157534,-0.10606595954320036,0.04283106074526676,0.016423176053680093,-0.1814705161281673,-0.2855909477941794,-0.3958714954754582,-0.0356281546440403,-0.16306819828778155,-0.26513879126560985,-0.262776698719674,0.056551009789814456,0.010588188956456112,0.08724095450503282,-0.2918943728975924,-0.010808652406465915,-0.19154622279165956,-0.15225776228742197,-0.030956293454484297,-0.3257111638047447,-0.07560672208519895,0.06538052776042139
CDK2,-0.0059152840292900095,0.05843748974333956,-0.005471948854398229,-0.46864542006351045,-0.25894705701977394,-0.05107850334378449,0.08379922777083107,-0.1498566578582389,0.06921899510671178,0.036831274879772787,0.13837308702151954,0.054240977462686496,0.021719633133414528,0.09707386988946798,0.0486260375841139,0.1517635739156225,0.07358104281238424,0.1195538590462668,-0.08183284688981615,-0.21196564676990715,-0.04903390045417966,0.03185545660624054,-0.8661966842419043,-0.32257611414972037,0.016863844504297773,-0.16954602458696563,0.014949583498928757,0.09294491064693676,-1.3654229061684136,0.03010086700572949,-0.027899923158953188,-0.06340227609256695,0.14090330482033317,0.19036070124339502,0.2043845686300301,-0.020057010084668616,-0.0016802224343033794,0.04753477840833872,-0.032862436388328115,0.08279237420252454,0.030154244669539376,0.007733316399755543,0.07597863985565514,0.05333971247610277,0.004452483151074991,0.09926286901394211,0.17112912732102986,0.1807106285701728,0.07348038056261477,0.07837113047023096,-0.01067257160516829,-0.07395752607102188,0.001108053158587336,0.18158759523493065,0.1339115231007549,0.05320594402209887,-0.10183822363712022,-0.10696319276036702,-1.9201607904540008,-0.2427531374644537,-0.011187739720292671,0.01934189443593501,0.0849791570707644,0.06690175760944396,0.04838248487367361,0.014028686079003648,0.04944958327782823,-0.21979097979083495,-0.024918677851009565,0.08381192332473895,0.08365586052333544,0.09768161749136053,0.031522853611579825,-0.9054553208093372,-0.08370490169227912,-0.15391222246008623,-0.14609654033118813,0.03448736666586062,-0.1274897147306522,0.018607534697377918,0.06595540202512042,0.02806476103074322,0.08963845553663145,0.07474338395407873,0.11157332468595184,0.05269776882623541,0.17843657265430124,0.03888560485627991,-0.004734643814197511,-0.0403463400664729,0.002293418989207887,-0.016792643560001937,-0.04102004738091284,-0.02833964359043026,0.027325744563227842,-0.007368423360126752,-0.20379134212175604,-0.11356930559070397,-0.1530858029234359,0.02208796558005314,-0.020642266297962873,0.05060050782416007,0.043215265715546104,0.06599548277074473,0.10911092215914996,0.10266829836156044,0.04033443320903494,-0.0894665406746591,0.018466541778466683,-0.08942856185878748,0.014765125160407172,-0.007504215311277598,-0.23540201765446647,0.06659001331278587,0.03649235049026958,-0.11173444497399636,0.021895948340192928,0.011416853226086876,0.041343069532295815
CDK4_6,-1.0203495155140825,-0.15648883425386406,0.006784973708541297,-0.30980452450407736,-0.3623261921604723,-0.20651293971094814,-0.27363328346350535,-0.37678508905524505,-0.4319365834474185,-1.0814090489306385,-0.5344788678275435,-0.05454685895443368,-0.12903337027558956,-0.3785151838487509,-0.497774264971939,-0.4204112264198536,-0.343610447279575,-0.4338392088078749,-0.2880108925159565,-0.2386973486173823,-0.2617304417226878,-0.22854186636258894,-0.45937798722061296,-0.13313016365078414,-0.7291255135570467,-0.7055400595443554,-0.9316009834380611,-0.4642707287891895,-1.9733210091506956,-1.203906402141711,-0.6163678640894613,-0.5335694515805387,-0.4845173509214715,-0.8901376788353998,0.06446633190976125,-0.05422176186269001,-0.324000369317082,-0.2249378278042903,-0.9484613285406566,-0.400767368430334,-0.1798142701889791,-0.2593112478528288,-0.12454679905819956,-0.024808976111750005,-0.810234812703031,-0.42580147917658084,-1.3003981449724005,-0.2893908405969361,-0.15388778738085415,-0.19840208054952269,-0.05505636624033516,-0.004572285394414915,-1.1258321471504733,-0.14828493615608387,-0.13012844267378448,-0.4480779085092183,-1.4591128948020615,-0.8547680797741557,-1.3382049275828238,-0.25053734162573177,-0.3889656056131777,-0.3108412485872067,-0.6523164282679704,-0.29469589384042005,-0.20448696247365425,-0.4029765155481012,-0.23801682178159012,-0.8510406570774669,-0.32528317177797633,-0.18833295561761096,-0.39398051413963947,-0.4884735283568612,-1.2738046200751294,-0.9208796166984133,-0.5220187745567874,-0.8614232897362962,-1.5043710605655474,-0.6177580483279611,-0.7383029484771355,-0.6934386582162338,-0.3320972560109723,0.033590966536743795,-0.2792730504808851,-0.17038418961044244,-0.2582050685832478,-0.33035284466748127,0.6340044373194355,-0.526790964742823,-0.643978156823122,-0.1786356940125129,-1.5118676821905999,-1.389932601270114,-0.9548173494127934,0.23392945660025063,-0.07822197122897458,-0.19017654656499394,0.01331587367417016,-0.30213135217080395,-0.5423408592141836,0.09344364237991798,0.11659071639849573,-0.2842854379718061,-0.41058698978528113,-0.17409824593800957,-0.05859455965200842,-0.031221706513583594,-0.6812807016961112,-0.36370544883470624,0.008171286519011344,0.12311268471544051,-0.029466810743811765,-0.00853062494710402,0.12266465786093601,-0.16191479961838026,-0.20693305464357545,-0.26966618984454144,-0.1948065158181889,-0.20176060941536839,0.13102795441501391
PI3K,-1.980468506936361,-1.5117151728671547,-1.2829475822296261,-1.7657353253028998,-1.240682428837226,-0.5395636925014277,-0.15097158485032286,-0.2571322070236941,-0.6157372087441959,-0.5649196329572345,-0.1905725839533351,-0.036365371706033635,-0.22470877615783785,-0.17245450083656463,-1.4768805131778127,-0.5366616749553869,-0.3684686145523358,-0.19768745399799045,-0.4684499710445083,-0.04008513046786093,-0.6042073027261007,-0.09731335631228964,-0.5950961550816831,-0.15913374280417747,-0.3202445149301632,-1.3387359387057909,-0.7269523492961133,-0.135877040036523,-1.8998550910530394,-0.03226169477951615,-0.28508933303027856,-0.4557902283407566,-0.19145513197301392,-0.030293661363859484,0.28809700421744794,-0.15128141736107706,-0.2951455235345131,-0.1216696966338906,-0.6260131439589249,-0.3451642281811255,-0.060421375682184496,-0.32796959496043926,-0.30506934712694156,0.05269971549859833,-0.08153352439503705,-0.29758976022666794,-0.4865900621038198,-0.0759983407933391,-0.006556749097058432,-0.7029547340999285,-0.07371518988073249,-0.23313799657363982,-0.8650251323637954,-0.1333211554260861,0.06453098479900504,-0.248197894965776,-1.1871708686708036,-0.5517781755057972,-1.9260404845568952,-0.3344816817958413,-0.2628950366065402,-0.10227853487659898,-0.14792489936252343,-0.12139567639639103,-0.4842088217113482,0.02417925184869339,-0.18271885355166842,-0.7827700750006472,-0.4443484974882096,0.037454213449656444,-0.16643918411742226,-0.33819815552438054,-0.48316511884592045,-1.157266544640776,-0.4717708990992293,-0.3353563818560452,-1.1669480968705754,-0.34940247692161286,-0.661031645099445,-0.021259656647244246,-0.10800765496280265,0.236369432612146,-0.3247031629095778,-0.19087466517854243,-0.807363936533316,-0.45135887399710634,-0.34555157407459175,-1.913441036848114,-1.5066244149750274,-0.5603606482368201,-0.8006913723859242,-0.36887071086516426,-0.47173692214017526,-0.578763062336999,-0.09164745202762313,-0.11412329913889951,0.07962066894748597,-0.45765102996509077,0.01287898333233269,0.09069424584573227,-0.20832991606473822,-0.30940268071357735,-0.24949512235091398,-0.15538857401849365,0.06340577928091119,-1.1419481925983186,-0.6409930682968766,-0.32217858001977895,-0.28976169189416895,0.1444858630185597,-0.3257222645910621,-0.1814216106676171,-0.15661985942009748,-0.41222253254131314,-0.14209276224185194,-0.24298454948611278,-0.7384645711231396,-0.3358612974094356,0.07084301303070287
ERK,-1.0697819395542905,-0.4340940024523876,-0.32745699465991474,-0.6271887003750796,-0.3246589088496487,-0.6646449850223077,-0.42113752575653335,-0.9768001076847236,-0.589117200220103,-1.1098560158223145,-0.5747048799116828,-0.43625342420375884,-0.7495234607303863,-1.0232534614834725,-0.5768327292752683,-0.6540095864684975,-0.6157341982133979,-0.5715981979227667,-0.38915462172592613,-0.5012214849666446,-0.4705719374621077,-0.5740159910417545,-0.7794692760156139,-0.4685753718925751,-0.7102626365442397,-0.5117559667162725,0.7326913343887327,-0.3315320470893394,-1.9315577527643075,-0.563723896206864,-0.9115536571423274,-0.7872437852710011,-0.33123855923254847,-1.7289251956079228,-1.2859213377807388,-0.3841084670290468,-0.7820323353087953,-0.24684670844151743,-1.4410927609893915,-0.6614236279212503,-0.38996131914960863,-0.7588240185023292,-0.17664972508642582,-0.3234788043051184,-1.8011704234502393,-0.7211878697819694,-1.7161033222957491,-0.8328686616914122,-0.21299676609037577,-0.830889601116813,-0.5121915283975856,-0.5528481981725584,-1.4269586642471146,-0.5283567195537013,-0.08897256567669683,-1.694739542147375,-1.5364498124362325,-0.7125878820194027,-1.4443908523950717,-0.3422556208015076,-0.3553750117976776,-0.7745389761897742,-0.4279890389434231,-0.4869093880239776,-0.35693811528755687,-0.562697441538391,-0.2578571142513169,-1.642314246870071,-1.3568576162795754,-0.5388833957891245,-0.9094038200796035,-0.5085698278160995,-0.9206201957891935,-1.9925596899525715,-0.8740026429670086,-1.2033048253394456,-1.0080974306456307,-0.9251454817693879,-1.4672093692665062,-0.2588560094857748,-0.21098125846056795,-0.9828461845687892,-0.3759526119752044,-0.25309573252349776,-1.7796517449359217,-1.7359453600258756,-1.217327021345053,-1.8398156079205676,-0.6379524386067881,-0.5430297722289418,-1.7797796725337265,-0.5282577757666651,-0.3472919367908791,-0.2148720301148936,0.03728906692050397,-0.06660768992308065,-0.5577960658222433,-0.39390084307447737,-0.22788495267988776,-0.25798042798293497,0.03455258694879696,-0.12727281973305696,-0.19735803427434817,0.024931963215718608,0.21098491436265374,-0.28402203754602423,0.037744047434771714,-0.25684474278669944,-0.0906033513107431,-0.06576362220034236,0.09849908816888862,-0.04784420757627854,0.10880541511039872,0.04145708190466253,-0.0891129199843776,-0.08585367495392444,-0.30583345279578833,-0.370252477667951,-0.017460077050232448
Hypoxia,-0.25438663809511664,0.023141774847274574,0.058140743014894934,0.041423305036303516,-0.03541137623579777,-0.038287992095744496,0.08456362184889328,-0.10913289429330227,-0.03647916128314746,-0.1579798176062509,-0.09113944605085726,-0.03809623126696514,-0.08650912226690818,-0.044618650315188496,-0.2330080732273888,-0.20714647821812804,-0.07651010675261521,-0.04465866143417295,-0.12330926645072622,-0.07357083219214658,-0.12385171415737825,-0.024362009565769095,-0.19377625217962108,-0.021020560602007892,-0.0979952184224544,-0.053179029500369374,-0.08344596034795344,-0.020004203748407102,-0.6341573315395195,-0.13383560891349527,-0.1528423491143129,0.05503460192628395,-0.004754077022800114,0.3255896368291687,0.2969094762907057,-0.03014569145586793,-0.04678004932698204,0.0012894614206938296,-0.02074703670325798,0.050975627790122546,-0.031156178826395414,-0.07396217161215145,0.029292089922461368,-0.013010800987163557,-0.0035520126531588337,-0.11389453526725002,0.05950493712477112,0.08020562621494581,0.09836014884098995,0.04939053950926813,-0.03342125934555337,-0.06641456222740974,0.03593072853074358,0.15364015715641927,0.0622886244692955,-0.041435191139398204,-0.25663791040919565,-0.17552639700967074,-0.7602712760092855,-0.07077595526233431,0.005214920810512732,-0.0237580829117139,-0.08866569212927025,-0.09091811286850279,0.03505714505668041,-0.02923447429251344,-0.02870518543674398,-0.05749044301854351,-0.0008424798243575424,-0.08207806973883046,-0.10197676168791552,-0.008803657793843121,-0.07868202087900712,-0.686961726900841,-0.09895702575848464,-0.07420404858814857,-0.12839360382964693,-0.03544535703336852,-0.11718873335922436,-0.1032966397483739,-0.050089835594948146,0.025926134635282715,-0.07394754044846885,0.13022812417737073,0.004046611660476444,0.036090622592023884,-0.04973943056251703,-0.5683185955826784,-0.1810505072230246,-0.05803590811675173,-0.041813828306548846,-0.028598340934737208,-0.032290965360290885,-1.6584899538808089,-1.5866558058597495,-1.6660613697069613,-1.9689995069557238,-1.787270912095219,-1.8223255732269146,0.039414384095627246,0.00331521651935954,-0.018117475657291358,-0.08247721730471988,0.8414886594978532,0.08807453151019051,-0.43933877017033934,-0.26156402308015303,-0.21897172153034802,-0.34623267980235134,-0.11606088237500135,-0.009096280160264182,0.05560439032284282,-0.09055567376860992,-0.06251010094510495,-0.0370845359911387,0.08156079478528208,-0.02281929592434808,-0.004053388999855161,-0.022676715051162376
PDGFR,-1.0471158582598814,0.08564762093277645,0.24996006493483497,-0.016258322699431362,-0.2872352707169121,-0.05636702136212822,0.18048335658152664,-0.5006958422683675,0.00393893738020737,-0.28082238400807547,-0.8875884030686529,-0.07375719803308488,-0.0453359546078682,-0.07843836276146968,-1.0769222753556644,-1.2061272415259359,-1.546510468131816,-0.8680323269270626,-0.24978648844409124,-1.3951445993074196,-0.3296397996035266,-0.16263838117648813,0.03676792748254985,-0.12383604235298362,-1.98614534955459,-0.8419387790138171,0.04645229912319515,-0.48645187757525177,-0.8013233803725964,-0.2251749928736673,-0.7684421349571384,-0.5342413379244726,-0.9157743192788564,0.1355128371273116,0.07763622839126413,-1.6271234797890288,-0.9344609297620445,-0.18827275050708628,-0.6667469007243084,-0.8890662112857097,-0.4617774442049657,0.012614213333487044,-0.032841655122453316,-0.998895980483563,-1.6091673075893986,-1.427572983928707,-1.0486025197290059,0.2364401822323124,-0.5648823658987939,-0.1768686175035796,-0.18665078467834811,0.15778367316152267,-1.5094073817591602,-0.14828112391980708,-0.9584079036970303,-1.4293674907013674,-0.7443372174044854,-0.608606533490711,-0.5495072937096921,-0.050504259971706544,-0.6609768565563549,0.09003138049621799,-1.131309691295873,-0.7098983600829055,-0.5290028287753559,-0.25893501567355903,-0.302671358323201,-1.41549773954988,-0.5785513408076511,0.31875263195069703,0.14730025940642433,-0.8468878241585556,-0.5001912611503914,0.2077961620783736,-0.08144618460753855,-0.0645918673904423,-1.9567788069654506,-0.8059029882468128,-0.4519483900298097,-1.0567537913313017,-0.7729045213730955,0.16449199177344295,0.337056212768371,0.08790603615200751,0.08574967412983021,0.12237609703332895,-0.21929935866468572,-1.1829273209295637,-0.5527131127574119,-0.18935696476580285,-1.341573308741223,0.06947174897808009,-0.15783815240808896,-0.03718489840170905,0.0117934624295689,-0.023423763395363673,-0.5858950005697137,-0.6383012738192303,-0.6440172764897489,0.04350423649584879,-0.2754269523349817,-0.19110605790035867,0.19862234351959296,-0.009008037461240574,-0.13013091220223993,0.12360433212879877,-0.09706258265280471,0.2398358228656322,-0.03065761905824658,0.17456608070339039,-0.001951299605124644,0.21092361735253054,0.13590909910616136,0.03130256307950523,0.23238113165694257,0.10520869456456246,-0.08700686396510063,-0.09690089243479771,0.006697758101970124
Aurora,-0.17694590413214908,0.16553799015238033,0.09850465696962217,0.043972258636345025,-0.15694698062903886,-0.19221232702717359,-0.3685803042693129,-0.4722878603930366,0.026675003857167902,-0.8812481992070992,-1.4302074460275964,0.020678087651254718,-0.2042356707499672,-0.35292965255153874,-0.17274447502654358,-0.023242935267244958,-0.3466475082958668,0.03788509664675077,0.08029398772682213,-0.36085438508219125,-0.4750221832737082,-0.3495302872755494,-0.7123866316924836,-0.09114257821934374,-0.3035076717625933,0.25441152699878333,-0.1820500884850315,0.11235536571794692,-1.5924122110197179,-0.07138673291383114,-0.5301535143942941,-1.2297728777616113,-0.2674631782910548,-0.18096584710931507,0.08579274005075438,-0.17886345301271003,-0.07684967932662094,-0.05981652190011796,-1.9964220390763696,-0.5947913831664428,-0.160654398856649,-0.5315848657904897,0.07576798703348948,0.09712167337471336,-1.975097988934283,-0.66723682632788,-0.2874314829605207,-0.1651879414431896,-0.07701697613924414,-1.557762838179525,-1.6118104080371414,-1.0666609463615455,-1.8197025253664765,-0.02501360747396094,0.04955277999284447,-0.7557889846772596,-0.3015331598502705,-0.9116724006622525,-1.220963631072534,-0.021936416856785983,-0.10673958121200183,-1.6533947661758928,-1.661322822902663,-1.5665002478870937,0.0785903803219403,0.12316120910503975,0.049479176465199184,-1.6945276766528028,-0.2920870955241442,0.14651786890645171,-0.36457202491813345,-0.03875704042309041,-0.3322410895960152,-1.9954633820939434,-0.13640532627983168,-0.5628590107246084,-1.316295044116024,-0.26804098578887303,-0.7466723537942079,-0.5219593468493406,0.1454914764550709,0.036832779944572694,-0.0030790861755501577,-0.7122279890053325,-0.3440760798581773,-0.3611468237711153,-0.2351212252427793,-0.7722508556528299,-0.47416588144627825,0.10333698850397269,-1.7375704394215463,-1.1040389009377705,-0.23582617977378773,0.4160599262714744,0.11604347798689149,-0.08791437742726703,-0.6058581724674699,-0.330192588902454,-0.25273392141516454,0.20159906866828725,-0.017721021890569854,-0.030360143259802838,0.21201072680978988,0.004723362673484112,-1.9934115206116656,-0.015683877403603524,-0.28066800968973493,-0.0527740041882931,-0.056595200806234355,0.09874677539792207,0.13552774085985342,0.18669419497928094,0.25168227615746586,0.0015023890720810115,0.19398998194336872,-0.0032414887624987614,-0.35454075673661123,-0.15016781153857428,0.3531662751621967
Estrogen,-0.059273184892059676,-0.011431698057154025,-0.11557296434081005,0.024551009034645143,0.16714329567253475,-0.5942194009262347,-0.04083057010838736,0.05408770099809982,-0.04990175622697831,0.1123695751871039,0.009623373708706494,-0.11805216025893989,-0.03649817515676041,-0.04304222424217991,0.051576234227183826,0.0711430396011042,-0.5093307929703758,0.02714638873179171,-0.01932880648220154,-0.6513468539295821,0.07841443689316362,0.01610691449322754,0.029885898263700958,-0.011805690980309995,0.06045843616403677,0.010476741699315673,-0.12584442620287317,-0.03981176147952725,0.45019614161497445,-0.14201556098987764,-0.07204311794158892,-0.6705981966132131,-0.028802633901125783,-0.007246123666750904,0.11561826518049638,-1.080782620290632,0.07886144624853292,-0.004329718337200799,0.15789982081810147,0.03557805484909464,0.020837902470620763,-0.7587719699334005,-0.03441926038564211,-0.05246237431013843,-0.15049027014566616,0.07143024807325911,0.2872183791802267,0.14269691446469063,0.024914004175831433,-0.1289056106909494,-1.389628513486008,-0.6107943126269008,0.5831508057120024,0.1298945509336032,0.07157786531117201,0.12710437153815432,0.17028357954907616,0.032137793464706826,0.29993113122980586,0.016589463044508368,0.009379661292140289,-0.10185423542577032,-0.012429151491790351,0.05705450123437143,0.007906267979997158,0.08134222080545066,0.007106959439791512,0.11025246262424748,-0.039112200543072864,-0.0062933936282184855,-0.10289644509882676,-0.018370118869535507,-0.03424277398227683,0.38345308178973425,0.09505241698656926,0.09586764006734166,-1.1135712282190484,-0.09203171773258535,0.018036777419970215,0.03684675415644236,0.05251769178044284,-1.6806589233923037,-1.3046235524234848,-1.3032248022006845,0.028672799075194103,0.18980054635516566,0.06179755716603064,-0.24480931173407305,-0.045687086038342026,-0.0591838304129792,-0.3785128927167879,0.07542234737063694,0.018203471612783444,-0.0007067640413631129,-0.07065854215642726,-0.008529350299014863,-0.10801876655682763,0.08967879761885514,-0.027052705694883824,-0.0705879601204117,0.020231033730116636,0.027215392912976092,0.18624372590851695,0.23256837465394173,-0.36903223163424675,0.17465150849307898,0.23033954478359248,0.15631233253360005,0.28861218559956575,0.13355921287227193,0.177734936740785,0.17771311920306412,0.13746282728328235,-0.4928103813955975,0.21278674595863836,-0.4053443212050911,-0.401177439890788,0.000818192538863047,-0.041654750116939365
EGFR,-0.3970696978680472,-0.016259082274539673,0.1724293774359562,-0.19261513565053587,-0.1091573376051186,0.11671249492334461,0.12844546026295908,-0.6152325646802791,0.14376767691322645,-1.271298307319297,-0.21184908512962175,-0.09512913659491405,0.041896853029605594,-0.006333595528538204,-0.16695226397551252,-0.1930616517128548,-0.4744036920046158,-0.09062008633291857,0.1702110206572221,-0.48183498213177917,-0.1764865747835187,0.046462590781859534,0.07177949361638034,0.06490011584733821,-0.08631625741168052,-0.33580066336627973,-0.48779703520839796,-0.004658318651424336,-0.11018543850207026,-0.47879181967982865,-0.3736996999382713,-1.8473471590805544,-1.3338181209601927,0.3503326111772243,0.2305794458411947,-0.018446906775478146,-0.13443336586116797,-0.1398463588308256,-1.6683177841305983,-1.8029740251080522,-1.3665149911744492,-1.7051921836922384,-1.4954310260290866,-1.0519382996612392,-1.2554911880806272,-0.4312681518839375,-0.06553294669681994,0.28368945546442365,-0.1647638154322001,0.3002564079704304,0.21780096689014738,0.06516059513596385,-1.9368552383911217,-0.017439434063479566,-0.29997143528637016,0.1126779010115815,-0.9562605853911919,-0.06170556534641816,-0.8328731615103387,0.05146992695676542,-0.12040294430262317,-0.09478523658846062,-0.03470427065855504,-0.448891819167891,-0.22394316050167581,-0.008909314447343655,-0.7728632711703515,-1.6411843474238668,-0.2497426315821772,0.18722680729485633,0.15677911317874765,-0.19052804640750345,0.21040761939750263,-1.990855428073434,-0.16014578078000388,-0.6196999761118753,-1.6972020575028746,-0.3972069800883961,-0.17613298903892377,-1.5112539645077046,-1.1685213439020432,-0.31624057313225007,0.25945801459664236,0.1101252563937604,0.39072866739097867,0.2339534856868295,-0.17080326617774802,-0.34382715302206707,-0.11970392191638332,-0.20128897822081834,-0.7069598463826379,0.06738126160903467,0.22177693334088708,-0.2609763454111455,-0.1129334403964571,-0.11657223608734037,-0.46156640409460986,-0.7228996597914207,-0.49695751252182846,-0.34158500889153814,-0.23581487883695398,-0.5047222968026396,-0.8525915393706467,-0.9332089108470134,-0.47493479903276453,0.03658352368407096,0.2169086235944619,-0.44746993382170114,-0.7573998715190132,0.05431790079713425,-0.35104374565048485,-0.45375180373076185,-0.12467110270237747,-0.11272210010125366,-0.20254358316033236,-0.21571419293404895,-0.2025774905752294,-0.15658632055264413,0.03656231826306512
