,ASG002_GI1_24H:A10,ASG002_GI1_24H:A11,ASG002_GI1_24H:A12,ASG002_GI1_24H:A19,ASG002_GI1_24H:A20,ASG002_GI1_24H:A21,ASG002_GI1_24H:B10,ASG002_GI1_24H:B11,ASG002_GI1_24H:B12,ASG002_GI1_24H:B13,ASG002_GI1_24H:B15,ASG002_GI1_24H:C13,ASG002_GI1_24H:C14,ASG002_GI1_24H:C15,ASG002_GI1_24H:C16,ASG002_GI1_24H:C17,ASG002_GI1_24H:E19,ASG002_GI1_24H:E20,ASG002_GI1_24H:E21,ASG002_GI1_24H:E22,ASG002_GI1_24H:E23,ASG002_GI1_24H:E24,ASG002_GI1_24H:F01,ASG002_GI1_24H:F02,ASG002_GI1_24H:F03,ASG002_GI1_24H:F04,ASG002_GI1_24H:F05,ASG002_GI1_24H:F06,ASG002_GI1_24H:F16,ASG002_GI1_24H:F17,ASG002_GI1_24H:G07,ASG002_GI1_24H:G09,ASG002_GI1_24H:G16,ASG002_GI1_24H:G17,ASG002_GI1_24H:G18,ASG002_GI1_24H:H16,ASG002_GI1_24H:H17,ASG002_GI1_24H:H18,ASG002_GI1_24H:I13,ASG002_GI1_24H:I14,ASG002_GI1_24H:I15,ASG002_GI1_24H:I20,ASG002_GI1_24H:I21,ASG002_GI1_24H:J04,ASG002_GI1_24H:J05,ASG002_GI1_24H:J06,ASG002_GI1_24H:J10,ASG002_GI1_24H:J11,ASG002_GI1_24H:J12,ASG002_GI1_24H:J19,ASG002_GI1_24H:J20,ASG002_GI1_24H:J21,ASG002_GI1_24H:K22,ASG002_GI1_24H:K23,ASG002_GI1_24H:K24,ASG002_GI1_24H:L01,ASG002_GI1_24H:L02,ASG002_GI1_24H:L03,ASG002_GI1_24H:L10,ASG002_GI1_24H:L11,ASG002_GI1_24H:L12,ASG002_GI1_24H:M07,ASG002_GI1_24H:M08,ASG002_GI1_24H:M09,ASG002_GI1_24H:M22,ASG002_GI1_24H:M23,ASG002_GI1_24H:M24,ASG002_GI1_24H:N13,ASG002_GI1_24H:N14,ASG002_GI1_24H:N15,ASG002_GI1_24H:N19,ASG002_GI1_24H:N20,ASG002_GI1_24H:N21,ASG002_GI1_24H:N23,ASG002_GI1_24H:N24,ASG002_GI1_24H:O10,ASG002_GI1_24H:O11,ASG002_GI1_24H:O12,ASG002_GI1_24H:O13,ASG002_GI1_24H:O14,ASG002_GI1_24H:O15,ASG002_GI1_24H:O22,ASG002_GI1_24H:O23,ASG002_GI1_24H:O24,ASG002_GI1_24H:P16,ASG002_GI1_24H:P17,ASG002_GI1_24H:P18,MOAR008_GI1_24H:L07,MOAR008_GI1_24H:L08,MOAR008_GI1_24H:L09,MOAR008_GI1_24H:N22,MOAR008_GI1_24H:N23,MOAR008_GI1_24H:N24,MOAR009_GI1_24H:C10,MOAR009_GI1_24H:C11,MOAR009_GI1_24H:C12,MOAR010_GI1_24H:A13,MOAR010_GI1_24H:A14,MOAR010_GI1_24H:A15,MOAR010_GI1_24H:D01,MOAR010_GI1_24H:D02,MOAR010_GI1_24H:D03,MOAR010_GI1_24H:J04,MOAR010_GI1_24H:J05,MOAR010_GI1_24H:J06,MOAR010_GI1_24H:J22,MOAR010_GI1_24H:J23,MOAR010_GI1_24H:J24,MOAR010_GI1_24H:K08,MOAR010_GI1_24H:K09,MOAR011_GI1_24H:F07,MOAR011_GI1_24H:F08,MOAR011_GI1_24H:F09
CDK1,-0.5443710533239671,-0.08720584987632678,0.004461699863021125,0.0005178890380131988,-0.16585170944587627,-0.1235588623954462,-0.06662855027507633,-0.3280409325918547,-0.24905653129499944,-0.4349751153247923,-0.24206027407606823,-0.05122443828795111,-0.07519814685517151,-0.18603830043188976,-0.3137169124266061,-0.28719160859662474,-0.07937981049162757,-0.25234390350336183,-0.20489117738152024,-0.4381553689962611,-0.004572895498146889,-0.36514391555299774,-0.5790086948620998,-0.705528652348671,-0.2149413088133436,-1.9964828067864924,-0.3039505654061429,-0.24421906055743722,-0.042743213998265785,-0.16646158588509358,-0.18694349897813817,-0.0014961662309582076,-0.1917141112501292,-0.387749577980968,0.1365004193073635,-0.32332710933922026,-0.07988824781308487,-0.13496389301605696,-0.22305788450684155,0.07387549837831818,0.04390902876095798,-0.1719969900419169,0.01417305770163083,-0.6140580693489699,-0.18246193195328275,0.09378476220284286,-0.2059564086595518,-0.016190356288517564,-0.06985711691933782,-0.6227816605022302,-0.16026969146005202,-0.040875949002055684,-0.4187457921929954,-1.0140453882409146,-0.35508094992954453,-1.949079529376824,-0.9636466068165692,-0.5139346975004757,-0.18731133711974574,-0.2168674429264396,-0.12139999179051826,-0.12228714356276761,-0.5010174820520623,-0.03448886951587593,-0.19496868460453573,-0.04976236345444984,-0.4428711129907576,-1.7657771242276585,-1.540702354317206,-1.239492387811818,-0.5541960402703174,-0.38033600312704635,-0.6955664413132423,-0.39221400484742863,-0.13163234054976217,-0.03510554099594704,-0.06342256579643653,-0.1472045155530602,-0.06985281460192011,-0.3979260255777987,-0.22665475410620756,-1.4756669422121742,-0.15824331927941657,0.010525633294668473,-0.4332831514061851,-0.2544853351795287,-0.1302900801506034,0.06452680451793416,0.04478818866203726,-0.00135025202391353,-0.27281687979606667,-0.1431561077321927,-0.10125353597025445,0.05284919991322483,0.017087667891472987,-0.18556468382369373,-0.2793204503211336,-0.39449345631009414,-0.0359861223503055,-0.16562219167072237,-0.27008132568382326,-0.2729121366253813,0.056828084462178595,0.010955607058064053,0.08766990653104498,-0.2921885339995957,-0.0056587709922038204,-0.19530397884413567,-0.1555387862148961,-0.034473887612327676,-0.31829670796894677,-0.07306299113639285,0.06958168104340692
CDK2,0.02055947601359171,0.06973423116508934,-0.0010804758900246293,-0.4645637174198044,-0.2630241560965522,-0.055136062739942336,0.07243657171458247,-0.162919184108609,0.06785895267276025,0.031029437080364156,0.13372048471115835,0.03879138634785463,0.012809380243388653,0.08858481042670313,0.07396090281539147,0.1638465445422961,0.09363849974662683,-0.04795651977815102,0.01834017409094186,-0.8956818681075648,-0.32275597784023935,0.025498022334316084,-0.16547771140793002,0.014596877528833464,0.08401853986694165,-1.4121468020640369,0.010768958806522273,-0.027608629938123432,-0.06783361480442601,0.1346765649553027,0.19214164368874534,0.2049166076508984,-0.015523646037591208,0.01530206015956129,0.03815028675684542,-0.026360699181305184,0.07688370395589815,0.04456387112780317,0.013194610435568344,0.05739748452461404,0.05282832733195387,0.006365570389050985,0.10115696430869323,0.17005237484585822,0.18252762090233127,0.06674690212339424,0.08055168390208557,-0.013861091994222488,-0.0938645014784503,0.009543784790675736,0.19292550113983498,0.12650629590960127,0.05959531941764483,-0.11136900513481873,-0.12352800326702018,-1.8587657963343986,-0.24028807509839167,-0.010753299520050472,0.013682358724141015,0.08273337645729013,0.06644310815819172,-0.21750652698363376,-0.041740303895816004,0.07248059605362622,0.078714412661499,0.09508012213277152,0.025538093557052687,-0.8867522344077824,-0.07523045056662912,-0.16412608352133412,-0.14008475614850954,0.0366484425948408,-0.13284577958804847,0.023828093259659337,0.07286617248516629,0.02396576859796815,0.06825784361912171,0.06859200646946673,0.10644000056673245,0.05915305809384669,0.1837951772184959,0.06839300016553654,-0.009588878837669082,-0.05769642605187871,0.01151169406888573,-0.026310980119099547,-0.049890458744852255,-0.018359329031546204,0.04833613961720934,-0.015592768625346783,-0.1865851735068648,-0.11696589930268622,-0.14948874381534077,0.006911625026505787,-0.010190074538897692,0.054697957869843716,0.053048930992388006,0.06642941419590279,0.12399939197710041,0.10935011611414765,0.039428624603648654,-0.09393878899202715,0.013638279541490902,-0.08762395422026514,0.005823845872724607,-0.03211502317143352,-0.26248182051163454,0.073238192828981,0.042888608255449115,-0.12081965544221557,0.0562157466193825,0.05464809624013385,0.07893145874542068
CDK4_6,-1.5430489486745007,-0.049806670627891,0.14018107698758145,-0.19264866299120034,-0.5193916548161372,-0.16659185165650855,-0.08358156144167607,-0.32437711839621364,-0.2478532039398627,-1.677130269943048,-0.5776285846540996,0.0782818578228049,0.06838655360906835,-0.21552498718736607,-0.4569435665261875,-0.4014844189956592,-0.13366159893781432,-0.14487272243484692,-0.11697920223655005,-0.40171303938505964,-0.04195587682609507,-1.1159790775672351,-0.8468283469596187,-0.8785047520002042,-0.46267859184832183,-1.9986037559876713,-1.2037035861213032,-0.6134011680457413,-0.26490215459860894,-0.48224068070414317,-0.44528409026120336,0.24247197189996325,0.006652350136181625,-0.3857297062837671,-0.1368980808060413,-0.7865952039187077,-0.27276894519888367,-0.023687829435835427,-0.19478352551676936,0.006780905608175658,-0.04967595941889342,-0.7110281100070281,-0.25316969139409456,-1.8056748485211582,-0.13557664455374827,-0.11914170082919137,-0.08789660688621405,0.06910308496291516,0.11069444631003708,-1.1892901144333707,-0.06554671896880741,-0.1298524777868595,-0.35533678867928203,-1.4927792754289129,-1.0157860464311634,-1.9438570349779443,-0.18147689470690753,-0.54649519485887,-0.1508989366126487,-0.8233635915226563,-0.4056655506977851,-0.7790232314463602,-0.2493549672819743,-0.07084780173143372,-0.3975799639762604,-0.5460116668480376,-0.8825718843782795,-1.4134500704531268,-0.6547042261625804,-1.0024812166896704,-1.9303970643207538,-0.7005374805793233,-0.8759860243846443,-0.9203816331442264,-0.28743392287863745,0.15861269258075403,-0.16942233225260134,-0.05785159797128527,-0.16502176573856048,-0.24232382200913738,-0.38305904617437486,-0.5348248082022657,-0.5644999621667884,-0.05184213404009004,-1.5020774246369253,-1.3740756568708157,-0.9524587846943164,0.2091435231302345,0.013338393375587107,-0.09862752815781699,-0.2183576352311115,-0.2557563400637118,-0.6019403642943257,0.17197905670395056,0.20804297464222113,-0.27364164348260905,-0.4651113609687024,-0.23184740509202661,-0.04265719380367329,-0.1425217124882803,-0.9272301430935013,-0.5125324300496283,0.07638676291198788,0.16517817158150822,0.0383950006622474,0.024131525780054452,0.10355799483524095,-0.27281818353434123,-0.22311248422551855,-0.3947670927293582,-0.19191406988622503,-0.19636402714132037,0.18669441540562837
PI3K,-1.9796927343359896,-1.5182307150116314,-1.2897726169264518,-1.7712695033481909,-1.2396066569675293,-0.5418180393105111,-0.15267938150613744,-0.2594054973772371,-0.6186683330436956,-0.558667990157481,-0.1886922781823165,-0.036428093622464935,-0.22530092214664035,-0.17180571601876618,-1.4785859136718125,-0.5363959013066427,-0.04011022460848684,-0.6045623111359661,-0.09669349383247505,-0.5959473814706715,-0.16011079211052873,-0.32192282358035723,-1.3415716972551186,-0.7335938425611865,-0.13512980156596618,-1.9049334703305227,-0.030975204110756657,-0.28358569900795044,-0.4553452317157506,-0.18936378122470637,-0.03407886118898101,0.28622589477869986,-0.15171519090579544,-0.2941823499015082,-0.12047336361682133,-0.6244026980825976,-0.3430180370311756,-0.06157603948264957,-0.3311126541247108,-0.30670177814835103,0.054269751691460956,-0.0796033788127401,-0.29643607577209813,-0.4833451672293715,-0.07768992517012889,-0.005269933072953086,-0.7056669910727854,-0.07371997320978133,-0.2335457822432746,-0.8704698466990808,-0.13634699784759088,0.0650800939326512,-0.2509910963251651,-1.187139856505285,-0.555257440848795,-1.935815177066094,-0.33768671364799835,-0.2616153071298296,-0.10408754654395537,-0.1469478880509054,-0.12051723105797467,-0.7760233916393928,-0.4411961105119605,0.03737376209451337,-0.16745303286146496,-0.3339040400337146,-0.48757173723913216,-1.1595475316762098,-0.47493102759577416,-0.33783027116386294,-1.1678957674105768,-0.3479476644849154,-0.6629156874593254,-0.02128724374024001,-0.10687560176717127,0.23447991213280905,-0.32347331207975283,-0.19209912256911976,-0.8136819707399007,-0.4534011494685627,-0.34379719641532946,-1.923433332639711,-1.5129654538085273,-0.5628529026956339,-0.8000118151401396,-0.3708794157273175,-0.4741113271484437,-0.5752666089357583,-0.09129040232750842,-0.11231106139898926,0.0796546677102187,-0.4519566162303194,0.013088986344933993,0.09271447240317959,-0.20328559399943363,-0.30569436935062094,-0.24902649030644503,-0.1565543663940404,0.06264757599385584,-1.1442432346451084,-0.6428992774892156,-0.32251961575926913,-0.28976076404905926,0.14420271113022404,-0.32569374670047196,-0.18140077493332601,-0.15624135248873958,-0.4133338788604335,-0.1414840437761196,-0.2420946076703242,-0.7386279791464709,-0.33444076035207615,0.07186286082380795
ERK,-1.078893342530431,-0.4488847397560559,-0.3435688101263872,-0.6242053868915364,-0.3402402329357973,-0.6694448446504618,-0.44686420991715303,-1.013380502060813,-0.5727537785948003,-1.0577379616415563,-0.6222549271291502,-0.48707500261483655,-0.8182514616771882,-1.098672364940387,-0.5266156252855686,-0.6863406705178093,-0.5143532055394755,-0.4987818359564703,-0.5894210284528414,-0.809533936954807,-0.4787046872743302,-0.6420923673124025,-0.48718403708654967,0.7535089654562733,-0.3400246289417246,-1.8943965128397287,-0.5633013571821162,-0.8764390735036561,-0.8491937944317903,-0.35233372397730583,-1.7059843290924144,-1.2881829449490674,-0.4135547871664659,-0.7738171229247448,-0.2714152115858634,-1.453847277663617,-0.7109768816861739,-0.3919972575062313,-0.7751238473622802,-0.19025230061978232,-0.35363732721912117,-1.9299165814620223,-0.7929661252926593,-1.6933506109189833,-0.8102617902014769,-0.22715500644350256,-0.8702588746253167,-0.5509530975548156,-0.6039349915078491,-1.443484195193328,-0.5173661956903445,-0.08145718331463596,-1.7106279382752343,-1.535500831056904,-0.6730951628441612,-1.3718704482378745,-0.3229328577970241,-0.3481482219780432,-0.8310362183296796,-0.4609112932099012,-0.5226187502996643,-1.6747160238087515,-1.3478746522616094,-0.5333224762684695,-0.9089107413550835,-0.5560116999987715,-0.9435708609100469,-1.9749282623860882,-0.7517375713689524,-1.1531722622336518,-1.0197539681690488,-0.9051975895897816,-1.4256759493019957,-0.17906550029413598,-0.22519905405817303,-0.960172390896766,-0.362216181255998,-0.24730399189800945,-1.7806287348856547,-1.7354275035204914,-1.1993816076206343,-1.9097721477821188,-0.628987091847978,-0.5504578148910272,-1.7937871128836709,-0.5043770755583992,-0.32734008050566166,-0.20151793984233887,0.038984402575964965,-0.06505411718198742,-0.5312374443179375,-0.39379149536736185,-0.20359976818716358,-0.2763124320168235,0.024687450344341593,-0.13514645817071128,-0.17900797390773115,0.041135304590136756,0.2242808169174676,-0.26290541223385,0.08185973344232975,-0.19311445289832527,-0.10154139700510083,-0.06218642211783956,0.09446213135092812,-0.050450869643445924,0.11407613561091454,0.057354980888437525,-0.05977098783629431,-0.04992085305575061,-0.2991924043984117,-0.3475483118768002,-0.013148174433673408
Hypoxia,-0.25445980569643706,0.023244283521933203,0.058304841097665136,0.04149670111410908,-0.0356069485526617,-0.03818547379179729,0.0846566687647106,-0.10896461677098335,-0.03637004338098579,-0.15813664467560268,-0.09106671479581278,-0.03780289669522749,-0.08641023252817867,-0.04472290391277193,-0.23330001265349476,-0.20674417499221084,-0.07345176877244866,-0.12348388500133568,-0.024028851634788434,-0.19352700264423503,-0.020448364917220838,-0.09787761918301242,-0.05335638167413754,-0.0834460484705806,-0.01997682408893315,-0.6360184750887308,-0.13409820117564955,-0.1527379916760719,0.05460026353039588,-0.004714890815114586,0.32556262190705243,0.29685369244041304,-0.029991814640794878,-0.04722205398531578,0.0011808198681879612,-0.020677882361399814,0.0508008725030563,-0.031010360235205037,-0.07396583780838717,0.029551370220456535,-0.012922529037350935,-0.0036338217333828754,-0.11375769094425477,0.05919071318497082,0.08071505014875328,0.09828177209253458,0.04963587213607721,-0.032141848120236564,-0.06586006898368921,0.03571213957539628,0.15343458955606726,0.06271282817307455,-0.04121822651951111,-0.2567468682691233,-0.1751341406933163,-0.7628636242736614,-0.07083918910111947,0.004933742984297173,-0.023585404987778776,-0.08841428418995081,-0.09114284899612661,-0.0576800737189845,-0.0010812774660903333,-0.08225482392337306,-0.10142874908677478,-0.008886841078995142,-0.07834240543502075,-0.689694076601552,-0.0990722626495595,-0.0744040241269335,-0.1287393281575223,-0.03547613122059549,-0.11683197463103695,-0.10336706968078792,-0.049846976183477595,0.026381436103452383,-0.07331270799141879,0.13100639754370033,0.0037817615141399964,0.03557052734710243,-0.04983517780341624,-0.5674760746333082,-0.18033985456682058,-0.057643955728661884,-0.04189458828191938,-0.028677321659242385,-0.03228851339805996,-1.6565309579524532,-1.5857736445824437,-1.6648938389485861,-1.9673651667691372,-1.7863492740174618,-1.8208395074173895,0.03975762832061064,0.0034096199026687193,-0.017134798365167608,-0.08280524346998848,0.8411279084011768,0.08877468821067656,-0.4389340946364018,-0.2604710805178955,-0.21846583791369192,-0.3466887611798801,-0.11661085124866845,-0.009529847431279805,0.05539631909868846,-0.09067836938455506,-0.06233933006599045,-0.037341443907207526,0.08252403862115693,-0.02315027810380247,-0.0039510369291662125,-0.0228782518685142
PDGFR,-0.7462253863353422,-0.173242677419556,0.13878241383664755,-0.054091672987633586,-0.3518545968443558,-0.017888259218517857,0.01918437871257359,-0.6047962087317317,0.10626629094885182,-0.8079784905603177,-0.3843540488477018,0.11980335063794455,0.017879790537057277,0.1420707835967779,-0.48977863286488943,-0.27954064273170026,-1.188430729898404,-0.3577503326054078,-0.021158060176978532,-0.16116300244393428,-0.17921730799935062,-1.93514450712165,-0.4612914059930428,0.07431333620454086,-0.12701609249655443,-1.8229606249351984,-0.2480164390563833,-0.5015601635193847,-0.47143308784700927,-0.31112849827616756,0.031442966982148414,0.1771108142117898,-1.5989725805024662,-0.7069207254780886,-0.18326574814292687,-0.5871958789620458,-0.36494830584625554,0.010754857963062223,-0.4048646233604422,0.18183418212674074,-0.30734701132601433,-1.5685072374231288,-1.465747515799134,-0.5242820705453092,0.1186689355094765,-0.1554934081102046,-0.06510718070425803,-1.0973270997479663,0.03279624948649448,-0.8362337270798544,0.042577785195365786,-0.27453452131546197,-0.6785201223559357,-0.6070936816897274,-0.4071516923253434,-1.405961924150763,0.013761510558678556,-0.23319157027568263,-0.24973789527478157,-0.441362059675359,-0.36404816935669926,-0.9482346297100458,-0.30784312010395687,0.2325651953820382,0.007893369338284424,-0.21307662278648284,-0.16059659703489398,-1.9458706580697611,-0.23688321579582122,-0.12547845210128092,-1.5578113526034003,-0.5600212585204172,-0.2828685323290543,-0.4462140048394292,-0.20517396366462834,-0.14132000932653282,0.20233390907579024,0.19646628142612318,0.04253381863029167,-0.20194592752481755,-0.38466923961865196,-0.7879136477015185,-0.4769680625845807,-0.040431764320590716,-1.181477348932169,-0.0340234642550601,-0.14793337135188223,-0.15555673447553775,0.018137362361909146,0.022531568306295085,-0.3260149498900311,-0.2398332270857853,-0.1878148142335878,0.03923395857227437,-0.293967157028653,-0.11214074474357885,-0.08712265852163222,-0.04559737374197814,-0.026919694837896604,-0.005889422280496295,-0.17861002116554806,0.036489889806290365,0.0187576946938932,-0.02846031688134301,0.11675745063765051,0.032017103538809974,0.05344153042818036,-0.24410717754774694,0.14263591966898842,-0.08128992869538755,-0.7574560505742708,-0.2493901576650583,0.1008899678861393
Aurora,-0.16885785325348623,0.16478016492831135,0.09857928520259839,0.041888342824862895,-0.15599071102783718,-0.1909249175489581,-0.36331416435538433,-0.46763110897331783,0.02850786360495432,-0.8655821073021247,-1.4438077877822668,0.021242615157201578,-0.1998315024554496,-0.34863532196582847,-0.16474953820966684,-0.01874332101598631,-0.35447396751789484,-0.47096649361825405,-0.34611862166107454,-0.7111220014629688,-0.08807602039529523,-0.2999498796033326,0.2548420079029316,-0.1787763414683347,0.11115412018344593,-1.5322830032525612,-0.07232377357992015,-0.5264074985312598,-1.2213438777418055,-0.2623338275262106,-0.18014176925320877,0.08481085181242647,-0.17755123624253216,-0.07576334629747339,-0.058588725039492494,-1.9770181435260787,-0.5946877144705772,-0.157333106227277,-0.5245103224072657,0.07564727697144154,0.0977169798207376,-1.9559607339333127,-0.6627513204223129,-0.28460110168745834,-0.16222114204877386,-0.07675986044526287,-1.5610586139368992,-1.5995825192982127,-1.0725558169725617,-1.8050438778085192,-0.023817248693114475,0.050642788062052614,-0.7473837130867454,-0.2969749799624816,-0.9052648116670283,-1.180388031508917,-0.022053440263272852,-0.10528182684522056,-1.62998275630133,-1.6613133399752311,-1.5687509365771373,-1.6821159747988073,-0.2895625202261465,0.14688202524620858,-0.36099985147282976,-0.03617115713573228,-0.32763120826773884,-1.9296532510845583,-0.1349503636072642,-0.5542986427227689,-1.2986530391231197,-0.2646972092074716,-0.7310639246726205,-0.515838303339945,0.1453674160879049,0.037233545318756445,-0.0015956977479714303,-0.7074187263984586,-0.3420281859493525,-0.3564373042881638,-0.23267522203409094,-0.7560443739566939,-0.4671432831542697,0.10466697525135923,-1.7198355525506979,-1.1124949267057027,-0.231246471273127,0.4147835340462194,0.11468347804451215,-0.0882838863358403,-0.6002859510219611,-0.32528068371159286,-0.24942437591979733,0.2019253852816872,-0.016792475444569206,-0.02869851966923297,0.2109827150233604,0.005397389634796269,-1.9778151419848091,-0.013387075042683728,-0.27317896810569947,-0.049641502165350175,-0.057642812794397896,0.09847076482637789,0.13436643001075196,0.1874420697517878,0.25023744843535095,0.002018256684317688,0.1924486093563907,-0.004436799912405843,-0.35002347565190706,-0.14506942884394544,0.3514510892228357
Estrogen,-0.04491048804134813,-0.02086490142033284,-0.12438521417246919,0.018035733633691466,0.17898955392176832,-0.6122075492594311,-0.05040971136300684,0.04589170414821753,-0.06000701568214887,0.12377144034210702,0.02463930991708075,-0.12694547485282848,-0.04552393497193932,-0.053007496097422016,0.0624077435854697,0.07947649678392565,-0.614423249732608,0.07346764280186535,0.008952427460532056,0.025276500289802495,-0.017577105690323558,0.07548836123088389,0.025241989753167198,-0.13503874383859948,-0.024368898499481643,0.44589894302581423,-0.12395344358590495,-0.054969543697198434,-0.6676886762005224,-0.013762065127530731,-0.011500294268116574,0.10751791643809866,-1.069944985057855,0.09246403524020987,0.0095008047810559,0.15216111886693404,0.04703317982198249,0.014561960209500884,-0.7641764480049066,-0.041601850869099025,-0.03749084559505094,-0.123770692252488,0.06425992826993797,0.30612408481601844,0.1354462899042607,0.03856221945588966,-0.13391967131104893,-1.3886117948034937,-0.6331380122989282,0.5918828364630937,0.12545590252182354,0.0844173199622919,0.1427865804322132,0.17021242097837858,0.030011296760971088,0.30156086722501996,0.00811334833959576,0.02493089830594206,-0.1111507180503301,0.006464596939449839,0.07140555263447915,0.12165319601966391,-0.025874213347015815,-0.01779830420201223,-0.10521724616660197,-0.0029614117186045653,-0.03980910864349466,0.3832442831458287,0.08781078889200057,0.08793371120866292,-1.0444744346156336,-0.07524817494835344,0.013825542015439866,0.051152293847561536,0.06455228212399378,-1.6660784872065024,-1.3377936121044232,-1.3063907394867023,0.026374746028422838,0.181877741166295,0.07900891594767322,-0.24296178746327876,-0.05339525849834112,-0.0644380603655745,-0.3443736790086057,0.06977887588181873,0.012672134631302684,0.0005865113862153347,-0.06788080439066878,-0.008189496417233934,-0.1044412700730209,0.09447716804963811,-0.023923571284250468,-0.07601106253993505,0.021066660614406596,0.02975398556382268,0.18578879859945358,0.2311731968586096,-0.3683733068473277,0.16887774886875556,0.2254742042216878,0.14627016880841845,0.28574972407092025,0.13147921230421575,0.17392449304184815,0.17611875489298695,0.13781211834974358,-0.47646614989066277,0.21081563711706486,-0.401018220695165,-0.38737346515127524,0.005511814167626713,-0.038998607423797474
EGFR,-0.45218901234469305,0.03757725390102435,0.1415117071937835,-0.15872548230505243,-0.07602333995222745,0.07662026734040064,0.09195732913669402,-0.5700461254727439,0.022334598870951416,-1.0821777963451211,-0.4198361554071321,-0.21633660130363241,-0.05198008915112149,-0.1861683024196386,-0.34497667852614916,-0.662022125310493,-0.6409660951802394,-0.5509011106750066,-0.15830219559465528,0.045399508550676405,-0.055709685398482506,-0.40718426086946913,-0.6633126010362782,-0.5736570823413044,-0.12583578953307728,-0.7960877796274813,-0.3926703950313501,-0.3487069496954038,-1.847958949375034,-1.3283546534660466,0.3482082074854977,0.09221125888558858,-0.18296950193300812,-0.4461667347648256,-0.04541359327877306,-1.746312124450356,-1.660472655285968,-1.376590909276981,-1.607644719146785,-1.5760921302349429,-1.048509351058046,-1.3524543128813618,-0.5514140210764169,-0.24252433425676884,0.2263580434692557,-0.21445288759660266,0.11678290680778099,0.3531411239463078,0.09300831403930132,-1.9913566058283618,-0.1552516599381046,-0.6840084230272345,-0.22360522948505246,-1.2503015791501007,-0.3577866097928046,-1.8911611519504354,-0.14889890805965478,-0.29177724954247714,-0.0646865664825341,-0.46076153313057416,-0.44624142374988496,-1.9055735355568504,-0.350582481614689,0.14777340906031441,0.12222360398939898,-0.473404922668095,-0.06673149239494564,-1.3800837164691728,-0.2526094162877466,-0.8717203973369342,-1.6859331752925448,-0.5074912498200699,-0.2352935884989402,-1.5578585590342005,-1.2064265935798058,-0.22152940218215675,0.2795865174818956,0.04672168698154707,0.3469726021756135,0.2706588323081567,-0.10603620290825395,-0.8669823314426467,-0.5760271625695209,-0.2206514718455407,-1.0481798421826276,0.036236401442251445,-0.03682098954149123,-0.28648229600359,0.1275274685029135,-0.020706413467615384,-0.41474905801655304,-1.7193550227045566,-0.4778987684628351,-0.2882998595378801,-0.15175318741193866,-1.1335089244627714,-1.0995583421419592,-0.4967466273386473,-1.0206574810889582,0.24395724585786208,0.27196181377992196,-0.5215528277254936,-1.108018917245975,0.2673139174118329,-0.5866255849424488,-0.5274830763975115,-0.057473155895251433,-0.22975943659191644,-0.32598351840046924,-0.3900541815000791,0.13829256677379456,0.18721995856268409,0.25857753414023715
