,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.9999999999999982,0.00029645777789548714,0.0014786947062935373,0.002973094527281924,0.0015788249992262952,0.0023201413920201277,0.02804902815730666,0.0,0.0
CDK2,0.999999999999995,0.0,0.0,0.0,0.9989488057100807,0.09704628841425558,0.0012438588662906159,0.0,0.0,0.0,0.001051194289914248,0.0,0.0
CDK4_6,0.9999999999999997,0.0,0.0,0.9999999999999997,0.8997287485977149,0.0,0.9999999999999997,0.18470279252893076,0.0,0.17562038894237747,0.0,0.0,0.0
PI3K,0.0,1.0000000000000002,1.0000000000000002,0.0,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,1.0,0.0,0.18693469404885454,0.7687367216592446,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
Hypoxia,0.0,0.0,0.0,1.0000000000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,0.9999999999999996,0.9999999999999996,0.25226680483512126,0.8114651005414889,0.11758675563684493,0.0,0.00013145235465984563,0.0,0.9999999999999996,0.9999999999999996,0.0,0.0
Aurora,0.0,0.0,1.0000000000000013,0.0,1.0000000000000013,0.0,0.0,0.0,0.0,1.0000000000000013,0.005636217038013652,0.0,0.0
Estrogen,0.4681005463086229,0.00017177813443428118,0.04239322741293454,0.0018891577929703708,0.02680210356806649,0.0009715217077934596,0.7914895099380523,0.2496141846008935,0.0,0.0011830449934269597,0.24222677758557615,0.0,0.0
EGFR,0.9426614829974345,0.0,0.0,0.0,0.0,0.0043873963500649414,0.9999999999999986,0.9999999999999986,0.11147800804219883,0.0,0.0,0.0,0.0
p53,8.26421138924029e-05,7.833435737345456e-05,0.0,0.3844787782577347,0.6627667275277896,0.0005498561285837107,0.9270862268175065,8.138776810582161e-05,1.0000000000000013,0.00041927182657454013,0.0,0.0,0.0
GBM_onc,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,1.0000000000000002,0.0,1.0000000000000002,0.0,0.00017285753183748692,0.11896830950469128,0.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
