,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,1.7763568394002489e-15,1.7763568394002489e-15,1.7763568394002489e-15,1.7763568394002489e-15,0.017215396907460837,0.038425358401179784,0.05444497438895321,0.039703051656618464,0.04811193548321623,0.16511293158543713,0.0,0.0
CDK2,4.996003610813203e-15,0.0,0.0,0.0,0.03240508109045709,0.296020786971579,0.035246442109968606,0.0,0.0,0.0,0.03240508109045708,0.0,0.0
CDK4_6,3.330669073875468e-16,0.0,0.0,3.330669073875468e-16,0.30036132831059525,0.0,3.330669073875468e-16,0.38805627293080336,0.0,0.38049686980329533,0.0,0.0,0.0
PI3K,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.0,0.0,0.3898590953276787,0.4216403377664927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypoxia,0.0,0.0,0.0,1.3322676295501886e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,4.440892098500625e-16,4.440892098500625e-16,0.4343135549501075,0.3911387108746462,0.3221181623808974,0.0,0.011464513724458615,0.0,4.440892098500625e-16,4.440892098500625e-16,0.0,0.0
Aurora,0.0,0.0,1.3322676295501884e-15,0.0,1.3322676295501884e-15,0.0,0.0,0.0,0.0,1.3322676295501884e-15,0.07486287528217213,0.0,0.0
Estrogen,0.49898138728232283,0.013105290027573262,0.20148459415659947,0.04342336785422836,0.16150464641115791,0.031154098500273574,0.40624360376020296,0.4327897219746842,0.0,0.034375069424955246,0.42843081799292027,0.0,0.0
EGFR,0.23248830394346937,0.0,0.0,0.0,0.0,0.06609195944539986,1.4432899320127065e-15,1.4432899320127065e-15,0.31472315098375286,0.0,0.0,0.0,0.0
p53,0.009090395160465477,0.008850323220194245,0.0,0.4864718361089092,0.4727652614246251,0.023442563571878617,0.25999491314790785,0.009021149823444036,1.3322676295501902e-15,0.020471835230627983,0.0,0.0,0.0
GBM_onc,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,0.0,0.01314639312173395,0.32375121750857916,0.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
