,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,-1.0,0.3290090847901198,0.23870890736650333,0.11907738102083402,0.09841107512400442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK2,0.42742118319718103,-1.0,0.0,0.0,-0.09999603267075428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK4_6,0.3618275927061317,0.0,-1.0,0.14390348991084106,0.12845895567279958,0.0,0.20476911218848778,0.0,0.0,0.0,0.0,0.0,0.0
PI3K,0.0,0.5376122829103099,0.2928014896016332,-1.0,0.18418057479635647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.45295033296002796,0.0,0.0,0.12790482471815387,-1.0,0.0,0.2568084220013451,0.2885002540650554,0.0,0.0,0.17923456095911253,0.0,0.0
Hypoxia,0.0,0.0,0.0,0.17655580179317873,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,-0.41368761246525126,0.4010427195545096,0.0,0.1443170872940413,0.0,-1.0,0.0,0.0,0.25022263913223713,-0.22962827130385047,0.0,0.0
Aurora,0.0,0.0,0.28856907611728894,0.0,0.23481538574273547,0.0,0.0,-1.0,0.0,0.2645464056178967,0.0,0.0,0.0
Estrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.08263356748020038,0.0,-1.0,0.0,0.0,0.0,0.0
EGFR,0.22849332831891161,0.0,0.0,0.0,0.0,0.0,0.17947475784399522,0.17701193639940838,0.0,-1.0,0.0,0.0,0.0
p53,0.0,0.0,0.0,0.0,0.16067195602411485,0.0,-0.20609904370368629,0.0,0.38669690895987063,0.0,-1.0,0.0,0.0
GBM_onc,-0.4620327617576963,-1.259327082806768,0.0,0.0,0.0,-0.2933708698335113,0.0,-0.23748905901565825,0.0,0.0,0.0,-1.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,1.5074466332652898,3.4319960035019292,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
