,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,1.6622386795259962,0.6370190721378646,0.6346878841473426,0.34091139466166653,0.304472121262109,0.009653983031467604,0.225171738356647,0.11754399793942297,-0.002122656245032654,0.09735260921184102,0.0010248086226340388,-2.884340810117721e-16,-2.461202045362018e-16
CDK2,0.5831177336543375,1.228291822931886,0.1799038879123999,0.09493982110043286,-0.022022805360121474,0.011025804652351241,0.035293631305707375,-0.0009596884323606525,-0.005287844721237199,0.011382332895951822,-0.012845075743361764,-5.131857550962609e-16,-4.522618068741012e-16
CDK4_6,1.0182640893077013,0.36549970762993184,1.6555408918375667,0.44358968941326943,0.4737382276269859,0.01263227454008606,0.5027927684757375,0.20549516288101174,-0.01758134860086678,0.20618369072476922,-0.032105163408118656,-8.244123484074407e-16,-5.535078624229831e-16
PI3K,0.8484143576885188,0.8507415978222593,0.7516326853119457,1.277863762594068,0.40812733596306017,0.012478217409727018,0.2789290253094187,0.15432474606403257,4.797021551477659e-05,0.1224118705807923,0.008098563349398293,-5.910800885672331e-16,-6.366058244455581e-16
ERK,1.2855528320387457,0.4526968604857786,0.9239264585237421,0.5263270945278585,1.5270655345134143,0.015484046569042334,0.6120963851100356,0.5140140140197872,0.043645349441448635,0.30362429313629274,0.13250405772013255,-1.052463131526709e-15,-2.4836969042770775e-16
Hypoxia,0.149792477174541,0.15020336492231853,0.1327051114092102,0.22561426118724343,0.0720572490346722,1.0022031016797248,0.049246537706894064,0.02724692927786387,8.469419862361278e-06,0.02161252595939474,0.0014298483455257181,-4.7044358797623897e-17,4.6430418926199795e-16
PDGFR,0.5126947378397065,-0.25798569377074504,0.8592176287514308,0.29243588613056754,0.456949425443535,0.02453604404851191,1.4114370845927904,0.22079900747481992,-0.10534959369779273,0.425085881282142,-0.24516615594561045,-4.3199120374883996e-16,4.357115674892927e-16
Aurora,0.7563140512539753,0.2500626171746835,0.8116040659592093,0.30004716760080735,0.5613816976454201,0.009616916770110161,0.38696014816195207,1.2560560851528586,-0.0070537408029498205,0.4418513056926539,0.01014174888594481,-2.332854507417339e-16,-1.1612288070495436e-16
Estrogen,-0.06620410443485701,-0.06128878141886922,0.03672930789594101,0.006667652103452335,0.029508695158172133,0.0014034464673653116,0.10407677453916163,0.0481295860525255,1.000445742478965,0.03929987233440935,0.0036539131834474247,8.73421377740643e-17,1.776855702472923e-16
EGFR,0.607421992446152,0.14511461803411446,0.4420582220610227,0.18345186757373483,0.250261995507813,0.008827694632928363,0.37071793533894676,0.28764777314914486,-0.045376801817406234,1.1757897635399663,-0.04206131984680342,-5.059908068239823e-16,1.0253964837451091e-16
p53,0.15608297884671615,0.18322212926188414,0.05716983209126376,0.1486196581421096,0.20147257288136988,-0.0007506245933167369,-0.1257271624962638,0.07039138515649976,0.41559817270885896,-0.011946624716749918,1.0740021427775628,-2.5346516963190886e-16,1.8621841026582607e-18
GBM_onc,-1.7235513214581444,-1.9418238504817975,-0.7506246774960083,-0.4122705637695882,-0.2643555526181881,-0.3146581807137555,-0.25674032980241307,-0.35833206774128556,0.015609776560461813,-0.1707904134250332,0.029146811039151177,1.000000000000001,8.104215479202348e-16
GBM_survival,2.4519894715591435,1.1979137063549923,1.8482132412870242,1.5677172493699822,2.5492699894880446,3.462898413531878,1.091716555564344,0.8683600472746339,0.06582210208831868,0.5318715211840824,0.20465002951166156,-1.671233542135677e-15,1.0000000000000004
