,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,1.624763377685466,0.6180618015599546,0.5909555329448123,0.31497040484369127,0.2850343883258403,-8.234384293315946e-15,0.20748039376513833,0.09591373272679075,0.001332035236798536,0.07728992493837739,0.0034446493001008536,-2.3785421393885584e-15,-2.255791333589056e-15
CDK2,0.5776190557647439,1.2253011319932263,0.17596961255004398,0.09091596172781091,-0.024925127192164002,-5.6713595697342825e-15,0.032919338719347935,-0.006014474237480565,-0.00465067034136381,0.006646056271636791,-0.012026655071727082,-1.5075128587486203e-15,-1.5928249256183784e-15
CDK4_6,0.9398907499268669,0.3278989085993808,1.5702744037277354,0.39315675060971567,0.4321107899597888,-8.755799809252033e-15,0.4658094157698206,0.1524340488619828,-0.01141290419380295,0.15688194106679088,-0.029513823176141724,-3.030122595333333e-15,-2.349815289742336e-15
PI3K,0.8009402132592853,0.8263429575587063,0.6955018928685518,1.2445012144250573,0.3834273019845807,-8.39754966663573e-15,0.25679470389742576,0.12798624987662996,0.003772653788906238,0.09811415089777209,0.009756100194993667,-2.7812202528663413e-15,-2.4526578783369048e-15
ERK,1.1684386512185934,0.38873116743040476,0.7662034033931868,0.43710795533749247,1.4676068518186258,-7.20584489751945e-15,0.5576438903087915,0.4701190048130049,0.052202175215529195,0.26390341886497765,0.13499506721153523,-2.924019616309539e-15,-2.097449625983659e-15
Hypoxia,0.14141064154039426,0.14589564342792558,0.12279489434408149,0.21972390974540046,0.06769631473128211,0.999999999999996,0.04533859484285195,0.022596714965470537,0.0006660839145884767,0.01732262257901353,0.0017224960923015432,-1.015098356834487e-15,-1.232284919724911e-15
PDGFR,0.4231694249905587,-0.31539200309053156,0.7713055230925063,0.2146479386891842,0.41643835867856477,-5.2088690045211164e-15,1.3778898363953422,0.19007334166736814,-0.09348873983394766,0.3950624506382144,-0.24176231479432175,-2.4980207304783966e-15,-1.4426679167393056e-15
Aurora,0.6965109505812971,0.21851977281211823,0.7400464482502478,0.257375290254634,0.5311865596740474,-6.642119407454177e-15,0.36019153209705507,1.2266422482442012,0.0048324859027985235,0.41463187350646896,0.012496830956827262,-2.4055717299348005e-15,-1.8879130317833934e-15
Estrogen,0.03496799923551282,-0.02606196637009858,0.06373572699031502,0.017737124926158164,0.03441178721320885,1.0747726061405602e-15,0.11385995277605673,0.015706438304857358,0.9922746919082926,0.03264541967370579,-0.019977682553726072,1.0552994670355255e-16,2.975553628538778e-16
EGFR,0.5704865740609807,0.12329870289164341,0.4044563234220814,0.15605102145197677,0.23389499117194545,-4.3580070573783846e-15,0.35846253102624054,0.2731593346216149,-0.015619100090866467,1.1619587606785327,-0.040391065273519274,-1.7485162501228867e-15,-1.2766645845887888e-15
p53,0.11404252698716172,0.11738210543059577,-0.011211522559754052,0.03285114666374918,0.1632826478180411,2.8822264558356078e-15,-0.15035475119648015,0.04243463725946469,0.411364921677477,-0.02639623188976379,1.0637915952934758,8.224188697129356e-16,8.649684202463507e-16
GBM_onc,-1.6850047242246697,-1.923317288263381,-0.7064214953854372,-0.38560398890680975,-0.24631746087460282,-0.293370869833498,-0.23616152516846023,-0.33468442773531343,0.0038981990477019923,-0.14763252246280764,0.010080760816491133,1.0000000000000042,3.8779949371170104e-15
GBM_survival,2.2466796675757834,1.0867047547612343,1.576442327480797,1.4130084957670124,2.444672489340628,3.431996003501905,0.9962202813120082,0.7862311464931614,0.08097799061063866,0.457271491736557,0.209409459280277,-8.537526956846692e-15,0.999999999999993
