From	To	Strength
CDK2	CDK1	0.3290090847901198
CDK4_6	CDK1	0.23870890736650333
PI3K	CDK1	0.11907738102083402
ERK	CDK1	0.09841107512400442
Hypoxia	CDK1	1.4525414546314265e-06
PDGFR	CDK1	3.354497159636766e-06
Aurora	CDK1	-5.416118709206668e-05
Estrogen	CDK1	-6.734522162146395e-05
EGFR	CDK1	-4.5624625781120535e-05
p53	CDK1	-0.0010146926814916877
CDK1	CDK2	0.42742118319718103
ERK	CDK2	-0.09999603267075428
Hypoxia	CDK2	0.008432092694930202
PDGFR	CDK2	-0.00011779616739991799
p53	CDK2	-6.904718062562424e-05
CDK1	CDK4_6	0.3618275927061317
PI3K	CDK4_6	0.14390348991084106
ERK	CDK4_6	0.12845895567279958
PDGFR	CDK4_6	0.20476911218848778
Aurora	CDK4_6	0.01989306228102998
EGFR	CDK4_6	0.015739073438518932
CDK2	PI3K	0.5376122829103099
CDK4_6	PI3K	0.2928014896016332
ERK	PI3K	0.18418057479635647
CDK1	ERK	0.45295033296002796
CDK4_6	ERK	0.04545814071851504
PI3K	ERK	0.12790482471815387
PDGFR	ERK	0.2568084220013451
Aurora	ERK	0.2885002540650554
p53	ERK	0.17923456095911253
PI3K	Hypoxia	0.17655580179317873
CDK2	PDGFR	-0.41368761246525126
CDK4_6	PDGFR	0.4010427195545096
PI3K	PDGFR	0.04839292220151783
ERK	PDGFR	0.1443170872940413
Hypoxia	PDGFR	0.018769996168095195
Aurora	PDGFR	1.343006261381858e-05
EGFR	PDGFR	0.25022263913223713
p53	PDGFR	-0.22962827130385047
CDK4_6	Aurora	0.28856907611728894
ERK	Aurora	0.23481538574273547
EGFR	Aurora	0.2645464056178967
p53	Aurora	-0.0005405149512014414
CDK1	Estrogen	-0.07560962020965183
CDK2	Estrogen	-3.6260741590076594e-05
CDK4_6	Estrogen	-0.0063859879348315265
PI3K	Estrogen	-0.0001411031923397768
ERK	Estrogen	-0.002958370245789338
Hypoxia	Estrogen	-5.507056005841713e-05
PDGFR	Estrogen	0.08263356748020038
Aurora	Estrogen	0.03190993408503345
EGFR	Estrogen	-5.615758581631245e-05
p53	Estrogen	0.022208611783974645
CDK1	EGFR	0.22849332831891161
Hypoxia	EGFR	0.0005494035326786058
PDGFR	EGFR	0.17947475784399522
Aurora	EGFR	0.17701193639940838
Estrogen	EGFR	-0.024724583746716197
CDK1	p53	-1.842461704080241e-05
CDK2	p53	-2.517894053157344e-05
PI3K	p53	0.09526324333783341
ERK	p53	0.16067195602411485
Hypoxia	p53	8.710579662241915e-05
PDGFR	p53	-0.20609904370368629
Aurora	p53	-7.131546917571479e-06
Estrogen	p53	0.38669690895987063
EGFR	p53	2.0511873278335862e-05
CDK1	GBM_onc	-0.4620327617576963
CDK2	GBM_onc	-1.259327082806768
Hypoxia	GBM_onc	-0.2933708698335113
Aurora	GBM_onc	-0.23748905901565825
EGFR	GBM_onc	-1.6930700116837916e-05
p53	GBM_onc	0.01515031666128651
ERK	GBM_survival	1.5074466332652898
Hypoxia	GBM_survival	3.4319960035019292
