From	To	Strength
CDK2	CDK1	0.3290090847901198
CDK4_6	CDK1	0.23870890736650333
PI3K	CDK1	0.11907738102083402
ERK	CDK1	0.09841107512400442
CDK1	CDK2	0.42742118319718103
ERK	CDK2	-0.09999603267075428
CDK1	CDK4_6	0.3618275927061317
PI3K	CDK4_6	0.14390348991084106
ERK	CDK4_6	0.12845895567279958
PDGFR	CDK4_6	0.20476911218848778
CDK2	PI3K	0.5376122829103099
CDK4_6	PI3K	0.2928014896016332
ERK	PI3K	0.18418057479635647
CDK1	ERK	0.45295033296002796
PI3K	ERK	0.12790482471815387
PDGFR	ERK	0.2568084220013451
Aurora	ERK	0.2885002540650554
p53	ERK	0.17923456095911253
PI3K	Hypoxia	0.17655580179317873
CDK2	PDGFR	-0.41368761246525126
CDK4_6	PDGFR	0.4010427195545096
ERK	PDGFR	0.1443170872940413
EGFR	PDGFR	0.25022263913223713
p53	PDGFR	-0.22962827130385047
CDK4_6	Aurora	0.28856907611728894
ERK	Aurora	0.23481538574273547
EGFR	Aurora	0.2645464056178967
PDGFR	Estrogen	0.08263356748020038
CDK1	EGFR	0.22849332831891161
PDGFR	EGFR	0.17947475784399522
Aurora	EGFR	0.17701193639940838
ERK	p53	0.16067195602411485
PDGFR	p53	-0.20609904370368629
Estrogen	p53	0.38669690895987063
CDK1	DPD_GBM_onc	-0.4620327617576963
CDK2	DPD_GBM_onc	-1.259327082806768
Hypoxia	DPD_GBM_onc	-0.2933708698335113
Aurora	DPD_GBM_onc	-0.23748905901565825
ERK	DPD_DPD_GBM_survival	1.5074466332652898
Hypoxia	DPD_GBM_survival	3.4319960035019292
