,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,0.07274042100577978,0.03775578851967372,0.03055297555836305,0.02584147764037079,0.00021053488598176285,0.0005710039639845086,0.0014600941604166935,0.0018700986928755694,0.001269778385019501,0.006746297489237755,0.0,0.0
CDK2,0.017316194913612994,0.0,0.0,0.0,0.009683196614524436,0.02647610865539932,0.0033797258975145393,0.0,0.0,0.0,0.0021512617136968076,0.0,0.0
CDK4_6,0.047950374091246216,0.0,0.0,0.031985651978572796,0.0506319136193796,0.0,0.027416390926945,0.043555235615136134,0.0,0.03598571877245258,0.0,0.0,0.0
PI3K,0.0,0.025525851663740835,0.019246047229491043,0.0,0.013065514105501073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.05720954675604133,0.0,0.09665875360639198,0.0781900166660894,0.0,0.0,0.03353487921179051,0.034120077063258245,0.0,0.0,0.02764132435308584,0.0,0.0
Hypoxia,0.0,0.0,0.0,0.0013613318782847274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,0.09043074968290628,0.05980147492238083,0.08650682272150455,0.07892881596200979,0.05380583545830956,0.0,0.0011712923481278208,0.0,0.03581115563680712,0.033043110565249736,0.0,0.0
Aurora,0.0,0.0,0.03476309997493212,0.0,0.02444772231769221,0.0,0.0,0.0,0.0,0.022630752657577715,0.007220614047285183,0.0,0.0
Estrogen,0.08616228036516026,0.0027664029343306548,0.03207273747634749,0.003328499430866014,0.019370060111899956,0.001909699258470047,0.0519114175966149,0.05759072258371275,0.0,0.0018840412899509544,0.04166241869650618,0.0,0.0
EGFR,0.07760296604651383,0.0,0.0,0.0,0.0,0.008543101615381857,0.03995366924382254,0.044692157779464586,0.0718992053274119,0.0,0.0,0.0,0.0
p53,0.002026654954630061,0.0028447512626431476,0.0,0.1274945679109396,0.12203529205940399,0.0039195882810039405,0.08167731152136054,0.0007904720170318932,0.0793843228123574,0.00115132934998616,0.0,0.0,0.0
GBM_onc,0.059850236118532935,0.09391155916780547,0.0,0.0,0.0,0.04876459758781619,0.0,0.032221152651455844,0.0,0.0012876363395689123,0.042667921190518314,0.0,0.0
GBM_survival,0.0,0.0,0.0,0.0,0.04970115459337359,0.09677803530193245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
