,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0005688279140098914,0.0,0.0
CDK2,0.9999999999999971,0.0,0.0,0.001077929424821994,0.9999999999999971,0.027957048938288234,0.767149485346988,0.0,0.0019991793573804506,0.0,0.0022514576034370223,0.0,0.0
CDK4_6,0.999999999999998,0.0060953216314915196,0.0,0.999999999999998,0.0598299996778389,0.00013829916941254778,0.978043817838703,0.006713248453269002,0.00011125384730480316,0.999999999999998,0.6025112343959033,0.0,0.0
PI3K,0.0,0.9999999999999994,0.9999999999999994,0.0,0.9999999999999994,0.0,0.0,0.0,0.0,0.19559445456091346,0.47053269053413577,0.0,0.0
ERK,1.0000000000000002,0.0,0.0,1.0000000000000002,0.0,0.0,1.0000000000000002,1.0000000000000002,0.0,0.0006580534366977537,1.0000000000000002,0.0,0.0
Hypoxia,0.0,0.0,0.0,1.000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,1.0000000000000027,1.0000000000000027,0.0,0.04627522473673398,0.0,0.0,1.0000000000000027,0.0,0.04194594130739438,0.0037227289930623327,0.0,0.0
Aurora,0.0,0.0,0.0,0.0,1.0000000000000018,0.0,1.0000000000000018,0.0,0.0,1.0000000000000018,0.0,0.0,0.0
Estrogen,0.9671542524655766,0.00443626597417417,0.04394734988944935,0.0014951224939997417,0.010514221321530372,0.002163050005648446,1.000000000000001,0.00846500839447004,0.0,0.005131423426636667,0.8997253273808261,0.0,0.0
EGFR,0.0,0.0,1.0000000000000024,0.0,0.0,0.05560837717058003,1.0000000000000024,0.0016047594460145145,0.0,0.0,0.0,0.0,0.0
p53,0.0,0.0,0.9999999999999988,0.9999999999999988,0.29467236591378254,0.0,0.012500857359404394,0.0,0.9999999999999988,0.0,0.0,0.0,0.0
GBM_onc,0.9999999999999993,0.9999999999999993,0.0,0.0,0.0,0.9999999999999993,0.8305760022308929,0.17676197339257718,0.0,0.0,0.027581353791146603,0.0,0.0
GBM_survival,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
