,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,1.1102230246251564e-16,0.0,0.0,0.0,0.0,0.0,0.023843329230921903,0.0,0.0
CDK2,2.8865798640254046e-15,0.0,0.0,0.032814135566506974,2.8865798640254046e-15,0.1648497872396272,0.422647787736833,0.0,0.04466746734791971,0.0,0.047396081505720986,0.0,0.0
CDK4_6,1.9984014443252814e-15,0.07783423851814955,0.0,1.9984014443252814e-15,0.23717160626092793,0.011759253494686102,0.14654046617298377,0.08165892938603658,0.010547107180941276,1.9984014443252814e-15,0.48937863339405074,0.0,0.0
PI3K,0.0,5.551115123125783e-16,5.551115123125783e-16,0.0,5.551115123125783e-16,0.0,0.0,0.0,0.0,0.39665761546443457,0.49913092237692797,0.0,0.0
ERK,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.025644110481204137,2.220446049250313e-16,0.0,0.0
Hypoxia,0.0,0.0,0.0,1.998401444325281e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,2.664535259100373e-15,2.664535259100373e-15,0.0,0.2100805281607472,0.0,0.0,2.664535259100373e-15,0.0,0.20046565619883858,0.06090049492333001,0.0,0.0
Aurora,0.0,0.0,0.0,0.0,1.776356839400252e-15,0.0,1.776356839400252e-15,0.0,0.0,1.776356839400252e-15,0.0,0.0,0.0
Estrogen,0.17823272539948973,0.06645739626543118,0.204977999617383,0.03863789723480927,0.10199839445565932,0.04645827397053737,1.1102230246251573e-15,0.09161523905634711,0.0,0.0714499259639451,0.3003658813019417,0.0,0.0
EGFR,0.0,0.0,2.442490654175345e-15,0.0,0.0,0.2291638836270551,2.442490654175345e-15,0.04002729310276854,0.0,0.0,0.0,0.0,0.0
p53,0.0,0.0,1.2212453270876708e-15,1.2212453270876708e-15,0.4558953418061611,0.0,0.1111061921077499,0.0,1.2212453270876708e-15,0.0,0.0,0.0,0.0
GBM_onc,6.661338147750946e-16,6.661338147750946e-16,0.0,0.0,0.0,6.661338147750946e-16,0.37512598783480877,0.381467139023716,0.0,0.0,0.16377002996334264,0.0,0.0
GBM_survival,5.551115123125778e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
