,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,-1.0,0.3270328658358246,0.23243682541288968,0.11614609844969997,0.10455138121569228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK2,0.38066233571921543,-1.0,0.0,0.0,-0.1280745842944079,0.0,0.09863033709165213,0.0,0.0,0.0,0.0,0.0,0.0
CDK4_6,0.5042041518538221,0.0,-1.0,0.188598886237706,0.0,0.0,0.23053655700048867,0.0,0.0,0.1410855544131177,-0.06352385445441572,0.0,0.0
PI3K,0.0,0.5154894130790079,0.26687635168398244,-1.0,0.17895564719867624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERK,0.31231836456637435,0.0,0.0,0.19651108073174234,-1.0,0.0,0.2921698338028688,0.3197593078221084,0.0,0.0,0.16352605131199463,0.0,0.0
Hypoxia,0.0,0.0,0.0,0.17686735029868017,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,0.294551805820554,0.36556097152396283,0.0,0.0,0.0,-1.0,0.2026877109818178,0.0,0.0,0.0,0.0,0.0
Aurora,0.0,0.0,0.0,0.0,0.2458336155871165,0.0,0.29375508276825324,-1.0,0.0,0.22778860695403225,0.0,0.0,0.0
Estrogen,-0.24760672314184629,0.0,0.0,0.0,0.0,0.0,0.23114288088848667,0.0,-1.0,0.0,0.09060815783677353,0.0,0.0
EGFR,0.0,0.0,0.36453917454776097,0.0,0.0,0.0,0.34743149490394015,0.0,0.0,-1.0,0.0,0.0,0.0
p53,0.0,0.0,-0.32765042619156154,0.34335526076709755,0.0,0.0,0.0,0.0,0.3886197050282863,0.0,-1.0,0.0,0.0
GBM_onc,-0.4409556196686261,-1.158508555865919,0.0,0.0,0.0,-0.28577548112991313,-0.2874049321344423,0.0,0.0,0.0,0.0,-1.0,0.0
GBM_survival,-9.194019124424766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
