,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,1.6070680755293767,0.5963312427542589,0.6178722585827703,0.2677701340189337,0.29682809816089883,4.3919706600492735e-17,0.20050092824022747,0.0918060072273252,0.0042377834410871505,0.07562551956720702,0.011000209153828221,1.3283602953737776e-15,-3.8733032479665063e-17
CDK2,0.5841955135075348,1.230567639330291,0.16619578539096108,0.09063236115471549,-0.024575777047755976,1.073257669976562e-17,0.028620195704095245,-0.0054532546921238914,-0.004462944199419816,0.00597059443396439,-0.011584669277693992,3.1713520544123474e-16,1.6727173071919772e-16
CDK4_6,0.8705810033498551,0.2683157845091263,1.59876799492471,0.29018914116613076,0.4637647874618622,-1.1421825783729441e-17,0.445043888505249,0.14969692567641993,-0.005362205790201579,0.1538036252821065,-0.013918923899270174,-1.9977532263714124e-17,3.3592917975675705e-17
PI3K,0.7776134480745739,0.7874304806001053,0.7375964779466774,1.1799271312069821,0.3969803854366685,-2.740495288663562e-16,0.2496867788564065,0.12190511974133479,0.007346724361256707,0.0961475409927437,0.019070229919207024,5.979577978856333e-17,-1.2576155130567545e-16
ERK,1.1811336741769976,0.3032383678008919,1.026055344447752,0.26246857881189,1.5153409482380757,2.3608608968882215e-18,0.5807925493979603,0.4476494669948985,0.06189867246371418,0.26630469921104966,0.16067322762260686,-1.1161740125389089e-16,-8.409280031984776e-17
Hypoxia,0.13632587748710098,0.13804693256488632,0.12931037565830916,0.2068567640270592,0.06959588922211096,1.000000000000001,0.04377338034573562,0.021371572804016244,0.0012879775262165081,0.016855930059488964,0.0033432624320659204,-9.810897359894975e-17,4.2937567733082527e-17
PDGFR,0.38074573191066413,-0.3399712501220693,0.7974108786490121,0.13818754316999046,0.42522546848916076,-1.4076130696750033e-16,1.3760806497668399,0.18323391728845734,-0.09294231750312662,0.4028678388468185,-0.2412546431380495,-7.268776325980737e-17,5.977366047424653e-17
Aurora,0.6648097913139277,0.1732476979330765,0.8152180639352924,0.17502341166378851,0.5450046861094265,1.437130107227336e-16,0.35737580539286085,1.2158837875470245,0.008759695528767932,0.408345420117774,0.022737944087954046,3.439531953824421e-16,-1.5318213966477345e-17
Estrogen,0.029723377565130344,-0.026540268167833298,0.06225084783402731,0.010787778236744634,0.03319574217361933,-2.923423820558194e-16,0.10742540568435095,0.014304378092359524,0.9927443452062865,0.03145036668645093,-0.01883383645917089,-7.023157884600102e-17,-6.653874303197848e-17
EGFR,0.5323913350533445,0.0958381590673502,0.4231040020183372,0.11378451666343052,0.23796931422484702,-1.6476013769203886e-17,0.3598101215705347,0.26704301927625457,-0.014704447129000103,1.1623067465453965,-0.03816900890737905,2.7140482664076023e-16,-3.8568190130672975e-17
p53,0.1472269552337055,0.12462114519041469,0.035334765925173615,0.022088895051144544,0.20143204391918007,-3.3052083362991986e-17,-0.16341679740275095,0.04807689917698269,0.41535435572108903,-0.029687398040854768,1.078154381742796,9.562862846613027e-17,7.709219111107405e-17
GBM_onc,-1.658107219734898,-1.8762100739840835,-0.7209647904538553,-0.3373705927692081,-0.2559910498829348,-0.29383269121828826,-0.22528358285164912,-0.33078730916658955,0.0011071877849349685,-0.14415032566627348,0.00287397819547985,1.0000000000000004,1.4399544851546426e-16
GBM_survival,-14.795649153763515,-5.490189234400295,-5.688508967999226,-2.4652552167059487,-2.732780562466756,9.159339953157541e-16,-1.8459338682769366,-0.8452221121348192,-0.03901561977285907,-0.6962546712396694,-0.10127463654857699,-1.6427831317500363e-15,1.0000000000000007
