From	To	Strength
CDK2	CDK1	0.33135857472913205
CDK4_6	CDK1	0.23264125910198402
PI3K	CDK1	0.12247706474230427
ERK	CDK1	0.09797113734574388
Hypoxia	CDK1	3.7363998100796747e-06
PDGFR	CDK1	9.129432677620261e-06
Aurora	CDK1	-3.2739623176898085e-05
Estrogen	CDK1	-8.599173953516298e-06
EGFR	CDK1	-8.716784481364998e-06
p53	CDK1	-0.0010903841719786824
CDK1	CDK2	0.43857588718087326
ERK	CDK2	-0.1021271310056156
Hypoxia	CDK2	0.011914379184141306
CDK1	CDK4_6	0.3242546967510057
PI3K	CDK4_6	0.11481524263567391
ERK	CDK4_6	0.1597178926571592
PDGFR	CDK4_6	0.18792482163461596
Aurora	CDK4_6	0.01143929668253863
EGFR	CDK4_6	0.03784175130500932
CDK2	PI3K	0.5319642616427007
CDK4_6	PI3K	0.28918833692916585
ERK	PI3K	0.18209661214303638
EGFR	PI3K	3.3623488936194035e-05
CDK1	ERK	0.43436005040750475
CDK4_6	ERK	0.21266137831847925
PI3K	ERK	0.039561593542181035
PDGFR	ERK	0.24462625642452213
Aurora	ERK	0.2645540066314001
p53	ERK	0.19649968810922347
PI3K	Hypoxia	0.17531316854750137
CDK2	PDGFR	-0.3921612062812358
CDK4_6	PDGFR	0.38116881660748547
PI3K	PDGFR	0.05951938463832756
ERK	PDGFR	0.14843518564940927
Hypoxia	PDGFR	0.019116099764980347
EGFR	PDGFR	0.25814846364420946
p53	PDGFR	-0.23604090002086978
CDK4_6	Aurora	0.2942873248076181
ERK	Aurora	0.2287673075697574
EGFR	Aurora	0.25996678979467885
p53	Aurora	-0.0021986878279617846
CDK1	Estrogen	-0.07582829650131645
CDK2	Estrogen	-1.264845071157686e-05
CDK4_6	Estrogen	-0.004287349054301961
PI3K	Estrogen	-0.00023418567289575738
ERK	Estrogen	-0.002420600163094271
PDGFR	Estrogen	0.07806621341747169
Aurora	Estrogen	0.03396682277678866
EGFR	Estrogen	1.0715134092966919e-05
p53	Estrogen	0.021004678724649176
CDK1	EGFR	0.21491848599031496
Hypoxia	EGFR	0.0005819422610657653
PDGFR	EGFR	0.18455881310040495
Aurora	EGFR	0.17558814344778745
Estrogen	EGFR	-0.027682020227031784
CDK1	p53	-2.832358970113907e-05
PI3K	p53	0.07452152967328986
ERK	p53	0.1885886916612369
Hypoxia	p53	0.00010510832860218353
PDGFR	p53	-0.2284262057606894
Aurora	p53	-1.2732252824075497e-05
Estrogen	p53	0.3852457150428533
EGFR	p53	1.4135706824740018e-05
CDK1	GBM_onc	-0.4592976474246481
CDK2	GBM_onc	-1.235660412228672
Hypoxia	GBM_onc	-0.2938326912182879
Aurora	GBM_onc	-0.23775276319714428
p53	GBM_onc	0.014042430064200518
CDK1	GBM_survival	-9.206610086439396
