From	To	Strength
CDK2	CDK1	0.3270328658358246
CDK4_6	CDK1	0.23243682541288968
PI3K	CDK1	0.11614609844969997
ERK	CDK1	0.10455138121569228
CDK1	CDK2	0.38066233571921543
ERK	CDK2	-0.1280745842944079
PDGFR	CDK2	0.09863033709165213
CDK1	CDK4_6	0.5042041518538221
PI3K	CDK4_6	0.188598886237706
PDGFR	CDK4_6	0.23053655700048867
EGFR	CDK4_6	0.1410855544131177
p53	CDK4_6	-0.06352385445441572
CDK2	PI3K	0.5154894130790079
CDK4_6	PI3K	0.26687635168398244
ERK	PI3K	0.17895564719867624
CDK1	ERK	0.31231836456637435
PI3K	ERK	0.19651108073174234
PDGFR	ERK	0.2921698338028688
Aurora	ERK	0.3197593078221084
p53	ERK	0.16352605131199463
PI3K	Hypoxia	0.17686735029868017
CDK2	PDGFR	0.294551805820554
CDK4_6	PDGFR	0.36556097152396283
Aurora	PDGFR	0.2026877109818178
ERK	Aurora	0.2458336155871165
PDGFR	Aurora	0.29375508276825324
EGFR	Aurora	0.22778860695403225
CDK1	Estrogen	-0.24760672314184629
PDGFR	Estrogen	0.23114288088848667
p53	Estrogen	0.09060815783677353
CDK4_6	EGFR	0.36453917454776097
PDGFR	EGFR	0.34743149490394015
CDK4_6	p53	-0.32765042619156154
PI3K	p53	0.34335526076709755
Estrogen	p53	0.3886197050282863
CDK1	GBM_onc	-0.4409556196686261
CDK2	GBM_onc	-1.158508555865919
Hypoxia	GBM_onc	-0.28577548112991313
PDGFR	GBM_onc	-0.2874049321344423
CDK1	GBM_survival	-9.194019124424766
