,CDK1,CDK2,CDK4_6,PI3K,ERK,Hypoxia,PDGFR,Aurora,Estrogen,EGFR,p53,GBM_onc,GBM_survival
CDK1,0.0,0.07096899215110174,0.03611475901041765,0.029788968724244868,0.02504025989676705,0.0002803293822920077,0.0005486835597976253,0.0009891388929456622,0.0005552406975097158,0.00048583723332065346,0.007161977149730425,0.0,0.0
CDK2,0.017172184644489483,0.0,0.0,0.0,0.008623223256086979,0.030954951142819324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK4_6,0.049626404285531944,0.0,0.0,0.052930104851387265,0.03022351820780849,0.0,0.029916397841810254,0.03230572743588194,0.0,0.050025926678650974,0.0,0.0,0.0
PI3K,0.0,0.026616011399787205,0.020739479591911726,0.0,0.013983713432160698,0.0,0.0,0.0,0.0,0.0014124911953376392,0.0,0.0,0.0
ERK,0.05066974303942589,0.0,0.1269980962868308,0.07229898226704976,0.0,0.0,0.03497291170076287,0.03836371596409914,0.0,0.0,0.025822750141668887,0.0,0.0
Hypoxia,0.0,0.0,0.0,0.0014179140483399234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PDGFR,0.0,0.09268377475173797,0.06299662651678062,0.09370960704561088,0.0806650740808763,0.05468331448638565,0.0,0.0,0.0,0.03502039896597362,0.03218662624538934,0.0,0.0
Aurora,0.0,0.0,0.0350519826536338,0.0,0.023978660131230598,0.0,0.0,0.0,0.0,0.02237451798282618,0.01451960271575553,0.0,0.0
Estrogen,0.08596757517066565,0.0020459832745016162,0.02638142805615134,0.004845311419941713,0.01637312072110461,0.0,0.05147483710222028,0.058288231380942766,0.0,0.0007453780634669938,0.041657293514373424,0.0,0.0
EGFR,0.08197689594175105,0.0,0.0,0.0,0.0,0.008702048712642402,0.03981823482982063,0.04544720594912816,0.07647226935034478,0.0,0.0,0.0,0.0
p53,0.002150342879896959,0.0,0.0,0.12242906306828684,0.1107307718746304,0.0038585631613605046,0.059516776056783786,0.0008759646079469114,0.08262262742877598,0.0008415308377070322,0.0,0.0,0.0
GBM_onc,0.05993145562476065,0.09035154059534764,0.0,0.0,0.0,0.0485501438972982,0.0,0.03332827836514254,0.0,0.0,0.04119148140261878,0.0,0.0
GBM_survival,0.03780641524875405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
