,ASG002_U251MG_24H:A10,ASG002_U251MG_24H:A11,ASG002_U251MG_24H:A12,ASG002_U251MG_24H:C16,ASG002_U251MG_24H:C17,ASG002_U251MG_24H:C18,ASG002_U251MG_24H:D22,ASG002_U251MG_24H:D23,ASG002_U251MG_24H:D24,ASG002_U251MG_24H:E19,ASG002_U251MG_24H:E20,ASG002_U251MG_24H:E21,ASG002_U251MG_24H:E22,ASG002_U251MG_24H:E23,ASG002_U251MG_24H:E24,ASG002_U251MG_24H:F01,ASG002_U251MG_24H:F02,ASG002_U251MG_24H:F03,ASG002_U251MG_24H:F16,ASG002_U251MG_24H:F17,ASG002_U251MG_24H:F18,ASG002_U251MG_24H:G16,ASG002_U251MG_24H:G17,ASG002_U251MG_24H:G18,ASG002_U251MG_24H:H17,ASG002_U251MG_24H:H18,ASG002_U251MG_24H:J10,ASG002_U251MG_24H:J11,ASG002_U251MG_24H:J12,ASG002_U251MG_24H:J19,ASG002_U251MG_24H:J20,ASG002_U251MG_24H:J21,ASG002_U251MG_24H:K22,ASG002_U251MG_24H:K23,ASG002_U251MG_24H:K24,ASG002_U251MG_24H:L10,ASG002_U251MG_24H:L11,ASG002_U251MG_24H:L12,ASG002_U251MG_24H:L16,ASG002_U251MG_24H:L17,ASG002_U251MG_24H:L18,ASG002_U251MG_24H:M07,ASG002_U251MG_24H:M08,ASG002_U251MG_24H:M09,ASG002_U251MG_24H:M22,ASG002_U251MG_24H:M23,ASG002_U251MG_24H:M24,ASG002_U251MG_24H:O22,ASG002_U251MG_24H:O23,ASG002_U251MG_24H:O24,ASG002_U251MG_24H:P16,ASG002_U251MG_24H:P17,ASG002_U251MG_24H:P18
AARS,-0.4942793846130371,0.1512207984924316,0.04452085494995117,1.105921268463135,0.3018956184387207,0.2119708061218262,0.03542089462280273,0.07432031631469727,-0.3496289253234863,0.02554559707641602,0.3282208442687988,0.4737210273742676,-0.0359797477722168,-0.1671290397644043,-0.1087794303894043,-0.05597925186157227,-0.3278288841247559,-0.1196789741516113,0.2266201972961426,0.2691960334777832,0.05172014236450195,0.1548209190368652,0.03542089462280273,0.2087206840515137,0.4294705390930176,-0.0621790885925293,0.2647709846496582,-0.0668787956237793,0.01627111434936523,1.904870510101318,-0.1623797416687012,-0.0668787956237793,0.4174962043762207,0.9362711906433105,-0.06872892379760742,-0.1374297142028809,0.1439709663391113,-0.04162931442260742,0.008121013641357422,0.0763707160949707,0.167670726776123,0.5913205146789551,-0.4178290367126465,0.09757089614868164,-0.2263293266296387,-0.04282903671264648,-0.09857892990112305,0.6901211738586426,0.2464709281921387,-0.5050539970397949,0.8326706886291504,0.2208456993103027,0.07277154922485352
ABCB6,-1.826287269592285,-0.04148769378662109,0.1784381866455078,-1.149711608886719,-0.8831124305725098,-0.0688629150390625,-0.2723627090454102,0.2144374847412109,0.09066295623779297,-0.3868875503540039,0.01018714904785156,0.3157882690429688,0.5826625823974609,0.2453880310058594,0.105137825012207,-0.4032621383666992,-0.02091217041015625,-0.1547126770019531,0.1006374359130859,0.1231374740600586,0.2462377548217773,-0.01741218566894531,0.0727376937866211,0.404937744140625,0.03728771209716797,0.3183374404907227,-0.5357627868652344,-0.4459619522094727,0.1223373413085938,0.81768798828125,-0.1164379119873047,0.1206874847412109,0.1279373168945312,0.1716880798339844,0.01623725891113281,-0.05181312561035156,-0.1449127197265625,0.2225875854492188,0.0644378662109375,0.2433376312255859,0.3500375747680664,0.03511238098144531,0.01778793334960938,0.1539382934570312,0.1126880645751953,0.4706878662109375,0.333587646484375,-0.6749625205993652,-0.01523780822753906,-0.03381156921386719,0.0004625320434570312,0.2055625915527344,0.1878871917724609
ABCC5,0.03141884009043405,0.07814363638560007,0.1037683884302778,-0.1683311065038042,-0.1804561217625933,0.02299408117930124,0.07751897970835397,0.2384438912073774,0.2597189346949262,-0.1516065200169878,-0.0415563186009722,0.1658187309900923,0.06541875998179147,-0.1610312064488726,0.2821684281031294,-0.05440612634023001,0.0280685822168989,-0.04398151238759329,0.06551889578501413,-0.0810312827428179,0.3060684601465864,0.1782188812891645,-0.02168126900990774,0.3032684723536176,-0.1710309584935503,0.09189371267954538,0.1591687599817915,0.07586864630381296,0.1308436791102094,0.2076187531153364,0.07551864782969187,0.3057189385096235,0.1522436539332075,0.1608686844507856,2.812068978945415,0.1622190872828169,-0.1277813514073687,0.208568612734477,-0.1546811660130816,0.2034187714258833,0.1865187088648481,0.1956935326258344,0.08271888891855905,0.02189354101816843,-0.218430956204732,0.07281879583994577,0.2831936279932661,0.5261187950770063,0.3612184921900434,-0.1618313392003374,0.7588186661402387,0.1207437912623091,0.1037683884302778
ABCF1,0.5903331438700352,0.2018834749857579,-0.2735174496968593,0.4669334093729649,0.1548825899759922,0.9623328844706212,0.1604825655619297,-0.2310169537862148,0.1381332079569493,0.1212827364603672,-0.1875170071919765,0.4236337343851719,-0.3369167645772304,0.1301328341166172,0.07973305384317975,0.185458342234293,0.1394826571146641,-0.04016669591267963,-0.02941687901814838,0.1676828066507969,-0.281866868336996,-0.05586703618367572,0.5481330553690587,-0.2765673001607265,0.1942836443583165,0.7339326540629063,-0.0528419812520351,-0.1254175504048671,-0.2009161313374843,-0.1048668225606288,-0.2231167157491054,-0.2758673032124843,0.04363361994425397,-0.4823416074117031,0.3270837465922032,0.1974336306254063,-0.1999166806538906,-0.3134668668111171,0.1532327334086094,-0.0507667859395351,-0.291867097218832,0.0752088228861485,-0.2432669003804531,-0.06041701634724994,-0.2248667081197109,-0.3633173306783046,-0.5008667310078945,-0.1454666455586757,-0.8387916882832851,-0.6293924649556484,-0.09941657384236713,-0.2723167737325038,-0.07716639836629291
ABCF3,-1.080120881398519,-0.2673204739888515,-0.07412036259969135,-0.08404525121053119,-0.2097214063008632,-0.3361204465230312,0.1596786181131993,-0.00387080510457416,0.4436294237772618,0.06972996393839459,-0.211270173390707,0.457029501597086,0.2688543001810704,0.02057949701944928,0.09777943293253522,-0.2673204739888515,-0.03232081731160541,-0.06522067387898822,0.05207935969034772,0.1006290117899571,-0.2206705411275234,0.1134292284647618,-0.04792102177937885,0.2760793368021641,-0.1679457028706874,0.004479567209878965,0.3379794756571446,0.3373786608378087,0.3150293032328282,0.4381791750590001,-0.027070840199789,0.2168294588724766,0.5736800829569493,0.1192790667215977,-0.08727057774861713,0.7693797747294102,0.06237904230753522,0.004679838816324278,0.01532951990763287,0.203179518381754,0.1093293825785313,-0.239320596059164,0.2905799547831212,-0.05622084935506244,-0.1266201337178554,-0.04962046941121478,0.143029371897379,0.4156295458475743,0.02822891871134381,0.1183044115702305,0.2204295794169102,0.331179777781168,-0.1792209943135585
ABHD4,-0.8348770936330157,-0.07222708066304495,-0.2401519616444903,-0.06560190518697073,-0.2838769753774004,-0.3688269456227617,-0.4911518891652422,-0.01732691129048636,-0.4209519227345782,-0.2696271737416582,-0.1829772790273028,-0.165676673253377,0.4078478018442793,-0.3077770074208575,-0.1310773690541582,-0.05337675412495901,0.2866229216257734,-0.2518773873647051,0.2215227286020918,0.3240732351938886,0.09942285219828317,0.7077979246775312,0.03727285067240427,0.2203725973765058,-0.00352724393208792,-0.01962717374165823,0.2978734175364179,-0.5697017510732012,-0.03210218747456839,0.9892229239145918,0.007373253504435517,0.07522288958231638,-0.3914771874745684,-0.09130199750264456,-0.5609770615895586,3.70877210299174,-0.2088266213734942,0.4160226980845136,-0.2442022164662676,0.2722477118174238,-0.0484767754872637,-0.3173271020253496,-0.4070773919423418,0.3060225645701093,-0.4022270043690996,0.2940982977549238,-0.1744018395741778,0.3050479094187422,0.03069821993509958,-0.7541766961415606,1.168397823969523,0.5360731283823652,-0.02735193570454886
ABHD6,-0.1382017135620117,-0.2102022171020508,-0.03670215606689453,-0.1107521057128906,-0.1105771064758301,0.06127262115478516,-0.1953520774841309,-0.0964517593383789,-0.1682519912719727,0.3434228897094727,-0.2000021934509277,-0.1765022277832031,0.07719707489013672,0.0798482894897461,-0.1112518310546875,-0.2439022064208984,0.1409482955932617,-0.3333520889282227,0.05682229995727539,-0.04280185699462891,0.04517269134521484,0.06844806671142578,-0.1096019744873047,0.04862260818481445,-0.1577520370483398,0.06339788436889648,0.1242480278015137,0.17559814453125,-0.1237020492553711,0.1015481948852539,-0.2019519805908203,-0.09135246276855469,0.05749797821044922,0.08504772186279297,-0.345952033996582,0.1639480590820312,0.06094837188720703,-0.09232711791992188,-0.001801967620849609,-0.199976921081543,-0.1039018630981445,-0.04635238647460938,-0.2050018310546875,0.0384979248046875,0.0630483627319336,-0.05597686767578125,-0.3581018447875977,0.1308727264404297,0.05399799346923828,-0.3347020149230957,0.652198314666748,-0.05930233001708984,4.256148338317871
ABL1,-0.2344104448954258,0.06711467107137103,0.1654146512349453,-0.6168357531229649,-0.1834355990091954,-0.3574353853861485,0.2686651547749843,0.1712396939595546,0.3066147168477382,0.0865639050801601,0.1516645749409999,0.2789648373921718,0.1041649182637538,-0.2738849322001133,0.3057640393575038,-0.3561355272928868,-0.1462852160135899,0.1016147931416835,0.3505142529805507,-0.05063549677530865,0.1153152783711757,-0.125735441843668,0.005265076955160097,0.1902893384297695,0.01691516240437885,-0.0944348971048985,0.2648647626241054,0.2403648694356288,-0.09023586908976178,-0.3088847796122227,-0.196435133616129,0.3567150433858242,0.1814649899800624,0.1041649182637538,0.3717392285664882,0.1359899838765468,-0.06378475824991803,-0.09638516108194928,0.01653941472371478,0.1936653455098476,0.0352648099263515,0.3801391919453945,0.2675646146138515,0.1012647946675624,-0.1780349413553868,-0.205935637156168,0.1865146954854335,0.3029392560323085,0.2751901944478359,0.02761443456014057,0.2482651074727382,-3.141835371653238,-3.957010428110758
ACAA1,-0.09135210514068604,-0.1880518198013306,-0.4905520677566528,-1.11230194568634,-1.138501763343811,-0.871951699256897,0.01719796657562256,-0.9539519548416138,0.3097480535507202,-0.6663771867752075,0.2937983274459839,-0.5144268274307251,0.08567321300506592,-0.8479019403457642,-0.7252517938613892,-0.5702768564224243,-0.188602089881897,-0.5404020547866821,-0.4640523195266724,-0.9151269197463989,0.2458471059799194,0.1947983503341675,-0.06775200366973877,0.1697481870651245,-0.6928759813308716,-0.506726861000061,-0.1808520555496216,-0.4622021913528442,0.4289978742599487,-0.1646519899368286,-0.0804516077041626,0.08094823360443115,0.2303475141525269,-0.57850182056427,-1.129602074623108,-0.3723021745681763,-0.3025518655776978,-0.298101544380188,-0.07855188846588135,0.3126729726791382,-0.5663520097732544,-0.4315520524978638,0.2259477376937866,0.6240977048873901,-0.2635518312454224,0.2089484930038452,0.2207478284835815,-0.5473519563674927,-0.3226519823074341,-0.418552041053772,-0.2078019380569458,-0.1478015184402466,-0.1676017045974731
ACAT2,-0.9044877688090001,-0.4177133242289219,-0.5094625155131016,-1.036913077036539,-1.003262678782145,-0.1734620730082188,0.6812876065572109,-0.2039128939310704,-0.09348789850870709,0.4645870526631679,-0.2793628374735508,-0.3346625963846837,-0.1938125292460118,-0.01046196619669537,0.1588877042134609,-0.5806876818339024,0.2335871060689296,0.1652372678120937,0.3395365079243984,-0.3184625307718907,-0.1498624483744297,1.380587418874105,-0.08671204249064068,0.1369875272115078,-0.4674626986185704,0.1551121075948085,0.4114874203999843,0.1358869870503749,-0.1683618227640782,-1.198262373606363,0.03708728154500385,-0.08136192957560162,-0.300962607065836,-0.345213095347086,-0.01391235987345318,0.4541872342427578,-0.3616124788920079,0.3979872067769374,-0.007112661997476621,-0.08893791834513287,-0.07581249872843365,-0.6596624056498204,0.3631876309712734,0.01183684666951557,-0.03691307703653912,0.2358377774556484,-0.2867376009623204,-0.4960128466288243,-0.02436272303263287,-0.05321232477823834,0.5519874890645351,-0.9763623873392735,0.2483366330464687
