,ASG002_U251MG_24H:A10,ASG002_U251MG_24H:A11,ASG002_U251MG_24H:A12,ASG002_U251MG_24H:B10,ASG002_U251MG_24H:B11,ASG002_U251MG_24H:B12,ASG002_U251MG_24H:C13,ASG002_U251MG_24H:C14,ASG002_U251MG_24H:C15,ASG002_U251MG_24H:C16,ASG002_U251MG_24H:C17,ASG002_U251MG_24H:C18,ASG002_U251MG_24H:D19,ASG002_U251MG_24H:D20,ASG002_U251MG_24H:D21,ASG002_U251MG_24H:D22,ASG002_U251MG_24H:D23,ASG002_U251MG_24H:D24,ASG002_U251MG_24H:E19,ASG002_U251MG_24H:E20,ASG002_U251MG_24H:E21,ASG002_U251MG_24H:E22,ASG002_U251MG_24H:E23,ASG002_U251MG_24H:E24,ASG002_U251MG_24H:F01,ASG002_U251MG_24H:F02,ASG002_U251MG_24H:F03,ASG002_U251MG_24H:F16,ASG002_U251MG_24H:F17,ASG002_U251MG_24H:F18,ASG002_U251MG_24H:G16,ASG002_U251MG_24H:G17,ASG002_U251MG_24H:G18,ASG002_U251MG_24H:H04,ASG002_U251MG_24H:H05,ASG002_U251MG_24H:H06,ASG002_U251MG_24H:H17,ASG002_U251MG_24H:H18,ASG002_U251MG_24H:J10,ASG002_U251MG_24H:J11,ASG002_U251MG_24H:J12,ASG002_U251MG_24H:J19,ASG002_U251MG_24H:J20,ASG002_U251MG_24H:J21,ASG002_U251MG_24H:K22,ASG002_U251MG_24H:K23,ASG002_U251MG_24H:K24,ASG002_U251MG_24H:L10,ASG002_U251MG_24H:L11,ASG002_U251MG_24H:L12,ASG002_U251MG_24H:L16,ASG002_U251MG_24H:L17,ASG002_U251MG_24H:L18,ASG002_U251MG_24H:M07,ASG002_U251MG_24H:M08,ASG002_U251MG_24H:M09,ASG002_U251MG_24H:M22,ASG002_U251MG_24H:M23,ASG002_U251MG_24H:M24,ASG002_U251MG_24H:O22,ASG002_U251MG_24H:O23,ASG002_U251MG_24H:O24,ASG002_U251MG_24H:P16,ASG002_U251MG_24H:P17,ASG002_U251MG_24H:P18
CDK2,0.10187849439801998,0.09560351322091078,-0.007612051787702058,0.08726093505204248,0.06454692631955863,0.09120717317039809,0.03451560136624797,0.060214629945640294,0.0345202516023663,0.12729468621147796,0.16602163986887097,0.10640798640617478,0.07183312852000491,0.0508819143045136,0.09845587188620099,0.017735142590761522,-0.010333099844332226,0.08457199505004162,0.05436772271515939,-0.01590574674455117,-0.19422225304585752,-1.153946372642986,-0.31011738580781995,0.02785538037872878,0.07676149627756912,0.0313378890707326,0.03624011990668596,0.045646483050192345,0.08580515058323356,0.04383051003177171,0.009298187412945984,0.0279641345348895,-0.0052352734712544325,0.039213991546695345,0.002746701008991388,0.007576662122783344,0.08581962571783244,0.019708876720797637,0.01783571216844241,0.04295009874099487,0.002960806764180206,0.06535962902399242,0.03144413466529381,-0.025818229702192174,-1.2784104299472567,0.0008132547962274855,0.10861883638694358,0.012078978478891,0.07126718079200556,-0.013452143710557859,0.023793276808271983,-0.004801299934087803,0.00783360639979879,0.03255691049577196,0.05458800221128616,-0.0019544299382610038,0.04830971807867027,-0.01884466362124427,-0.007187872125180298,0.009348495944654159,0.003686313052435617,0.044771797602032586,0.052304384528332484,0.09589793520264354,-0.144713745773922
CDK4_6,-0.03369285311589662,0.03594026716695304,0.025216878513527784,0.013717265670556353,0.022967079204896382,-0.015387830963638428,0.05555125265837424,-0.5505511576577491,-0.04542578804617694,-0.0032743936798193167,-0.03663701675588014,-0.004940419593934441,-0.01970906364303599,0.06311438424651054,0.028488900283475085,0.019982239273288065,0.07907842495875059,0.06038196928751483,0.011422984738949643,0.046600196163307454,0.023448197855243175,-0.009765473231618192,-0.013349170154465365,0.030272009052396978,-0.04262247162862027,-0.02134798271513288,0.00036863246887862,0.027425974979461754,0.01690868164099841,0.030997510972528803,0.03303659021323456,0.033107226229104385,0.03768757009586275,-0.0345424064467148,0.029152316057353505,0.009820366342490576,0.00261947961988397,0.04458669574648634,0.021957789475941576,-0.005630414847450658,0.0360338771893711,-0.09711556426456376,0.016673459649821535,0.014728235854604772,0.011162657392171373,0.03652792027740092,0.03614353317099042,-0.09621711196763823,-0.023475851483256052,0.024724243799167836,0.029143799018595123,0.018115732702491893,-0.006037890190875065,0.010440893597230074,-1.067474785779802,0.01178240773252768,-0.07180595538087342,0.05116902238982636,0.07041798301365054,-0.03326689277900911,0.021879893853003516,-1.0065807355925642,-1.6265226397409653,-1.7548908623198152,-1.0790441809954525
PI3K,-1.674469556849881,-1.8460696043020601,-1.483821244397942,-0.06533961930301499,-0.026780885760847466,0.04975480689231736,-0.3833268786023538,0.004300634453721974,-0.47788279723646665,-1.8700494154034328,-0.43418916370633837,-0.12945856688471002,-0.6976060124240547,-0.5717071166122715,-0.5220932004592598,-0.41172333125924004,0.029183460370777667,0.03401012383899886,-0.96023745046513,-0.6007941983939827,-0.7729870138612857,-0.44891133063574457,-0.003125736841458123,-1.1250686148300533,-1.2674946794788242,-0.4673166729319009,-0.08098553065633876,0.10626954250782059,0.1300776227005284,-0.3770627388334217,-0.35474889426501666,-0.10966595642241668,-0.36752577127595604,0.7650748094995913,0.0365394672313211,0.06274654106185444,-0.3850912934274109,-0.5531773268904189,0.20748444109076342,0.15360858944344363,-0.34587145369184447,-0.019288457625125845,0.12068606808418289,0.2880001140027882,-1.0440454109828465,-0.5258010955052436,0.20496947603885418,0.36934609081127645,0.07250101230641767,-0.028428239610960727,0.057256176144238675,-0.6153028208298408,-0.08680655450878326,-1.3824201080698815,0.15901278589507054,-1.0770884026106708,-1.1163903274364033,-0.39273017065855803,0.2957154375491097,-1.7083822745443895,-1.432026236859443,-0.748532967662717,-1.1269984056455193,-0.8974580292226484,0.6715540290100771
ERK,0.4323515270893955,-0.17404159129965982,-0.32776158676436334,-0.04334881385416457,0.13000516497618467,0.15263890388321139,0.13353876714097712,0.05436356849413467,-0.04066807102126398,0.20312609190979208,0.3349119923992397,0.3294971151822629,0.11372928169364979,0.302674297950675,0.4592102555046092,0.03567085557901617,-0.22257900943158998,-0.1481579418869966,-0.27283055496916714,-0.24568125889880602,-0.3537239645091962,-0.5321634000259969,-0.33983946409793164,-1.9884095826624058,0.1161016432329773,0.40654854452216027,-0.13338435441331056,-0.06976658764019998,-0.46895878308055405,-0.3720381429594109,0.25766342279758747,-0.0735909571265863,-0.5815688665290802,0.3807689608495551,-0.11100533903341848,-0.030163368389895435,0.13243355450475974,-0.04673488934425558,-0.30965530133642627,-0.37805647664410014,-0.24812464241623347,-0.9279849207208412,-0.36351845536706656,-0.009262149520977436,-1.427309377822902,-1.5293909719431498,-0.8273082792146979,-0.3216572857557931,0.1267137745272987,-0.2316445522001625,0.4450026913199958,0.2416259065430856,-0.5251266043650333,-1.7528936388920924,-1.4879641823518626,-0.54339255087209,0.008094915304038178,-0.5169498578182011,0.14742114900435632,-0.17509229861039513,-1.9968316448019883,-0.6623129356007175,0.07344291292916291,-0.09687654841987269,0.06856905206826268
Estrogen,-0.0002611183349885656,-0.000604181195123496,0.00010498976745510059,0.0003566700517260055,-0.00011432662017794737,-1.879043233439027e-05,-0.0003069734114032614,-0.00018589158832382576,-0.00020003643325638423,-0.001642626925015171,-0.0011852030550005023,-0.0006066523640988219,-0.0007034242372488866,-0.000111518768100346,-0.0010841465188074601,-0.00042878731070741,-0.0005598782652488717,-4.405349963266322e-05,-4.096301129692531e-05,-0.0004096761059753946,-0.00016132159209362708,-0.0002484404970235983,-0.0008269325020246998,-0.00034787077772618344,-6.185257479920935e-06,2.299764542425749e-05,0.00044515600272491935,-0.0004286912296825332,-0.00014316792321604192,-0.00019680355567715325,-0.0004253206903595104,-0.0004095448371536809,-0.0002349220577307839,-0.0005871121905480191,-0.00022185351156323848,0.0001555302058344415,-0.00016704864419208085,-6.734041049435601e-05,0.00021796034000591799,0.0008791974846689832,0.00016663534457491265,-0.0010341018194539493,-0.000497787343919492,-0.00041425779044545623,-1.2519086629872746e-05,0.0001108024526536592,-1.551918814645686e-06,0.0009962134688722062,-0.0001764327487663116,0.000325895999271314,-0.009142211214827799,3.0909447681097574e-05,-5.8276405035057015e-06,-7.579179796437675e-05,3.3015075851958386e-06,0.0004534807067037165,-0.0010466497830049213,0.00011972545916566508,-0.008188620014563283,-0.0004617797682360465,0.00014306895186278425,-0.00012623915538851455,-0.000519941886259026,-0.0009784242499638678,0.00043748187356953386
EGFR,0.20019864261908488,0.3269867560960105,0.36425480297032,-1.2964495228252604,-0.9898866472561669,0.2813559968574316,0.33100093013102017,0.28933632982981466,-0.9493528618798792,0.2222684371235259,0.2812090576499324,-1.4116479603324052,0.27921145965763045,-1.277931400956338,-1.2994651634233139,-1.0234234249916947,-0.9817282694950559,-1.0656578028374595,-1.2724260881318785,0.45285840769602953,0.33633733310073377,-0.9182089417362532,0.371008993344601,0.4049143919845306,-1.246486609608159,0.34841071669162854,-1.5613850722197513,-1.6228824995683102,-1.2903113460103177,-0.953147346099641,0.24155885956296957,0.3280228841952002,0.3845239176359562,-1.6322690397601234,-1.3672762730547299,-1.2705697219144947,-1.5167257814134725,-1.3416900416251778,-0.813936614486662,-0.9098116200181138,0.312392661915121,0.2855686245210762,-0.98639908661401,-1.2403508269515569,0.42631591559033527,0.2874081214028254,0.46642057490533784,-0.7674214718049099,-0.8176289980465696,-1.0237650454993101,-1.0697194062970652,-1.0112542248120864,-0.9712671285979539,0.4495311188813915,0.30109440410737875,-1.0199930451942882,0.3815187630200804,-0.8703026471619774,-1.1410379047684491,0.3711456033237969,-0.9607324622981533,0.37567591019857527,-1.361082300497196,0.23130236579664237,-1.125137534672328
PDGFR,-0.6972418807327726,-0.2082288897029334,-0.5107315380568607,-0.2359943057715808,-0.0784925361940522,-0.13002842414967883,-0.27780880071254566,-0.20525464781241323,-0.1392010392941718,-0.533240658211645,-0.11122120835376899,-0.08989082858953204,-0.6474532706576873,0.0020671235981256407,-0.07092267407719548,-1.552217558851245,-1.0550648776485219,-0.369465458010787,-1.2437649804186672,-0.24822543847710077,-0.04372238621604137,-0.14802114039831635,-0.3079285344377302,0.3405015794409941,-0.25231227978659,-0.5056071126812373,-0.18604202330882316,-1.4396032090878557,-0.18837224980444242,-0.3379487001328122,-1.640179246331817,-0.843274978184495,-0.15824841702791134,0.06659748095676139,-0.15149219837016506,-0.11496673032425418,-0.3044891228990715,-0.3158466717550832,-0.6870052140542492,-0.009869006239132583,-0.26801203325989437,0.10277427146920014,-0.36320693025416373,-0.08582497556105521,0.4364249687778365,0.4366303617449143,0.11984264439080836,-0.5334863232881536,-0.10530768433569201,-0.161246993045347,-0.15230707494971893,-0.3651265462805137,-0.27209281857021,-0.49172159792079917,-0.5153285922371481,-0.5468789041121537,-1.0103481745340759,-0.5399745151990052,-0.5659848997859585,-0.04153113396692125,0.2380017507665741,-0.11967697051128366,-1.0109152586440104,-0.7252007317004863,-0.26046152274177164
Aurora,0.45345522641424146,-1.0467080626377638,0.34179554562817416,-1.5345515150622333,-1.9972769222933968,-1.8548675736317015,0.2712363448913071,0.306175792095992,0.3143587250837446,0.5496574895117089,-1.674790983027218,0.4013519288327065,-0.9493581790655959,-1.4327642098593771,-1.3039680470326513,-1.9946640849577415,-1.6950038864473693,-1.445595802770301,0.29434235405014314,0.4676377894917898,0.45990338845794315,0.2334328303926392,0.6787818721628318,-0.24822730934231085,-0.9795498947826153,-1.1431678376545882,-1.4023365442771363,-1.5022507351498204,-1.9980912314197876,-1.1947145034412057,-0.2290655265326603,0.399918035063441,-0.719090478861654,-1.5972117343962005,-1.5006759185912582,-1.0243044223310855,-1.390583726648899,-1.2606297282056016,-1.9880183929784023,-1.619725870115006,-1.252964443122173,-0.6374360113117472,-1.7167217316880585,-0.9081883884836275,-0.40758221435983627,0.6697107568646223,0.6389448978454592,-1.77810422780128,-1.474246248718766,-1.8064053571572516,-1.7255240122704547,-0.9142138539657383,-1.5482702961538182,0.45562778842611773,0.40507438382648436,-1.0616211285461268,0.4840440444713822,-0.9372168047164452,0.15834088216780814,-0.413892890373314,0.6666294223439003,0.680940907985806,-1.2823421815019376,-1.0856228108143133,-1.0447177972546646
p53,-0.1552112384619156,0.23448099260110206,0.05035536812648882,-1.601355086950925,-1.6491746700252192,-1.7272718056980618,-1.6519893759384037,-1.1372582289298296,-0.2604049503586052,-0.19401085739677146,-1.1290100824011824,0.255843994331414,-0.27464552931391945,-0.42310110836743725,-0.32941963248449124,-0.26608348307460505,-0.6375785518624013,-0.6472942601012442,-0.13544482027972687,0.31821838939108427,0.15802825192179573,0.10304040078134287,0.32988825320885945,-0.03142430916778502,-0.2222586451936738,0.04421190253492288,-0.8210765915061978,-0.5667661424075482,-1.408579890236044,0.11599679575524882,0.20858127056428535,-0.11221458530888023,0.16354240773492232,-1.1108258422877084,-0.44375122243345044,-0.5630129786438215,0.010613935695727663,0.1776913079395053,-0.5792476532923128,-0.5778859715071566,0.21168648555059266,-0.3084740082942834,-0.48790765102298783,0.19288345441981855,0.16981559415408093,0.11029734650810458,0.2618650539001695,-0.45627086361607616,-0.5658980008309165,-0.3979301028142014,-0.7995509845750609,0.2280409582597522,-0.5769979201510445,0.044744788472549646,0.5198094380165753,0.19396131856597565,0.40582407453330466,0.4831482031662818,0.1688816584649838,0.1883257055080836,0.5050416225199604,0.4501978616646396,0.19497305525870343,0.22799162694828,0.10360969709265512
PARP,0.13621131110121198,0.07660297208727423,0.0014612151586165384,-1.991002087555522,-1.981768498595765,-1.7713361923580906,-1.3333308342307042,-1.2115652856142445,-1.2183824809404937,-0.06592446677045509,-1.4140546725583811,0.6134636261789783,-0.28733004734110956,-0.07335807481888366,-0.014153438528234377,0.03162815265092657,-1.3919660261110698,-1.612537896311857,0.11970433004756582,0.2202351687433935,0.02438456025980523,0.047470570926971906,0.6702010693185272,0.22693167907386314,-0.03808298859596956,0.049136047941571684,-1.50421113458187,-1.2862152547608834,-1.833873483060729,0.016874979580525272,0.19725259832481754,0.46396179722943787,0.10525924491595985,-1.7814725767052637,-1.658497332640197,-1.3424466679064069,0.11698917607369076,0.008453606758669178,-1.847313572736216,-1.0647561071608205,0.049327701923304317,-1.99374802341527,-1.3505302987016643,0.5412042125900952,0.22695724165711492,0.2976668626677893,0.6287047419247179,-1.3645180019233993,-1.4203673878935081,-1.5416405830884605,-1.4533770735976186,0.012152586855675142,-1.585003500438951,0.08052643954507886,0.5374152497097533,0.01803222205144194,0.310578773396524,0.08747471388844598,0.5640157274602203,0.15163132913865576,0.2910076192127779,0.28549374014410306,-0.1909776423006468,-0.23045133924694464,0.04860993941390296
