,CDK2,CDK4_6,PI3K,ERK,Estrogen,EGFR,PDGFR,Aurora,GBM_onc,GBM_survival
CDK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3322676295501873e-15,0.0,0.0
CDK4_6,0.0,0.0,0.0,3.330669073875473e-16,0.0,0.0,0.0,0.0,0.0,0.0
PI3K,0.0,0.0,0.0,5.551115123125787e-16,0.0,0.0,5.551115123125787e-16,0.0,0.0,0.0
ERK,0.0,0.0,6.661338147750953e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EGFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2212453270876714e-15,0.0,0.0
PDGFR,0.0,0.4801544219680174,0.0,0.0,0.0,0.19033526009200105,0.0,0.21261961439132152,0.0,0.0
Aurora,0.0,0.0,0.0,0.0,0.0,3.330669073875475e-16,0.0,0.0,0.0,0.0
GBM_onc,0.0,0.0,4.440892098500625e-16,0.0,0.0,0.0,0.0,0.3673831172510676,0.0,0.0
GBM_survival,0.0,0.0,0.0,6.661338147750935e-16,0.0,0.0,0.0,6.661338147750935e-16,0.0,0.0
