,CDK2,CDK4_6,PI3K,ERK,Estrogen,EGFR,PDGFR,Aurora,p53,GBM_onc,GBM_survival
CDK2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDK4_6,0.0,0.0,0.0,0.07279897359524992,0.0,0.0,0.0,-6.804453389796422e-06,0.0,0.0,0.0
PI3K,0.0,0.0,0.0,0.20675121980546002,0.0,0.0,0.03196302023898933,0.0,0.0,0.0,0.0
ERK,0.0,0.5342741070406576,0.5257888202349079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estrogen,0.0,0.0,0.0,0.0,0.0,0.0,0.17925669562895977,0.0,0.0,0.0,0.0
EGFR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5061599702073866,0.0,0.0,0.0
PDGFR,0.0,0.3978380454582487,0.12093454683990011,0.0,0.04948537605702344,0.04038717852037749,0.0,0.10522550639432539,0.0,0.0,0.0
Aurora,0.0,0.0,0.0,0.0,0.0,0.5514723738054802,0.0,0.0,0.580669622337759,0.0,0.0
p53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23690714253422976,0.0,0.0,0.0
GBM_onc,0.0,0.0,-0.029948214988498752,-0.463991864795002,0.0,0.0,0.0,0.0,-0.5033523219195444,0.0,0.0
GBM_survival,0.0,0.0,0.0,-4.886430232524982,0.0,3.1909743707061127,0.0,0.0,0.0,0.0,0.0
