,CDK2,CDK4_6,PI3K,ERK,Estrogen,EGFR,PDGFR,Aurora,GBM_onc,GBM_survival
CDK2,1.0000000000000002,2.3360716012804803e-17,-6.601396156991436e-17,1.7021958441210664e-18,1.4972126292624828e-18,-0.03934257215144537,-1.0987593437717824e-16,-0.05474825443391466,-3.3017532903738764e-17,-3.141912216724897e-17
CDK4_6,-1.269615346567627e-17,1.0017610920069744,0.03022120282412119,0.11732200694147019,-1.802127092524957e-16,0.002900343332353156,0.009742673046869835,0.0011862493571683354,-1.696117942688226e-16,1.803054085067258e-16
PI3K,-2.399595977341465e-16,0.06910097044764055,1.1858065535312157,0.49557969638063754,5.04038805709549e-16,0.11380242378204343,0.38227881316059675,0.04654554188452384,5.472906551026344e-16,6.246375466715334e-16
ERK,-1.075608278242729e-16,0.016821684849957018,0.2886683646741291,1.1206420896341707,2.2140421042089803e-16,0.027703641433998945,0.09306054138090208,0.011330874684969927,4.49064337792831e-17,3.7546767842608793e-16
Estrogen,1.4304474437661683e-19,2.505923377140606e-16,-4.488734678374447e-16,-1.5747909710029007e-15,0.9999999999999999,6.33404821238267e-16,1.6147704731287026e-17,8.65412239241913e-16,-2.922135102138673e-17,2.505045526081827e-16
EGFR,5.450355754627937e-17,-8.414165649704795e-17,2.4832851752933015e-16,1.004166192525177e-15,-1.0295265161687034e-16,1.3858964865618077,2.3139639201538986e-17,0.5370050272796767,1.410929601297253e-16,-1.2343418711590654e-16
PDGFR,-8.32551689947245e-17,0.19285816731199157,0.20759916599501457,0.105685296638324,3.116095513712573e-16,0.31761821496989845,1.0669255559040178,0.1299068283157368,3.4618671580775635e-16,8.067655587155776e-17
Aurora,-2.784311194657294e-19,-4.987643281730299e-17,1.2817499317766808e-16,1.3652888721459915e-15,-1.1234793265806985e-16,0.9959172777427622,9.37531972504284e-17,1.3858964865618069,8.418374736751679e-17,-8.495130508018277e-17
GBM_onc,-1.0819152335352173e-17,-0.030994074978552593,-0.5318735321966905,-0.22228391537726191,-3.5587554580157324e-16,-0.07533077152370228,-0.17146471491003848,-0.05467393278421949,1.0,4.566761283502154e-17
GBM_survival,2.9657586355628334e-17,-0.09175251228039376,-1.5745181241337975,-6.112451160999376,-1.4877210754225958e-15,2.342987382403522,-0.5075911564169572,3.4089236813730004,-9.641134976798417e-16,0.9999999999999979
