,CDK2,CDK4_6,PI3K,ERK,Estrogen,EGFR,PDGFR,Aurora,GBM_onc,GBM_survival
CDK2,1.0000000000000013,1.7108197506378067e-17,-1.197196969605443e-16,6.25386074246824e-17,1.6695911690926448e-18,-0.03934257215144548,7.588238057301713e-17,-0.05474825443391508,-1.5615464069073697e-16,-3.434130807344088e-17
CDK4_6,1.5593209840522819e-16,1.0017610920069744,0.030221202824121194,0.11732200694147085,-1.1776972703225476e-17,0.00283816940361546,0.009742673046870109,0.001099729491193114,-1.6970107977667935e-16,-5.0381927774284924e-17
PI3K,-1.0808911255758295e-16,0.0691009704476409,1.1858065535312154,0.49557969638063915,-2.281326449576262e-16,0.11136286991705524,0.3822788131605968,0.04315071260921724,1.3487137379548533e-16,3.5607473905982435e-16
ERK,3.4500422784206373e-17,0.016821684849956945,0.28866836467412976,1.1206420896341718,-2.3274486260104665e-16,0.027109765457648906,0.0930605413809023,0.010504449993410232,1.1144564549766137e-16,1.2172711130097555e-17
Estrogen,4.159501531909404e-19,-4.696780395629706e-17,-1.3612701652121565e-16,-2.651492763778305e-16,1.0,7.383787934039644e-17,-9.337806735168873e-17,1.6386789772936172e-16,4.1569428404801e-17,3.9212097227285144e-17
EGFR,1.000342749089604e-17,-1.4430351001036211e-16,-5.102606080509942e-16,5.472265810378531e-16,-5.063214435471078e-17,1.385896486561807,-1.5587034438988915e-16,0.5370050272796772,-5.0831102926143274e-17,5.776747649621654e-17
PDGFR,-4.697336703405757e-17,0.1928581673119921,0.20759916599501538,0.10568529663832414,-2.2218083274639705e-16,0.3108095133784097,1.066925555904018,0.12043198956700196,-3.436694339194735e-16,1.1813541254040212e-16
Aurora,1.4858133289696984e-16,1.2310408362448178e-16,-1.985279512156099e-16,1.3433843984017758e-18,3.492937899596745e-17,0.9959172777427642,-4.3281377199449398e-16,1.3858964865618075,1.5580282358891968e-16,3.539481348426415e-17
GBM_onc,-2.943620318351463e-16,-0.030994074978553336,-0.5318735321966904,-0.2222839153772617,1.6515178581217636e-16,-0.04994993728273855,-0.171464714910039,-0.01935452444913794,1.0,-3.6682488673857005e-18
GBM_survival,2.9749986267779466e-18,-0.09175251228039394,-1.5745181241338024,-6.112451160999387,1.3866895279094259e-15,2.3462266306297948,-0.5075911564169597,3.4134313476583653,-8.694084343764603e-16,1.0
