From	To	Strength
CDK4_6	CDK1	0.4764746591606299
ERK	CDK1	-0.09629863495565888
Aurora	CDK1	0.20894080836033807
EGFR	CDK1	1.0376854958555992e-05
p53	CDK1	0.002826719094396702
CDK1	CDK2	4.1320603769951325e-06
CDK4_6	CDK2	-1.0843924894100371e-05
PI3K	CDK2	-6.254293428471499e-06
ERK	CDK2	0.015880515075549054
PDGFR	CDK2	-0.012720007001725674
Aurora	CDK2	-8.338753012288807e-06
Estrogen	CDK2	-7.278693887934066e-05
EGFR	CDK2	-0.034016626778564284
p53	CDK2	-7.537483466410361e-05
CDK1	CDK4_6	0.47148194671615645
PI3K	CDK4_6	2.3214516899539706e-05
Estrogen	CDK4_6	-0.0006231837893268726
EGFR	CDK4_6	0.06661032402343911
CDK4_6	PI3K	0.23467353811744304
ERK	PI3K	0.2925401749204248
PDGFR	PI3K	0.19339943749414273
Aurora	PI3K	6.099133337517496e-05
p53	PI3K	-0.02245568563544879
CDK1	ERK	-0.0062301753876192216
CDK2	ERK	1.0985343084698052
CDK4_6	ERK	4.6477540076287324e-05
PI3K	ERK	0.47000174259813915
PDGFR	ERK	0.008605794030669595
Aurora	ERK	-0.15269869481628529
Estrogen	ERK	0.04240234279025377
EGFR	ERK	0.2076627309745529
p53	ERK	4.531242006946111e-05
PI3K	PDGFR	0.3139513942713189
Estrogen	PDGFR	0.4880419599063689
EGFR	PDGFR	0.12288714173034279
CDK1	Aurora	0.5652075178589856
EGFR	Aurora	0.2520428972071728
p53	Aurora	0.4491393924557185
PDGFR	Estrogen	0.27959157846523225
CDK2	EGFR	-0.9682949531864373
ERK	EGFR	0.432281191801872
Aurora	EGFR	0.39844326780174055
CDK1	p53	0.2682687270232586
Aurora	p53	0.23794824791766214
CDK4_6	GBM_onc	-1.2246328340919133
PI3K	GBM_onc	-0.005024905917941988
PDGFR	GBM_onc	-0.4528835818616518
Aurora	GBM_onc	0.4129741384241686
p53	GBM_onc	-0.7360460625804203
PI3K	GBM_survival	-3.58441658332077
Aurora	GBM_survival	2.6058728588434033
