From	To	Strength
ERK	CDK4_6	0.07279897359524992
ERK	PI3K	0.20675121980546002
CDK4_6	ERK	0.5342741070406576
PI3K	ERK	0.5257888202349079
PDGFR	Estrogen	0.17925669562895977
Aurora	EGFR	0.5061599702073866
CDK4_6	PDGFR	0.3978380454582487
PI3K	PDGFR	0.12093454683990011
Aurora	PDGFR	0.10522550639432539
EGFR	Aurora	0.5514723738054802
p53	Aurora	0.580669622337759
Aurora	p53	0.23690714253422976
ERK	GBM_onc	-0.463991864795002
p53	GBM_onc	-0.5033523219195444
ERK	GBM_survival	-4.886430232524982
EGFR	GBM_survival	3.1909743707061127
