Sample#,Tumor_Normal_annotation,Barcode
SF10022,Normal,2490
SF10022,Tumor,592
SF10099,Normal,119
SF10099,Tumor,449
SF10099v2,Normal,232
SF10099v2,Tumor,2
SF10108,Normal,1594
SF10108,Tumor,2852
SF10127,Normal,155
SF10127,Tumor,897
SF10432,Normal,117
SF10432,Tumor,877
SF10433,Normal,670
SF10433,Tumor,502
SF10433v2,Normal,4918
SF10433v2,Tumor,266
SF10441,Normal,640
SF10441,Tumor,467
SF10484,Normal,1510
SF10484,Tumor,1492
SF10514,Normal,421
SF10514,Tumor,2935
SF10565,Normal,2630
SF10565,Tumor,246
SF10565v2,Normal,2640
SF10565v2,Tumor,242
SF10592,Normal,1039
SF10592,Tumor,296
SF10857v2,Normal,171
SF10857v2,Tumor,2453
SF11082,Normal,111
SF11082,Tumor,4023
SF11248,Normal,983
SF11248,Tumor,912
SF11344,Normal,5194
SF11344,Tumor,589
SF11488,Normal,158
SF11488,Tumor,4300
SF11587,Normal,47
SF11587,Tumor,1253
SF11720,Normal,907
SF11720,Tumor,630
SF11720v2,Normal,2736
SF11720v2,Tumor,104
SF11780,Normal,216
SF11780,Tumor,6470
SF11815v2,Normal,326
SF11815v2,Tumor,3379
SF11857,Normal,3239
SF11857,Tumor,157
SF11873v2,Normal,2964
SF11873v2,Tumor,167
SF11913,Normal,229
SF11913,Tumor,1130
SF11916v2,Normal,81
SF11916v2,Tumor,1251
SF11977,Normal,638
SF11977,Tumor,215
SF11979,Normal,43
SF11979,Tumor,704
SF1199,Normal,68
SF1199,Tumor,566
SF12008,Normal,1242
SF12008,Tumor,1490
SF12090,Normal,76
SF12090,Tumor,50
SF12115,Normal,194
SF12115,Tumor,59
SF12165,Normal,2381
SF12165,Tumor,756
SF12165v2,Normal,2106
SF12165v2,Tumor,684
SF12243,Normal,1565
SF12243,Tumor,1021
SF12243v2,Normal,1396
SF12243v2,Tumor,1623
SF12333,Normal,441
SF12333,Tumor,1069
SF12382,Normal,380
SF12382,Tumor,1682
SF12407,Normal,1557
SF12407,Tumor,29
SF12408,Normal,46
SF12408,Tumor,2877
SF12427,Normal,23
SF12427,Tumor,220
SF12460,Normal,2655
SF12460,Tumor,1602
SF12594,Normal,1905
SF12594,Tumor,2151
SF12616,Normal,169
SF12616,Tumor,294
SF12704,Normal,697
SF12704,Tumor,1548
SF12704v2,Normal,2949
SF12704v2,Tumor,1260
SF12707,Normal,50
SF12707,Tumor,1360
SF12751,Normal,3548
SF12751,Tumor,584
SF12754,Normal,1745
SF12754,Tumor,598
SF12774,Normal,3196
SF12774,Tumor,446
SF1343,Normal,697
SF1343,Tumor,2039
SF2501,Normal,93
SF2501,Tumor,231
SF2628,Normal,578
SF2628,Tumor,1958
SF2777,Normal,410
SF2777,Tumor,3773
SF2979,Normal,1247
SF2979,Tumor,3031
SF2990,Normal,427
SF2990,Tumor,1471
SF3073,Normal,2550
SF3073,Tumor,610
SF3076,Normal,882
SF3076,Tumor,2332
SF3243,Normal,412
SF3243,Tumor,2133
SF3391,Normal,673
SF3391,Tumor,6162
SF3448,Normal,4340
SF3448,Tumor,496
SF3996v2,Normal,115
SF3996v2,Tumor,348
SF4209,Normal,114
SF4209,Tumor,670
SF4209v2,Normal,122
SF4209v2,Tumor,8
SF4297,Normal,1388
SF4297,Tumor,2757
SF4324v2,Normal,2795
SF4324v2,Tumor,893
SF4400,Normal,1330
SF4400,Tumor,967
SF4449,Normal,4319
SF4449,Tumor,22
SF4449v2,Normal,8118
SF4449v2,Tumor,4
SF4810,Normal,39
SF4810,Tumor,536
SF4810v2,Normal,80
SF4810v2,Tumor,2
SF4849,Normal,80
SF4849,Tumor,526
SF5581,Normal,306
SF5581,Tumor,3910
SF6098,Normal,1694
SF6098,Tumor,55
SF6118,Normal,490
SF6118,Tumor,78
SF6118v2,Normal,357
SF6118v2,Tumor,156
SF6186,Normal,587
SF6186,Tumor,2327
SF6621,Normal,1299
SF6621,Tumor,977
SF6809,Normal,58
SF6809,Tumor,133
SF6996,Normal,1767
SF6996,Tumor,1054
SF7025v2,Normal,172
SF7025v2,Tumor,176
SF7062,Normal,2413
SF7062,Tumor,714
SF7307,Normal,28
SF7307,Tumor,169
SF7307v2,Normal,94
SF7307v2,Tumor,8
SF7388v2,Normal,1756
SF7388v2,Tumor,3021
SF8963,Normal,206
SF8963,Tumor,4216
SF9259R,Normal,1454
SF9259R,Tumor,144
SF9259S,Normal,868
SF9259S,Tumor,86
SF9358,Normal,2648
SF9358,Tumor,499
SF9372v2,Normal,866
SF9372v2,Tumor,3641
SF9494,Normal,2707
SF9494,Tumor,750
SF9510,Normal,4148
SF9510,Tumor,756
SF9715,Normal,1112
SF9715,Tumor,722
SF9715v2,Normal,1195
SF9715v2,Tumor,2536
SF9791v2,Normal,269
SF9791v2,Tumor,1339
SF9798,Normal,201
SF9798,Tumor,3850
SF9871,Normal,3596
SF9871,Tumor,6
SF9962,Normal,808
SF9962,Tumor,2660
